id,name,country,currency,deposits,loans,reserves,equity,capital_ratio,risk_appetite,reputation,truth_score,truth_positive,truth_debt,top_truth_layers
agent_41bb28ce57,Blue AUR Bank 1,Aurelterra,AUR,728417.0708,881871.5084,20516.1486,247744.7673,0.280931,0.826326,0.492926,1864.3632,1864.3632,0.0,"{legal=+1420.12, social=+93.23, liquidity=+75.47, temporal=+0.99}"
agent_466c4a71e5,Saffron BOR Bank 2,Borealgrad,BOR,1255957.3437,1533615.2289,56668.8071,462309.3195,0.301451,0.73636,0.646427,2123.6793,2123.6793,0.0,"{legal=+1597.52, liquidity=+127.45, social=+87.54, temporal=+0.50}"
agent_927af20c05,Nexus CYR Bank 3,Cyrenesia,CYR,212397.8749,248719.1004,7201.5683,91069.2453,0.366153,0.640214,0.511761,774.3754,774.3754,0.0,"{legal=+585.91, social=+38.17, liquidity=+36.62, temporal=+0.36}"
agent_cd31228336,Meridian DAM Bank 4,Damaria,DAM,7342.2916,7458.8519,1249.0624,5288.7417,0.709056,0.240686,0.534397,4.0681,4.0681,0.0,"{legal=+3.21, liquidity=+0.13, social=+0.10, temporal=+0.00}"
agent_b30d674b09,Helix ELD Bank 5,Eldorland,ELD,170231.1503,194892.7906,3459.3765,322850.4907,1.656554,0.301939,0.34713,259.0024,259.0024,0.0,"{legal=+196.76, liquidity=+13.82, social=+10.00, temporal=+0.09}"
agent_1926ba2ad1,Quantum FAR Bank 6,Faronreich,FAR,306662.0845,319454.57,16080.7079,155428.2926,0.486543,0.720023,0.622698,473.0893,473.0893,0.0,"{legal=+354.35, liquidity=+35.40, social=+13.80, temporal=+0.06}"
agent_f1630e87af,Sol GAL Bank 7,Galenheim,GAL,338005.1396,352169.4954,8541.6116,296243.1879,0.841195,0.359881,0.641901,457.3809,457.3809,0.0,"{legal=+337.96, liquidity=+39.53, social=+13.57, temporal=+0.11}"
agent_8fdc08394f,Union HEL Bank 8,Helioia,HEL,164443.1024,194499.2865,9210.233,279917.5785,1.43917,0.501967,0.501553,238.9617,238.9617,0.0,"{legal=+181.59, liquidity=+14.23, social=+7.57, temporal=+0.02}"
agent_3631a565e3,Saffron IST Bank 9,Istrpolis,IST,215479.3863,258339.3977,5053.7431,62959.8131,0.24371,0.638399,0.462366,307.0744,307.0744,0.0,"{legal=+234.79, liquidity=+15.17, social=+11.25, temporal=+0.03}"
agent_c58ee28d53,Sol JOR Bank 10,Jorvikmark,JOR,583246.7698,688773.6567,31869.6329,244908.674,0.355572,0.78382,0.593591,1020.1031,1020.1031,0.0,"{legal=+778.27, liquidity=+46.23, social=+44.09, temporal=+0.32}"
