id,name,country,currency,sector,employees,price,inventory,monthly_revenue,monthly_cost,cumulative_profit,fiat_debt,productivity,product_quality,reputation,risk,fraud_tendency,truth_score,truth_positive,truth_debt,top_truth_layers
agent_52fde1c2f6,Nexus Care 1,Galenheim,GAL,health,256.17,1624.0227,20000.2906,1163.2678,6504.0942,-310444.2985,182675.3924,0.835416,0.716986,0.747198,0.676522,0.018131,-3179.8561,174.6213,3354.4774,"{temporal=-1616.46, legal=-1130.28, liquidity=-386.77, social=-263.76, causal=+98.10, existence=+20.98, attention=+14.78, health=+3.22, ...}"
agent_03d7b2316c,Civitas Broadcast 2,Helioia,HEL,media,51.36,909.0042,33.1725,73.2411,349.2131,102493.5035,315.4524,0.899356,0.486039,0.809424,0.580312,0.041263,49.2967,49.8976,0.6009,"{causal=+14.19, existence=+11.29, legal=+6.23, social=+4.52, temporal=+3.71, attention=+2.65, potential=+1.34, liquidity=-0.60, ...}"
agent_ab153fd073,Nova Health 3,Galenheim,GAL,health,135.1,1182.145,5922.4924,0.0,342.5167,186979.812,15.2343,1.069855,0.39654,0.7767,0.644317,0.049732,134.0959,134.1072,0.0113,"{causal=+42.85, legal=+18.87, existence=+18.06, temporal=+13.22, social=+10.88, attention=+7.20, health=+3.23, potential=+1.41, ...}"
agent_c37fff7c19,Sol Softworks 4,Galenheim,GAL,software,193.82,745.51,5599.6359,0.0,716.1118,104238.1974,265.0115,1.259988,0.696873,0.99,0.479166,0.035034,157.0982,157.7639,0.6658,"{causal=+56.17, legal=+21.25, temporal=+16.92, existence=+15.17, social=+12.79, attention=+9.70, potential=+4.21, epistemic=+1.97, ...}"
agent_caf03ecd06,Nexus Status 5,Lumerterra,LUM,luxury,192.69,4718.1423,4434.7081,0.0,578.8689,328784.4882,561.4415,0.860333,0.467121,0.99,0.257003,0.058987,110.3265,112.1561,1.8296,"{causal=+35.53, existence=+16.55, legal=+14.51, temporal=+13.87, social=+10.28, attention=+8.85, liquidity=-1.83, potential=+1.29, ...}"
agent_6563bd9d01,Prism Guard 6,Eldorland,ELD,security,85.06,663.157,317.4864,0.0,320.299,108682.8422,155.2908,0.528822,0.529347,0.758143,0.439171,0.032732,66.2426,66.9803,0.7377,"{causal=+18.09, existence=+14.71, legal=+7.73, temporal=+6.31, social=+5.44, attention=+4.02, potential=+1.46, security=+1.29, ...}"
agent_7004d7d08f,Signal Motors 7,Eldorland,ELD,mobility,249.07,922.1045,17905.093,599.8592,995.2669,62646.0035,401.9323,1.252406,0.832243,0.99,0.41782,0.011798,203.9532,206.2547,2.3015,"{causal=+74.04, legal=+29.46, temporal=+24.19, existence=+19.92, social=+17.14, attention=+13.34, liquidity=-2.30, potential=+2.30, ...}"
agent_4102f107ab,Iron Infrastructure 8,Faronreich,FAR,construction,535.46,3868.2874,20398.3007,0.0,1796.4526,288858.9151,318.2803,1.044933,0.736352,0.969537,0.479076,0.058962,341.7025,342.8657,1.1632,"{causal=+120.80, legal=+50.73, temporal=+44.34, social=+29.10, attention=+25.58, existence=+23.29, infrastructure=+7.79, potential=+2.03, ...}"
agent_8ba44a1820,Omni Residences 9,Borealgrad,BOR,housing,357.24,1711.4872,7104.6737,0.0,788.7362,717257.8921,197.2883,0.713951,0.592344,0.883985,0.381563,0.021568,247.8184,248.8344,1.016,"{causal=+77.80, legal=+42.56, temporal=+31.04, social=+23.90, existence=+20.86, attention=+17.61, infrastructure=+3.72, security=+2.66, ...}"
agent_35e82f4a5e,Nexus Broadcast 10,Faronreich,FAR,media,493.98,1405.8232,38218.0484,988.8838,1081.8445,98523.4457,221.7368,2.141439,0.441364,0.898193,0.250268,0.068894,320.8113,322.2421,1.4309,"{causal=+121.16, legal=+47.46, temporal=+43.24, social=+29.47, attention=+24.91, existence=+17.18, liquidity=-1.43, potential=+1.22, ...}"
