id,category,source,target,name,kind,fiat_value,truth_score
mor_c655952056,𝓔 Economy,industrialcompany_7cfbe6b7e8,strategiccompany_2301e228a4,purchase/water,purchase,12825.71282131653,26.61050651481606
mor_a0e27eed64,𝓔 Economy,researchcompany_75b8d7c03e,industrialcompany_956f5c8acc,purchase/biotech,purchase,47930.46621780359,28.013430543085157
mor_54cf23a0c6,𝓔 Economy,industrialcompany_eefa11d327,mediacompany_2cb705f3f4,purchase/energy,purchase,56833.53117854587,32.95863635329971
mor_d107ca7109,𝓔 Economy,mediacompany_57abd645a1,industrialcompany_f013da2dd3,purchase/culture,purchase,19808.416131403486,18.9878356423797
mor_b21e18be80,𝓔 Economy,mediacompany_ab3a187961,civiliancompany_1e50c0b917,purchase/food,purchase,60785.55478515443,27.23188817698386
mor_3001968283,𝓔 Economy,civiliancompany_61722ade62,mediacompany_57abd645a1,purchase/health,purchase,43836.53091934061,30.605207226900006
mor_0a7cad8e8f,𝓔 Economy,mediacompany_8cbe79e001,household_2110299d5c,purchase/law,purchase,192342.61817828362,32.73425065779251
mor_bdac5e44e2,𝓔 Economy,industrialcompany_f013da2dd3,researchcompany_48fb06cd6b,purchase/insurance,purchase,60034.6453928911,28.915348389743144
mor_ffe892fbda,𝓔 Economy,mediacompany_2cb705f3f4,industrialcompany_a4c745519b,purchase/insurance,purchase,76973.84327246269,28.878829670829774
mor_3e2ad39170,𝓔 Economy,strategiccompany_c9334d528e,strategiccompany_6e611815a5,purchase/space,purchase,10778.575335293335,29.54680453010068
mor_02403a5678,𝓔 Economy,researchcompany_f4de8c9e09,industrialcompany_7cfbe6b7e8,purchase/education,purchase,4281.059567146785,23.868459322767073
mor_d7661199b4,𝓔 Economy,mediacompany_cd4596d788,household_d0e4d3caa0,purchase/health,purchase,28824.133686276167,28.440316083153185
mor_3ecc0f1e4c,𝓔 Economy,civiliancompany_8cdd2f3ec7,mediacompany_5ef862a9f2,purchase/luxury,purchase,9817.812496865708,18.69030428449987
mor_443342c8b2,𝓔 Economy,strategiccompany_19901bf173,strategiccompany_6d22701402,purchase/space,purchase,8009.856712656114,25.340347423007493
mor_797ec0c9c2,𝓔 Economy,mediacompany_f8e14ee9a7,country_6263a1fe41,purchase/tourism,purchase,3812.1595481279005,15.265429037743875
mor_b772ce97c7,𝓔 Economy,industrialcompany_a47144cce2,country_515c19532d,purchase/construction,purchase,10353.866057648616,23.696005760948026
mor_9dbaf8ad89,𝓔 Economy,cyberdefensecompact_08a70b1e54,country_6263a1fe41,defense-support,defense,0.0,15.446698537395692
mor_2a1fc6e807,𝓔 Economy,strategiccompany_6d22701402,mediacompany_7eef8ee6fc,purchase/space,purchase,3920.9928542210346,26.921321419958417
mor_9ac62fc62d,𝓔 Economy,strategiccompany_6e611815a5,platformcompany_8cfcacd280,purchase/defense,purchase,27150.528897651675,29.781120019240074
mor_95c602f82d,𝓔 Economy,platformcompany_8cfcacd280,strategiccompany_6e611815a5,purchase/health,purchase,65072.68010863475,30.508430215954146
mor_75835c0c9b,𝓔 Economy,industrialcompany_dace4c1a97,researchcompany_48fb06cd6b,purchase/construction,purchase,2725.3171936505078,23.274494605796903
mor_33763e9c22,𝓔 Economy,mediacompany_57abd645a1,civiliancompany_8cdd2f3ec7,purchase/culture,purchase,80052.31292737063,20.237530860332626
mor_5c03939dc8,𝓔 Economy,civiliancompany_bd4c5d21f6,industrialcompany_0fbee3d505,purchase/housing,purchase,11733.961530613295,23.310806334199015
mor_b391969940,𝓔 Economy,mediacompany_ab3a187961,mediacompany_8cbe79e001,purchase/food,purchase,37565.89199264865,26.873925460904875
mor_05e7417a6d,𝓔 Economy,strategiccompany_c9334d528e,industrialcompany_97a11ef795,purchase/space,purchase,5228.6343879103115,24.943746607134244
mor_f4f6dd3c97,𝓔 Economy,industrialcompany_0fa3daf942,industrialcompany_7cfbe6b7e8,purchase/software,purchase,9505.863528779133,29.02542958068432
mor_9f01170264,𝓔 Economy,mutualdefensepact_2e0282d4d1,country_e2867ab19f,defense-support,defense,0.0,15.429361438428844
mor_611da1cdf2,𝓔 Economy,researchcompany_f4de8c9e09,industrialcompany_7cfbe6b7e8,purchase/education,purchase,38459.037623304976,30.698471685803966
mor_87257bbb5e,𝓔 Economy,strategiccompany_19901bf173,household_21bfe42a85,purchase/space,purchase,12892.594311462954,28.494425855899426
mor_2026dce15b,𝓔 Economy,industrialcompany_97a11ef795,industrialcompany_956f5c8acc,purchase/housing,purchase,15685.35233871535,25.632430961067485
mor_b0607c8bc3,𝓔 Economy,mediacompany_5ef862a9f2,strategiccompany_53bfa25ba4,purchase/culture,purchase,39944.97504713455,17.47545875190788
mor_ff60253feb,𝓔 Economy,researchcompany_82dc0f9edf,civiliancompany_1e50c0b917,purchase/biotech,purchase,32227.98121208242,29.72454391204375
mor_8d70639c15,𝓔 Economy,cyberdefensecompact_08a70b1e54,country_ad40e6eea8,defense-support,defense,0.0,17.809664040599888
mor_e7a14a9c15,𝓔 Economy,researchcompany_48fb06cd6b,industrialcompany_7cfbe6b7e8,purchase/biotech,purchase,6914.113784794478,24.708984019651965
mor_9c09401b30,𝓔 Economy,platformcompany_77affdcf0d,strategiccompany_19901bf173,purchase/insurance,purchase,11506.8242111816,22.74826089030513
mor_bcd0e1ee9f,𝓔 Economy,researchcompany_82dc0f9edf,country_ad40e6eea8,purchase/biotech,purchase,54380.779682298664,32.750041600561026
mor_4a207af104,𝓔 Economy,industrialcompany_956f5c8acc,country_ad40e6eea8,purchase/logistics,purchase,61375.48827266898,23.119522087958565
mor_c2025b2c0e,𝓔 Economy,industrialcompany_f013da2dd3,industrialcompany_0fbee3d505,purchase/insurance,purchase,79048.62817404985,27.777665575583086
mor_2aac82e2db,𝓔 Economy,strategiccompany_c9334d528e,industrialcompany_45e433d2eb,purchase/space,purchase,34666.88414284928,34.351431670457984
mor_551030686d,𝓔 Economy,industrialcompany_d32cb19e45,platformcompany_77affdcf0d,purchase/finance,purchase,20136.095402926396,21.70293641270366
mor_c3a37fd9d9,𝓔 Economy,mediacompany_f8e14ee9a7,strategiccompany_2301e228a4,purchase/tourism,purchase,45830.9880347605,17.949206657032345
mor_c330fd6e31,𝓔 Economy,industrialcompany_eefa11d327,strategiccompany_c9334d528e,purchase/energy,purchase,21270.067834192185,33.35886970579078
mor_5d1e3d64d5,𝓔 Economy,mediacompany_cd4596d788,strategiccompany_7e99b98e05,purchase/health,purchase,10532.137108351293,28.796172731801878
mor_70c22d00db,𝓔 Economy,strategiccompany_6e611815a5,strategiccompany_c9334d528e,purchase/defense,purchase,8589.413853227836,31.803296555253198
mor_5c2583c79b,𝓔 Economy,mediacompany_7eef8ee6fc,mediacompany_2cb705f3f4,purchase/media,purchase,15052.254541233942,17.320835180472873
mor_261102d839,𝓔 Economy,strategiccompany_19901bf173,industrialcompany_0fa3daf942,purchase/space,purchase,16812.63755234443,30.96829225265285
mor_6017f1fbbb,𝓔 Economy,civiliancompany_1e50c0b917,strategiccompany_c9334d528e,purchase/insurance,purchase,37372.234261377256,24.194243198720716
mor_34b56a6632,𝓔 Economy,civiliancompany_bd4c5d21f6,strategiccompany_15e3635be0,purchase/housing,purchase,35504.549219328816,26.189778264599145
mor_b513bdeedc,𝓔 Economy,strategiccompany_ef233feba5,country_57c0c633fd,purchase/defense,purchase,6189.767131421144,31.47315489479036
mor_9f7a1c15f7,𝓔 Economy,researchcompany_7dcb6f4e02,strategiccompany_2301e228a4,purchase/research,purchase,75628.90455771502,32.65012809154701
mor_9583009ebe,𝓔 Economy,industrialcompany_a47144cce2,country_515c19532d,purchase/construction,purchase,4909.0270764300285,25.338418475679955
mor_038f1e5da2,𝓔 Economy,platformcompany_8cfcacd280,household_8dc2710d4e,purchase/health,purchase,21406.485750774165,27.715136856774702
mor_0babe470a4,𝓔 Economy,industrialcompany_7cfbe6b7e8,platformcompany_77affdcf0d,purchase/water,purchase,22567.756287014163,25.308911722103865
mor_27023315ea,𝓔 Economy,mediacompany_8cbe79e001,household_f66e77d038,purchase/law,purchase,173678.59740264967,36.26056805430313
mor_09fe3a8a8f,𝓔 Economy,strategiccompany_15e3635be0,platformcompany_8cfcacd280,purchase/agriculture,purchase,48618.860946556524,26.323990549366883
mor_e548f3194e,𝓔 Economy,strategiccompany_7e99b98e05,civiliancompany_61722ade62,purchase/finance,purchase,108219.55487255615,25.113150437074054
mor_1e8111e878,𝓔 Economy,platformcompany_8cfcacd280,mediacompany_5ef862a9f2,purchase/health,purchase,19218.735532978302,27.87737821493101
mor_650a7c5ea3,𝓔 Economy,mediacompany_ab3a187961,researchcompany_f4de8c9e09,purchase/food,purchase,12978.945203222638,24.149433160738276
mor_457f4fafb6,𝓔 Economy,civiliancompany_61722ade62,researchcompany_82dc0f9edf,purchase/health,purchase,5175.873892282996,24.222909665660808
mor_c1a554c855,𝓔 Economy,researchcompany_82dc0f9edf,country_57c0c633fd,purchase/biotech,purchase,12230.532801474814,23.100529615137233
mor_f3051d8fd7,𝓔 Economy,mediacompany_7eef8ee6fc,civiliancompany_bd4c5d21f6,purchase/media,purchase,8524.406968653457,15.69254030955974
mor_54abb091c0,𝓔 Economy,industrialcompany_a47144cce2,researchcompany_2204f741cb,purchase/construction,purchase,73372.43994483458,32.02970729959991
mor_a78ede21de,𝓔 Economy,industrialcompany_f013da2dd3,industrialcompany_d0ca60b2b9,purchase/insurance,purchase,14974.154341157151,25.315896197470842
mor_471d4851f7,𝓔 Economy,mediacompany_f8e14ee9a7,household_d7640f0713,purchase/tourism,purchase,12278.855498622637,17.34331434859236
mor_1db2f1bc8c,𝓔 Economy,industrialcompany_7faa2fedf2,strategiccompany_6e611815a5,purchase/water,purchase,5726.6785207471,23.283735644877385
mor_694b6c4bbe,𝓔 Economy,researchcompany_2204f741cb,country_ad40e6eea8,purchase/biotech,purchase,21374.856230765665,30.048342230767926
mor_739b0b6aea,𝓔 Economy,industrialcompany_eefa11d327,industrialcompany_f2d67fe698,purchase/energy,purchase,10831.05005010418,28.691108390367518
mor_8a80ae7188,𝓔 Economy,researchcompany_7dcb6f4e02,strategiccompany_2301e228a4,purchase/research,purchase,105795.50986749347,32.18249571941684
mor_ce07c7b747,𝓔 Economy,researchcompany_75b8d7c03e,strategiccompany_53bfa25ba4,purchase/biotech,purchase,5478.834712783291,25.688538087896383
mor_90b0bce2ed,𝓔 Economy,strategiccompany_2f5839186f,household_f66e77d038,purchase/defense,purchase,5630.531377933463,32.71703715319975
mor_ef1afb300e,𝓔 Economy,industrialcompany_a4c745519b,platformcompany_77affdcf0d,purchase/semiconductors,purchase,3118.619905498071,23.415176317171156
mor_5f9a02dec2,𝓔 Economy,maritimesecurityleague_5d151daa96,country_ad40e6eea8,defense-support,defense,0.0,13.575566544343124
mor_8c1ad1be9b,𝓔 Economy,civiliancompany_61722ade62,researchcompany_7dcb6f4e02,purchase/health,purchase,64624.64787075482,31.042719408977604
mor_72debb861e,𝓔 Economy,industrialcompany_d0ca60b2b9,country_e2867ab19f,purchase/construction,purchase,26950.00966418612,28.351215445536674
mor_8f32bdf557,𝓔 Economy,industrialcompany_0fa3daf942,civiliancompany_bd4c5d21f6,purchase/software,purchase,44729.2391356368,30.222467819522258
mor_fed8ed9e12,𝓔 Economy,industrialcompany_eefa11d327,household_a42f642700,purchase/energy,purchase,15912.244972979037,29.25988283092766
mor_171a11f4c4,𝓔 Economy,mediacompany_ab3a187961,platformcompany_77affdcf0d,purchase/food,purchase,71539.97694565622,29.704884622690404
mor_6a741f55d1,𝓔 Economy,strategiccompany_2f5839186f,industrialcompany_f2d67fe698,purchase/defense,purchase,7762.724164739537,24.152917603242724
mor_23b880b517,𝓔 Economy,mediacompany_8cbe79e001,industrialcompany_a4c745519b,purchase/law,purchase,31705.36353865527,28.484442367764167
mor_b311a4da27,𝓔 Economy,strategiccompany_53bfa25ba4,platformcompany_77affdcf0d,purchase/agriculture,purchase,46551.8119364729,29.45960297258727
mor_3da8d1c04a,𝓔 Economy,industrialcompany_f2d67fe698,strategiccompany_15e3635be0,purchase/construction,purchase,6490.90627493454,24.775330482921916
mor_991578772c,𝓔 Economy,strategiccompany_2301e228a4,industrialcompany_45e433d2eb,purchase/cybersecurity,purchase,15553.043406077066,26.80584338911445
mor_f483cc28c1,𝓔 Economy,strategiccompany_ef233feba5,researchcompany_7dcb6f4e02,purchase/defense,purchase,30478.77286272034,30.644856609535946
mor_f1c12166cc,𝓔 Economy,strategiccompany_6d22701402,strategiccompany_ef233feba5,purchase/space,purchase,16777.857473816148,29.818105568613394
mor_6ee0c626a2,𝓔 Economy,industrialcompany_dace4c1a97,household_874eb99194,purchase/construction,purchase,16116.72264714734,26.750410294058938
mor_28b5399b8f,𝓔 Economy,researchcompany_48fb06cd6b,industrialcompany_7cfbe6b7e8,purchase/biotech,purchase,13200.295963455783,30.49380524688808
mor_25cfc1d98f,𝓔 Economy,researchcompany_75b8d7c03e,mediacompany_2cb705f3f4,purchase/biotech,purchase,5944.829912972304,25.662757872139103
mor_2bbaeecd16,𝓔 Economy,mediacompany_5ef862a9f2,civiliancompany_bd4c5d21f6,purchase/culture,purchase,73810.992244122,20.51644519034218
mor_745c58e9aa,𝓔 Economy,strategiccompany_6a7f0e9907,strategiccompany_53bfa25ba4,purchase/cybersecurity,purchase,28097.917442635768,27.563195239458587
mor_f669376022,𝓔 Economy,researchcompany_48fb06cd6b,researchcompany_f4de8c9e09,purchase/biotech,purchase,12132.691006468873,25.90737869643813
mor_fc2541d2a5,𝓔 Economy,industrialcompany_dace4c1a97,industrialcompany_f2d67fe698,purchase/construction,purchase,86719.25495011763,27.766051550555993
mor_15962aa81b,𝓔 Economy,industrialcompany_7cfbe6b7e8,strategiccompany_ef233feba5,purchase/water,purchase,2427.874089298494,20.289939939933852
mor_9a5eb7cdab,𝓔 Economy,researchcompany_88228128f7,household_d0e4d3caa0,purchase/food,purchase,8142.9114263926995,27.450664381617578
mor_7ac7380b7d,𝓔 Economy,industrialcompany_d0ca60b2b9,household_04b21a164f,purchase/construction,purchase,4961.967039583345,24.86124937635573
mor_b664ccedbb,𝓔 Economy,industrialcompany_956f5c8acc,household_d7640f0713,purchase/logistics,purchase,13547.582621125037,24.212828707253983
mor_273e632ada,𝓔 Economy,mediacompany_8cbe79e001,mediacompany_57abd645a1,purchase/law,purchase,92002.15541233329,33.8042213254615
mor_1126f8d2ef,𝓔 Economy,platformcompany_8cfcacd280,strategiccompany_7e99b98e05,purchase/health,purchase,11377.616574982225,25.01233910819863
mor_73404d18d9,𝓔 Economy,researchcompany_f4de8c9e09,country_ad40e6eea8,purchase/education,purchase,3215.912149218214,20.49244433848956
mor_f1a2dd1483,𝓔 Economy,mediacompany_57abd645a1,industrialcompany_7faa2fedf2,purchase/culture,purchase,23475.02481009175,19.388477097097063
mor_840c76c292,𝓔 Economy,industrialcompany_eefa11d327,household_d7640f0713,purchase/energy,purchase,81547.4958925502,34.702996297600286
mor_3d4adde082,𝓔 Economy,civiliancompany_1e50c0b917,household_d7640f0713,purchase/insurance,purchase,8635.410961921418,21.97442498028561
mor_2e7d260c34,𝓔 Economy,civiliancompany_61722ade62,platformcompany_77affdcf0d,purchase/health,purchase,8962.00249449263,29.382451572959425
mor_74f51f7a43,𝓔 Economy,researchcompany_75b8d7c03e,country_e2867ab19f,purchase/biotech,purchase,30852.517265578546,30.931622717810253
mor_0936926751,𝓔 Economy,strategiccompany_2f5839186f,household_d0e4d3caa0,purchase/defense,purchase,82795.33988713103,31.94071591510654
mor_3234f36db7,𝓔 Economy,mediacompany_7eef8ee6fc,platformcompany_77affdcf0d,purchase/media,purchase,25510.471886232775,17.315200455635853
mor_24f4f3009a,𝓔 Economy,strategiccompany_6e611815a5,country_57c0c633fd,purchase/defense,purchase,16758.840180295767,29.529352539757447
mor_6c303a2c7e,𝓣 Truth,centralbank_daf7e60705,industrialcompany_f013da2dd3,audit,audit,0.0,13.681446326945107
mor_ba5327ecf4,𝓣 Truth,maritimesecurityleague_5d151daa96,strategiccompany_7e99b98e05,audit,audit,0.0,13.241300492019466
mor_29e9f69af8,𝓣 Truth,country_515c19532d,mediacompany_ab3a187961,audit,audit,0.0,10.652216096306962
mor_a539dac026,𝓣 Truth,commercialbank_21b7a306e9,industrialcompany_0fa3daf942,audit,audit,0.0,11.311021238241386
mor_d854db5655,𝓣 Truth,unitednations_3d6f5cd54f,country_57c0c633fd,audit,audit,0.0,31.835490508817294
mor_088fd03711,𝓣 Truth,centralbank_6aaaa58ab3,researchcompany_88228128f7,audit,audit,0.0,8.939955976333284
mor_2f2b3b451e,𝓣 Truth,centralbank_6aaaa58ab3,industrialcompany_7cfbe6b7e8,audit,audit,0.0,12.157514724774895
mor_0420951616,𝓣 Truth,investmentbank_78bea85766,strategiccompany_15e3635be0,audit,audit,0.0,12.877412294153704
mor_151219c2a6,𝓣 Truth,cyberdefensecompact_08a70b1e54,strategiccompany_ef233feba5,audit,audit,0.0,8.56186032007091
mor_d6cdc48e55,𝓣 Truth,industrialcompany_7cfbe6b7e8,strategiccompany_2301e228a4,F(purchase/water),purchase,12825.71282131653,30.020105870361157
mor_2486352ab4,𝓣 Truth,researchcompany_75b8d7c03e,industrialcompany_956f5c8acc,F(purchase/biotech),purchase,47930.46621780359,31.89819032415287
mor_b4c8ce5eb4,𝓣 Truth,industrialcompany_eefa11d327,mediacompany_2cb705f3f4,F(purchase/energy),purchase,56833.53117854587,36.90480667879068
mor_447cfb913b,𝓣 Truth,mediacompany_57abd645a1,industrialcompany_f013da2dd3,F(purchase/culture),purchase,19808.416131403486,22.554096462778432
mor_e4840e6c32,𝓣 Truth,mediacompany_ab3a187961,civiliancompany_1e50c0b917,F(purchase/food),purchase,60785.55478515443,31.202289588576246
mor_c9cd65a12a,𝓣 Truth,civiliancompany_61722ade62,mediacompany_57abd645a1,F(purchase/health),purchase,43836.53091934061,34.457785353335424
mor_a74108ba1e,𝓣 Truth,mediacompany_8cbe79e001,household_2110299d5c,F(purchase/law),purchase,192342.61817828362,37.119859767825034
mor_1f5a46a983,𝓣 Truth,industrialcompany_f013da2dd3,researchcompany_48fb06cd6b,F(purchase/insurance),purchase,60034.6453928911,32.88126935361907
mor_905764fe55,𝓣 Truth,mediacompany_2cb705f3f4,industrialcompany_a4c745519b,F(purchase/insurance),purchase,76973.84327246269,32.93433694331581
mor_9f40fd93a7,𝓣 Truth,strategiccompany_c9334d528e,strategiccompany_6e611815a5,F(purchase/space),purchase,10778.575335293335,32.89373000587775
