id,name,class,country,assets,liabilities,capital_ratio,nonperforming_ratio,wk_score,truth_gap
bank_0ca7ec0c6c,Aurelia Development Bank,DevelopmentBank,Aurelia Union,44026704256.42943,25333601619.385742,0.15607110130340385,0.03366789216042656,0.0,0.0
bank_bd2a46a84a,Aurelia Investment Bank,InvestmentBank,Aurelia Union,27710110440.044056,9758694157.757856,0.11551536820811609,0.04142437344231106,0.0,0.0
bank_46c083e32e,Veritas Bank BOC-1,CommercialBank,Borealis Compact,2653715363041.823,934644193276.3207,0.1799138962095272,0.11799367747255841,0.0,0.0
bank_007587e67b,Veritas Bank BOC-2,CommercialBank,Borealis Compact,3499896763454.749,1899000904679.0005,0.0856496759039018,0.030356258648283146,0.0,0.0
bank_68548305ee,Cyrenia Development Bank,DevelopmentBank,Cyrenia League,929148735560.3785,301523073075.1593,0.15408847223382832,0.17950926591280966,0.0,0.0
bank_a5717f30a8,Lucent Bank CYL-2,CommercialBank,Cyrenia League,2150585389128.2886,1186686631983.0925,0.11840056939851953,0.1081582272310422,0.0,0.0
bank_747ae56ec2,Demeria Development Bank,DevelopmentBank,Demeria Commonwealth,156304070742.45337,82257595671.3635,0.09763257717236751,0.09478331024034287,0.0,0.0
bank_b262602e0b,Demeria Investment Bank,InvestmentBank,Demeria Commonwealth,380688940721.78687,133080307745.34912,0.1209394196392102,0.09582238828159899,0.0,0.0
bank_6fa73f17c9,Veritas Bank ELK-1,CommercialBank,Elyria Kingdom,602254063374.4435,267003908312.87747,0.1668344776955325,0.0467821845754797,0.0,0.0
bank_cedddbba10,Elyria Investment Bank,InvestmentBank,Elyria Kingdom,594175214553.8291,311241131124.7865,0.12273392586383507,0.049442922819445866,0.0,0.0
bank_fc894cdde2,Nexus Bank FAL-1,CommercialBank,Falken League,114148069790.77292,65669851035.80126,0.13746009466051795,0.054466348182079544,0.0,0.0
bank_aeef684138,Harbor Bank FAL-2,CommercialBank,Falken League,115065932565.18436,99001118496.74945,0.07199774987095062,0.05944571124028792,0.0,0.0
