id,category,source,target,name,kind,fiat_value,truth_score
mor_b3260ccfcc,𝓔 Economy,mediacompany_2d871ff9bc,researchcompany_d70650fc91,purchase/culture,purchase,103650.43820889712,20.830765787888996
mor_5cc6f38e0e,𝓔 Economy,industrialcompany_73cb1e5487,industrialcompany_8a06fa6e5b,purchase/housing,purchase,30096.912317441627,25.65906054543145
mor_f85d01b01c,𝓔 Economy,industrialcompany_db4d818fd8,industrialcompany_6c11b11486,purchase/insurance,purchase,9956.530179469788,23.49075120151515
mor_f26279e286,𝓔 Economy,industrialcompany_d644cf6a6c,strategiccompany_c1f41a50d8,purchase/finance,purchase,31818.811464749117,24.02514313903135
mor_f07c3debdd,𝓔 Economy,industrialcompany_8a06fa6e5b,industrialcompany_db4d818fd8,purchase/logistics,purchase,20788.816713322507,22.85925064355925
mor_d5aff7edce,𝓔 Economy,industrialcompany_273e09678b,researchcompany_a20bd197a4,purchase/construction,purchase,23343.98788905791,29.16450618772158
mor_233fb42996,𝓔 Economy,investmentbank_a97977ab9d,country_d0569cdc08,loan-origination,loan,123342.16918990665,21.2625
mor_b56c3c47e7,𝓔 Economy,civiliancompany_5dbfb614fc,strategiccompany_e4987f002a,purchase/health,purchase,52665.10190682427,31.316888803187062
mor_87e0d92088,𝓔 Economy,mediacompany_6c039e226e,mediacompany_1b17b48105,purchase/law,purchase,78093.5390662886,32.66599147358882
mor_6adc049753,𝓔 Economy,strategiccompany_0407c0f3b0,household_837cb4a957,purchase/cybersecurity,purchase,29962.439271890817,29.070542002916604
mor_8ecb3e5b8e,𝓔 Economy,researchcompany_d70650fc91,household_248ff965f9,purchase/education,purchase,11067.478055674508,25.350220807399975
mor_27cc0a6256,𝓔 Economy,civiliancompany_b677ec97e5,researchcompany_937004117b,purchase/luxury,purchase,18935.818097362866,18.888261305937757
mor_c02c865a47,𝓔 Economy,industrialcompany_17475691f2,civiliancompany_0d45042f15,purchase/construction,purchase,21599.33377867396,28.947393102131816
mor_89e787f942,𝓔 Economy,industrialcompany_6c11b11486,mediacompany_5980bc7864,purchase/software,purchase,8116.701791272626,25.419679355661312
mor_39fbbf8650,𝓔 Economy,researchcompany_c6901c3cba,industrialcompany_4fd4b950a0,purchase/biotech,purchase,69917.7233703207,32.99817418495215
mor_3909c79f51,𝓔 Economy,strategiccompany_7d20e7a342,mediacompany_5980bc7864,purchase/space,purchase,75854.70901217523,33.195631662965376
