month,planet_gdp,truth_score,truth_positive,truth_debt,naturality_gap,sheaf_gap,economic_morphisms,truth_morphisms,network_queue_depth,events,verifications,falsifications,predicate_elements,transaction_verifications
1,174453205698.173,8818.04925625008,8832.271463059853,14.222206809773825,23.959314562349995,0.0,20,31,5,0,135,6,141,121
2,174931541386.34735,14713.599209919046,14782.217243423373,68.61803350432639,24.956299813148437,0.0,37,83,4,1,279,11,290,250
3,175148572194.42212,19146.960927306343,19294.62116437433,147.66023706798723,24.72929084810925,0.0,54,147,6,1,391,25,416,356
4,174166159721.21188,24376.954977874037,24642.982502357703,266.0275244836682,24.925796631018525,0.0,73,233,8,2,522,37,559,479
5,175223561742.50656,29928.537643728054,30359.984150056007,431.44650632795333,24.27358083153128,0.0,91,337,8,3,655,45,700,600
6,175382610319.6304,35679.3889179354,36359.01542017424,679.6265022388379,24.49641777046631,0.0,107,451,6,3,788,45,833,713
7,176294899974.552,41859.79579563284,43069.54337985211,1209.7475842192675,24.69464472511962,0.0,128,563,7,3,935,47,982,842
8,176883211785.50696,47638.264167645204,49234.149987551966,1595.8858199067724,24.75268475198006,0.0,147,676,7,3,1075,51,1126,966
9,177408785527.8901,53124.61674410543,55205.66061236085,2081.04386825542,24.56965196576177,0.0,164,791,5,3,1213,58,1271,1091
10,177806834827.87943,57997.04740765436,60779.536025853085,2782.488618198725,24.550821493040324,0.0,183,901,8,4,1341,63,1404,1204
11,178424281245.42224,63866.09804763131,67297.63911430138,3431.541066670061,24.58848614491249,0.0,206,1016,8,4,1495,74,1569,1349
12,178957534570.34802,68594.46988708164,72749.45098843938,4154.9811013577455,24.399492045084042,0.0,229,1128,7,5,1633,91,1724,1484
13,179166320530.33395,72744.19876772602,77692.73243776061,4948.533670034587,24.26377673159012,0.0,245,1242,7,5,1755,104,1859,1599
14,179444135210.85587,76930.93133030871,82702.70659943414,5771.775269125423,24.33628600592128,0.0,260,1354,7,5,1875,110,1985,1705
15,180735548272.81055,81952.30751806991,88551.30194348902,6598.994425419114,24.361246754978566,0.0,278,1468,4,5,2012,114,2126,1826
16,181439249008.32257,86273.77593489201,93763.43793315272,7489.6619982607135,24.180492769609188,0.0,294,1581,8,5,2137,121,2258,1938
17,181720385494.7468,90156.65152041653,98619.53279368424,8462.881273267696,24.059738674075557,0.0,312,1692,6,5,2261,129,2390,2050
18,179801404871.471,95351.94298756702,104755.41116718308,9403.468179616066,23.955034345177992,0.0,330,1807,3,6,2408,131,2539,2179
19,180029090298.28403,99455.83375383347,109886.29669145761,10430.462937624132,23.889237109798394,0.0,346,1920,6,6,2534,137,2671,2291
20,181157576293.3521,103453.87264892552,114992.61501167668,11538.742362751167,23.8722607051441,0.0,363,2032,7,6,2661,142,2803,2403
21,182016505310.69556,107825.50071010838,120418.03330564336,12592.532595534984,23.973293696370362,0.0,380,2146,11,6,2796,147,2943,2523
22,181886090930.99655,111141.18711834197,124883.02165479623,13741.834536454271,23.799804916424524,0.0,398,2256,10,6,2912,157,3069,2629
23,181793323180.74854,115087.19115142095,129952.49559800675,14865.304446585797,23.8545060270174,0.0,415,2370,10,6,3043,167,3210,2750
24,182719325062.28177,120175.36449102586,136312.0279317816,16136.663440755734,23.761599608055143,0.0,436,2486,4,6,3201,174,3375,2895
