month,planet_gdp,truth_score,truth_positive,truth_debt,naturality_gap,sheaf_gap,economic_morphisms,truth_morphisms,network_queue_depth,events
1,527810502334.9815,22584.487528927057,22593.505823647305,9.01829472025246,24.55850422746728,0.0,105,113,0,0
2,527534126489.41504,25653.316209693134,25897.483280412354,244.16707071921877,24.483543628966196,0.0,202,226,0,0
3,527641187631.2089,28178.685357730716,28930.53786617055,751.8525084398372,24.02518043630306,0.0,299,339,0,1
4,527166756788.0952,30589.65296375835,32107.047215930805,1517.3942521724484,23.86470992838582,0.0,406,452,0,2
5,528619188666.5432,32974.89345620964,35866.93426939822,2892.0408131885843,24.0741738054109,0.0,511,565,0,2
6,529942323327.3961,34560.48756623134,39441.33534353282,4880.847777301479,24.124120234310876,0.0,613,678,0,2
7,529722502672.0721,35561.14659016211,43025.5852349927,7464.438644830587,23.594646183497176,0.0,723,791,0,3
8,530057838739.27606,36210.25282977621,46366.894011773446,10156.641181997233,23.587482026602245,0.0,823,904,0,3
9,530303751646.0109,36217.03152263074,49545.598034157905,13328.56651152717,23.26168162012032,0.0,916,1017,0,4
10,530297748957.7168,36034.804427626594,52861.15373517456,16826.349307547956,23.155765764910477,0.0,1017,1130,0,4
11,530614070221.04395,35729.97148186501,56394.39320832381,20664.42172645881,23.189365661645716,0.0,1127,1243,0,4
12,532722399703.36865,35251.440404217734,59743.19521111339,24491.754806895657,23.676319586787297,0.0,1228,1356,0,5
13,532856729922.7479,34712.51266440282,63280.79784827575,28568.28518387293,24.25301008258525,0.0,1336,1469,0,5
14,533521934277.54456,33267.555399964884,66371.86926369596,33104.31386373106,23.53863198926657,0.0,1444,1582,0,5
15,534437907622.9231,32202.510371611235,69718.39756020623,37515.887188594985,23.02602121627109,0.0,1552,1695,0,5
16,534259996962.7737,30555.915365752422,73150.87740400716,42594.96203825474,23.34421564801812,0.0,1664,1808,0,5
17,533654231976.8278,29104.682596438557,76615.72372017556,47511.041123737,23.08673929491929,0.0,1771,1921,0,6
18,534211275322.6403,27354.0600668771,79689.96505848579,52335.90499160869,23.446834274341345,0.0,1869,2034,0,6
19,535604446166.43463,24948.23906065787,82330.93011250655,57382.6910518487,23.177512549488394,0.0,1960,2147,0,7
20,536867853245.8825,22047.882169814926,85137.46144558037,63089.57927576543,23.005303059788428,0.0,2054,2260,0,8
21,538481701957.5455,19033.536917712558,88259.80484379843,69226.26792608586,23.66305900169029,0.0,2155,2373,0,8
22,539548640834.8012,16216.241934012793,91486.8612481067,75270.6193140939,23.99309693035973,0.0,2257,2486,0,8
23,542092754175.9951,12960.618597136563,94687.19713804444,81726.57854090793,24.07117731625803,0.0,2364,2599,0,8
24,543770853762.81915,10056.734802713905,97748.15648184651,87691.42167913263,23.911036973430285,0.0,2460,2712,0,8
