id,name,class,home_currency,fiat,debt,truth_score,truth_debt,tags
country_c9cf4d0d05,Kairounion,Country,KAI0,3066502259.4341054,72564.73248187521,673.5686422101792,7.103652288915448,country
country_3d2bb9c3a5,Borealreich,Country,BOR1,2657740965.7949605,0,745.2350168257636,0.2766335103441131,country
country_228ff9627b,Umbramark,Country,UMB2,6617424023.773531,0,728.2223722310055,0.6200574297291989,country
country_9af880874b,Junokron,Country,JUN3,3013280055.2444034,0,709.0092217312342,0.9890369144320585,country
country_2711e00f4d,Tethysstaat,Country,TET4,958503689.8265076,0,763.3108650867505,0.38408914921528203,country
country_21c2d7e832,Zenitunion,Country,ZEN5,2494254279.40001,0,718.8373137008336,0.1580621880651306,country
country_b7f33a52e7,Civitasreich,Country,CIV6,16279665461.82427,0,725.7736813897524,0.16325571158868268,country
country_bdb23c466f,Rheamark,Country,RHE7,3144593668.957149,0,728.2891731724328,0.7904495823921879,country
country_b441d651b1,Ioniabund,Country,ION8,1393474041.4936464,0,659.8146636023497,2.5415963960066534,country
country_051f766c51,Ferromark,Country,FER9,878094848.9593414,143753.63532679435,739.1309471398453,2.0460062584898315,country
country_dc45e2b238,Praxareich,Country,PRA0,7591729083.664918,0,862.3713739224135,0.6802383108260197,country
country_3c7931ae42,Mirastaat,Country,MIR1,1968233552.854885,0,675.4597523803651,0.7647572045366732,country
country_302806c9ed,Wegakron,Country,WEG2,3273897400.568768,0,712.5662015141007,1.2035682954591145,country
country_d07e02af1f,Miraland,Country,MIR3,1858114320.5213149,0,658.8811612561905,0.637966080770637,country
country_4010f449a5,Elioskron,Country,ELI4,3050396167.9927373,0,712.5112489641222,0.18413616848609307,country
country_bd49923afb,Dorianbund,Country,DOR5,7139777915.295929,0,740.3344039191707,0.6690876072104872,country
country_f77ce62ee5,Gaiakron,Country,GAI6,450815570.12479585,0,756.6318777182692,0.47771741344560287,country
country_3fe29e25a3,Wegarepublik,Country,WEG7,896936962.6464722,0,696.7660697793096,1.4240258426401324,country
unitednations_f0244af572,United Nations / Planetary Truth Council,UnitedNations,WK,0,0,113.55032904417658,1.5757931399670895,un
centralbank_fa9e2b2545,Central Bank of Kairounion,CentralBank,KAI0,1318497321.8781888,0,68.84799954547229,1.5060073380186094,central_bank;financial
investmentbank_c0a317d41b,Union Bank Kairounion-1,InvestmentBank,KAI0,492768713.36704785,0,42.08989516223162,2.0919181573106402,commercial_bank;financial
commercialbank_b470aa60b5,Union Bank Kairounion-2,CommercialBank,KAI0,122807000.471524,0,49.15830359383068,1.6521636049436392,commercial_bank;financial
developmentbank_836377f34e,Vector Bank Kairounion-3,DevelopmentBank,KAI0,425396910.5981696,0,43.04491098655211,0.4127646464780461,commercial_bank;financial
centralbank_e74c6ab805,Central Bank of Borealreich,CentralBank,BOR1,1679609282.249554,0,58.351795496261126,3.0748943020798767,central_bank;financial
commercialbank_a28a99554d,Trust Bank Borealreich-1,CommercialBank,BOR1,298373418.6107377,0,46.69173836511808,1.7207959229215442,commercial_bank;financial
investmentbank_2bcacd850b,Meridian Bank Borealreich-2,InvestmentBank,BOR1,518210325.27501905,0,37.78809131319719,2.618502079857372,commercial_bank;financial
developmentbank_e58d0cb2da,Nova Bank Borealreich-3,DevelopmentBank,BOR1,155099278.6464709,0,48.48433432990321,1.4931607268718334,commercial_bank;financial
centralbank_741c0c3106,Central Bank of Umbramark,CentralBank,UMB2,3795328192.2057157,0,57.01197619090089,2.3951391371924853,central_bank;financial
investmentbank_443e2446c5,Trust Bank Umbramark-1,InvestmentBank,UMB2,829539356.2616862,0,41.84829854252886,2.1956996074315,commercial_bank;financial
developmentbank_3e52f5d395,Union Bank Umbramark-2,DevelopmentBank,UMB2,1568435704.4369423,0,38.480168996142915,2.4642878990292423,commercial_bank;financial
developmentbank_53e4f05513,Civic Bank Umbramark-3,DevelopmentBank,UMB2,243077873.60897714,0,43.55468877069349,3.7349841223806055,commercial_bank;financial
centralbank_c8e09c7049,Central Bank of Junokron,CentralBank,JUN3,820342997.5963258,0,58.181597299568345,2.6310493300152507,central_bank;financial
commercialbank_0fa4799ce1,Atlas Bank Junokron-1,CommercialBank,JUN3,178182281.76270163,0,37.983631929630825,2.3569426545645555,commercial_bank;financial
developmentbank_0363bba172,Atlas Bank Junokron-2,DevelopmentBank,JUN3,166114146.43072274,0,36.116262175345234,1.1314002500989144,commercial_bank;financial
investmentbank_8f9c7c8ddf,Union Bank Junokron-3,InvestmentBank,JUN3,24794136.174298137,0,41.755115897454424,2.401912726266618,commercial_bank;financial
centralbank_d06120f6d8,Central Bank of Tethysstaat,CentralBank,TET4,706540252.3691331,0,73.8122607333816,1.6900343465327408,central_bank;financial
