id,name,country,currency,sector,employees,price,inventory,monthly_revenue,monthly_cost,cumulative_profit,fiat_debt,productivity,product_quality,reputation,risk,fraud_tendency,truth_score,truth_positive,truth_debt,top_truth_layers
agent_3ba9b85776,Quantum Foods 1,Selenreich,SEL,food,19.36,21310184.6221,7214.7736,0.0,910.3134,107572.7775,26275.5904,0.929291,0.725404,0.608376,1.0,0.017511,-1427.179,116.1028,1543.2818,"{liquidity=-1231.25, legal=-260.02, causal=+42.74, existence=+27.24, health=+14.36, social=+6.32, temporal=+2.83, risk_reduction=+1.28, ...}"
agent_712682e313,Vector Softworks 2,Ulmarreich,ULM,software,26.94,375203063.2182,79490.1266,0.0,327.0067,289561.0415,8494.8529,1.665722,0.926196,0.53759,1.0,0.02286,-10666.3518,101.8461,10768.1979,"{temporal=-4604.76, liquidity=-3321.69, legal=-2943.72, causal=+57.47, existence=+14.92, social=+6.66, attention=+1.66, epistemic=+0.91, ...}"
agent_2357ee0546,Signal Systems 3,Dravesia,DRA,software,20.85,62468699.6222,31522.7219,0.0,54.6119,368118.1822,577.6715,1.882213,0.717699,0.99,0.776252,0.067193,79.1657,100.5825,21.4169,"{causal=+34.79, legal=+24.07, liquidity=-21.42, existence=+13.58, social=+6.11, temporal=+3.04, attention=+1.28, epistemic=+0.97, ...}"
agent_a3a6ed4837,Union Build 4,Dravesia,DRA,construction,13.39,145566068.7411,45394.2158,0.0,3832.1275,-775164.5416,133863.3586,1.178334,0.725561,0.542948,1.0,0.037087,-36085.6599,74.5649,36160.2248,"{temporal=-29746.79, legal=-5282.33, liquidity=-3911.82, social=-694.27, causal=+38.93, existence=+18.18, infrastructure=+1.73, attention=+0.83, ...}"
agent_9dc64be47b,Pioneer Expeditions 5,Selenreich,SEL,tourism,25.57,154938291.7358,9260.2843,0.0,101.2183,228828.8757,483.1121,0.617429,0.318237,0.86671,0.882739,0.016749,97.9706,116.7433,18.7727,"{causal=+39.64, legal=+30.63, liquidity=-15.20, existence=+14.31, social=+7.70, temporal=+3.82, risk_reduction=-3.24, attention=+1.58, ...}"
agent_7053a962c2,Signal Health 6,Kaelreich,KAE,health,3.0,802903.2559,1966.0589,0.0,14.2209,65819.0356,127.7392,0.814373,0.732105,0.7077,1.0,0.022538,-62.3147,34.5677,96.8824,"{liquidity=-77.80, epistemic=-14.68, existence=+12.17, causal=+7.92, legal=+6.12, health=+1.59, social=+0.99, temporal=+0.40, ...}"
agent_25bebeeddc,Atlas Foods 7,Novaresia,NOV,food,3.0,38846019.683,882.4129,0.0,14.5396,481350.5234,216.8366,1.229007,0.438744,0.806577,0.753181,0.017081,20.2899,34.3058,14.016,"{liquidity=-14.02, existence=+13.94, causal=+6.63, legal=+5.96, health=+1.39, social=+1.18, temporal=+0.37, attention=+0.16, ...}"
agent_ba273eaa92,Saffron Mobility 8,Praxmark,PRA,mobility,11.96,947822.5826,31063.1922,0.0,762.6702,-10646.0174,25537.5093,0.934583,0.641848,0.99,1.0,0.031019,62.0694,98.318,36.2487,"{liquidity=-36.25, causal=+34.93, legal=+24.31, existence=+14.18, social=+5.22, temporal=+1.71, attention=+0.73, infrastructure=+0.25, ...}"
agent_78f289df53,Civitas Motors 9,Faronreich,FAR,mobility,74.75,858281168.2883,98611.9432,0.0,2002.2669,275349.3311,67429.7486,1.430819,0.812991,0.415732,1.0,0.035352,-48608.4359,185.1525,48793.5885,"{temporal=-34464.25, legal=-9061.26, liquidity=-8098.57, social=-585.44, causal=+122.11, existence=+15.92, attention=+4.62, infrastructure=+0.18, ...}"
agent_539341ae9a,Green Biomed 10,Galenheim,GAL,health,59.77,103405549.1898,50446.4513,0.0,360.9456,-67278.8626,0.0,0.901978,0.368634,0.92002,0.972896,0.025375,296.4823,296.4823,0.0,"{causal=+106.53, legal=+85.86, social=+19.65, existence=+15.38, temporal=+8.88, attention=+3.69, health=+3.05, epistemic=+0.87, ...}"
