id,name,currency,population,gdp,gdp_wk,fiat_per_wk,inflation,unemployment,stability,infrastructure,health_index,education_index,tech_level,environment,trade_openness,public_debt,sanction_level,truth_score,truth_positive,truth_debt,top_truth_layers
agent_1079c97fdb,Aurelterra,AUR,11681984.04,440462.3561,9.6573,45609.056599,0.18412,0.6,0.01,0.361474,0.472432,0.650882,0.631817,0.7294,0.522688,702577.6659,0.003636,-25334.1594,172.6716,25506.8309,"{temporal=-17689.85, legal=-5980.63, liquidity=-1769.06, social=-1693.90, health=+29.44, infrastructure=+28.06, ecological=+25.74, epistemic=+23.98, ...}"
agent_decb25254d,Borealgrad,BOR,128429518.77,1809524.258,722.9273,2503.051485,0.585937,0.6,0.01,0.700549,0.88516,0.669931,1.113316,0.028102,0.438102,9036921.9654,0.0,-191635.3244,2182.1018,193817.4263,"{temporal=-124718.11, legal=-50388.74, social=-14891.47, liquidity=-13855.42, causal=+456.46, health=+346.29, infrastructure=+308.58, risk_reduction=+160.48, ...}"
agent_8818eb48cd,Cyrenesia,CYR,25583927.6,274144.2987,40.7241,6731.744327,0.465272,0.6,0.01,0.784731,0.783925,0.535376,0.336237,0.832616,0.716644,1050825.3825,0.0,-23965.7583,262.0815,24227.8398,"{temporal=-16405.86, legal=-5887.42, liquidity=-1704.29, social=-1677.81, infrastructure=+54.69, health=+44.62, ecological=+31.49, causal=+26.29, ...}"
agent_41eb5b072a,Damaria,DAM,33512936.65,204382.925,47.3093,4320.145601,0.517585,0.6,0.01,0.511826,0.643068,0.574009,0.415994,0.618092,0.692184,892232.8377,0.032162,-14737.73,208.1948,14945.9247,"{temporal=-9982.10, legal=-3693.07, liquidity=-1076.61, social=-1032.20, infrastructure=+34.64, health=+32.64, causal=+27.82, epistemic=+24.00, ...}"
agent_a679a2b447,Eldorland,ELD,38880899.33,460474.9274,813.0115,566.38181,0.441326,0.501512,0.01,0.786734,0.699562,0.774516,0.711769,0.058628,0.26266,1686667.0369,0.033221,-78531.3436,1558.3578,80089.7014,"{temporal=-50832.91, legal=-21206.24, social=-6225.29, liquidity=-5804.50, health=+276.29, causal=+275.85, infrastructure=+264.78, risk_reduction=+113.72, ...}"
agent_6a92725698,Faronreich,FAR,19944379.84,1191900.0569,278.5733,4278.587563,0.479939,0.01,0.01,0.587504,0.734988,0.534076,0.929924,0.190555,0.291617,3716500.0013,0.0,-130240.0184,1042.9919,131283.0104,"{temporal=-88152.03, legal=-32291.19, social=-9297.70, liquidity=-9211.78, causal=+202.97, infrastructure=+183.96, health=+155.95, epistemic=+57.39, ...}"
agent_dcac1d2535,Galenheim,GAL,79111749.33,626730.204,409.7468,1529.554711,0.49501,0.6,0.01,0.456392,0.435843,0.574763,0.844784,0.333019,0.687687,2675071.2601,0.001291,-57569.7102,1443.1686,59012.8788,"{temporal=-38719.31, legal=-15042.72, liquidity=-4277.86, social=-4149.44, causal=+326.01, infrastructure=+256.94, health=+201.12, epistemic=+79.21, ...}"
agent_751b3158b3,Helioia,HEL,29174289.89,886519.3318,184.4909,4805.219974,0.418745,0.6,0.01,0.603061,0.835028,0.835196,0.369286,0.250601,0.852237,3070480.1413,0.001824,-66213.6767,626.3347,66840.0115,"{temporal=-44750.85, legal=-16503.09, social=-4750.61, liquidity=-4708.88, causal=+109.44, infrastructure=+107.33, health=+102.45, epistemic=+54.08, ...}"
agent_9460b94957,Istrpolis,IST,8485388.32,223359.3665,58.3461,3828.17872,0.353888,0.6,0.01,0.370264,0.836883,0.447588,0.641338,0.658305,0.629387,640769.624,0.0,-55578.9728,322.482,55901.4547,"{temporal=-38390.34, legal=-13304.78, liquidity=-3886.86, social=-3787.23, health=+69.48, infrastructure=+54.24, causal=+35.12, epistemic=+24.90, ...}"
agent_82d3aa6a7e,Jorvikmark,JOR,18178925.18,208628.017,77.0069,2709.21148,0.551189,0.6,0.01,0.455387,0.560659,0.621589,0.476592,0.857289,0.593811,949544.7772,0.010463,-37850.7901,393.1169,38243.907,"{temporal=-25895.99, legal=-9294.10, liquidity=-2692.77, social=-2636.72, causal=+75.57, infrastructure=+67.36, health=+52.17, epistemic=+34.60, ...}"
agent_786f354ec6,Kaelreich,KAE,18190584.87,566981.2605,118.6704,4777.783436,0.400015,0.599737,0.01,0.534907,0.428887,0.878355,0.404251,0.543434,0.614589,1743990.4677,0.006402,-204446.0445,670.4762,205116.5207,"{temporal=-140120.53, legal=-49161.28, social=-14210.66, liquidity=-14202.25, infrastructure=+163.17, health=+106.56, causal=+82.51, epistemic=+50.28, ...}"
agent_4b1b66cff9,Lumerterra,LUM,46246037.52,705492.3782,182.1925,3872.236691,0.645946,0.6,0.01,0.820046,0.920398,0.795443,0.907664,1e-06,0.465921,3840804.0323,0.0,-102583.3437,1074.9871,103658.3307,"{temporal=-67444.90, legal=-26573.29, social=-7780.74, liquidity=-7397.49, causal=+203.15, infrastructure=+165.79, health=+159.83, epistemic=+87.48, ...}"
