id,name,class,home_currency,fiat,debt,truth_score,truth_debt,tags
country_d73e0bb472,Orionmark,Country,ORI0,5774928964.4339695,0,347.92355586079515,0.6525312949032896,country
country_46d11ce32b,Kairokron,Country,KAI1,3418934667.5667443,0,330.81096274178293,0.38666400055482203,country
country_348698dcbb,Solreich,Country,SOL2,436030873.9064404,0,339.3862336225568,0.3022776006327617,country
country_41e160286b,Gaiazone,Country,GAI3,928152761.1202465,0,330.74587619933817,0.3121016892909943,country
country_ef19d2a4e0,Heliozone,Country,HEL4,8897980987.144207,0,356.2303880691609,0.5079371041170766,country
country_2f67772d97,Asterkron,Country,AST5,378047028.796539,0,323.35877022615693,0.42852588709386163,country
country_fce2f28b07,Tethysland,Country,TET6,9977713297.01252,0,327.1778861349216,0.3864308401984756,country
country_38d64115b0,Mirastaat,Country,MIR7,1940541520.3688233,0,331.03508912480464,0.32008384865812123,country
country_be9d530758,Civitasföderation,Country,CIV8,3751781434.0107107,0,334.63932648196294,0.260281466944926,country
country_05629b6f6a,Asterzone,Country,AST9,7832953802.710793,0,323.71100773659765,0.7643381672500774,country
country_6b67379fb9,Borealland,Country,BOR0,4233794968.967637,0,347.16675584342346,0.10637620371410135,country
country_a6041c9fe3,Nadirstaat,Country,NAD1,772576229.7748415,0,327.2142884483902,0.21008608928173056,country
country_91fb204d31,Ferrorepublik,Country,FER2,2990002133.1286254,0,327.55372884253666,0.3975565149902956,country
country_b70c31925c,Civitaskron,Country,CIV3,3175478991.6526546,0,335.25616834134416,0.5664893507126433,country
country_3e20bc8f1f,Zenitunion,Country,ZEN4,701774206.2482822,0,333.8190941286894,0.2820348715566986,country
country_dc617e043d,Civitasunion,Country,CIV5,3385467107.263615,0,336.01051135926605,0.2570973587576531,country
country_3bdbcf3342,Rheabund,Country,RHE6,15366339821.487642,0,338.46585875678977,0.1842856990770074,country
country_bcf1accdbe,Zenitreich,Country,ZEN7,3828955530.93584,0,317.6204655528813,0.4752973069386333,country
unitednations_b43a2fac48,United Nations / Planetary Truth Council,UnitedNations,WK,0,0,142.13427224319634,0.47217383503430915,un
centralbank_e12afa4b8d,Central Bank of Orionmark,CentralBank,ORI0,1968771055.044859,0,73.20645655059799,0.6644218883288514,central_bank;financial
investmentbank_2fe3aa4c70,Trust Bank Orionmark-1,InvestmentBank,ORI0,109852551.83440503,0,42.93696132913986,0.3738307638042413,commercial_bank;financial
commercialbank_1a1cd5d7a4,Nova Bank Orionmark-2,CommercialBank,ORI0,249433345.16630295,0,45.88932608055486,0.64176858088122,commercial_bank;financial
investmentbank_6bb4d46703,Trust Bank Orionmark-3,InvestmentBank,ORI0,584239856.2115842,0,43.6988935573725,0.5913403154141842,commercial_bank;financial
centralbank_af0de51d43,Central Bank of Kairokron,CentralBank,KAI1,1224280723.8602614,0,71.78766455145859,0.5571671804767667,central_bank;financial
commercialbank_0c69b3da8c,Meridian Bank Kairokron-1,CommercialBank,KAI1,319604521.7971983,0,46.732040632057036,0.23804926444575025,commercial_bank;financial
commercialbank_e6df0aeb16,Trust Bank Kairokron-2,CommercialBank,KAI1,66352095.54744301,0,45.15887176753329,0.47397031521903393,commercial_bank;financial
developmentbank_aa728ddd47,Nova Bank Kairokron-3,DevelopmentBank,KAI1,303877002.7728435,0,42.37737958836769,0.579876159039577,commercial_bank;financial
centralbank_6f96ce78e3,Central Bank of Solreich,CentralBank,SOL2,147313173.54295552,0,67.32317869169826,0.6059537627295347,central_bank;financial
commercialbank_24ea92bc8a,Atlas Bank Solreich-1,CommercialBank,SOL2,7371572.6083663525,0,41.49777692173349,0.9752376745221795,commercial_bank;financial
commercialbank_544c668bde,Meridian Bank Solreich-2,CommercialBank,SOL2,8853802.688425489,0,42.479818711645606,0.6693287760058514,commercial_bank;financial
developmentbank_0a3c56292e,Trust Bank Solreich-3,DevelopmentBank,SOL2,28547867.20663525,0,46.346046357495986,0.5520368281024982,commercial_bank;financial
centralbank_e86c6fc764,Central Bank of Gaiazone,CentralBank,GAI3,301269641.35505146,0,69.5006269801187,0.4715696215650663,central_bank;financial
investmentbank_a310c51210,Nova Bank Gaiazone-1,InvestmentBank,GAI3,14284309.547473669,0,39.50544897961092,0.7152415612844949,commercial_bank;financial
commercialbank_1fbce6eb4e,Civic Bank Gaiazone-2,CommercialBank,GAI3,19156556.883167237,0,46.51074341694054,0.20484755304383756,commercial_bank;financial
developmentbank_ca5b36d442,Meridian Bank Gaiazone-3,DevelopmentBank,GAI3,68769219.02296837,0,42.87477082850353,0.5433133722408289,commercial_bank;financial
centralbank_a1a9b4051b,Central Bank of Heliozone,CentralBank,HEL4,3342708693.413306,0,65.52849250693015,0.809225077298721,central_bank;financial
developmentbank_afc7f35281,Trust Bank Heliozone-1,DevelopmentBank,HEL4,294468217.0060539,0,44.4814165255886,0.49840859422366834,commercial_bank;financial
developmentbank_21e7296b98,Nova Bank Heliozone-2,DevelopmentBank,HEL4,1095998100.0769222,0,40.83012337141537,0.5157204776969775,commercial_bank;financial
commercialbank_153b40eaf0,Civic Bank Heliozone-3,CommercialBank,HEL4,957550439.6158916,0,46.14076053102826,0.5228685811868821,commercial_bank;financial
centralbank_79989f93ed,Central Bank of Asterkron,CentralBank,AST5,136864226.98567215,0,66.71498732138474,0.898279290968466,central_bank;financial
developmentbank_0cfc80731f,Union Bank Asterkron-1,DevelopmentBank,AST5,10769490.398646165,0,43.62849038004663,0.4660139984127558,commercial_bank;financial
commercialbank_5be1f89535,Meridian Bank Asterkron-2,CommercialBank,AST5,10995885.092624655,0,43.53503011516932,0.7636367964725632,commercial_bank;financial
commercialbank_25f547284b,Meridian Bank Asterkron-3,CommercialBank,AST5,58274380.06588219,0,43.49472735881586,0.6240195346181544,commercial_bank;financial
centralbank_92880c73fe,Central Bank of Tethysland,CentralBank,TET6,3396506085.190938,0,69.13178122250744,0.6044410461747939,central_bank;financial
commercialbank_6f5077a741,Civic Bank Tethysland-1,CommercialBank,TET6,294498907.7111196,0,45.35601861681718,0.7418322657268273,commercial_bank;financial
commercialbank_32a5ae7a2e,Nova Bank Tethysland-2,CommercialBank,TET6,1028856748.0340763,0,45.40900664697173,0.6088839545646083,commercial_bank;financial
commercialbank_8e42b9ffac,Civic Bank Tethysland-3,CommercialBank,TET6,1197807714.1105962,0,41.981544824215646,0.2802984635515415,commercial_bank;financial
centralbank_825b200b83,Central Bank of Mirastaat,CentralBank,MIR7,656706485.9312478,0,75.28475050483611,0.11798979886513572,central_bank;financial
commercialbank_1392b4a7c9,Atlas Bank Mirastaat-1,CommercialBank,MIR7,25934629.460732747,0,44.75259375660148,0.7079610757248574,commercial_bank;financial
investmentbank_f4d1487bd4,Vector Bank Mirastaat-2,InvestmentBank,MIR7,74581566.18330875,0,43.0433257540866,0.7541882051014072,commercial_bank;financial
