month,planet_gdp,truth_score,truth_positive,truth_debt,naturality_gap,sheaf_gap,economic_morphisms,truth_morphisms,network_queue_depth,events
1,1556622085211.9785,76999.91638025681,76999.91638025681,-0.0,24.235677942253783,0.0,320,115,0,1
2,1561533081815.936,88513.56804568149,88887.89138523953,374.323339558056,25.11609296257372,0.0,661,230,0,2
3,1563508115876.901,98662.95369933402,99931.54200584319,1268.588306509174,25.15560866581545,0.0,992,345,0,2
4,1564006439170.1821,108415.51750866255,110907.22027800206,2491.7027693395244,24.21848503834023,0.0,1339,460,0,2
5,1569482769321.5095,117301.63069316643,121594.47357314877,4292.842879982324,24.135018116838722,0.0,1684,575,1,2
6,1571828464520.8489,124345.56715370748,131108.8755570819,6763.308403374402,24.771725181815814,0.0,2025,690,1,2
7,1571519964290.5085,130785.56745114464,142681.91928136736,11896.35183022272,24.510355210705875,0.0,2367,805,1,3
8,1574805100588.7917,135978.5205369658,154230.27177513996,18251.751238174144,24.833468088929635,0.0,2713,920,1,3
9,1576106587227.1362,140386.88655915557,165779.31566387278,25392.429104717172,24.435707122431587,0.0,3050,1035,1,3
10,1575343734456.714,143120.31399916203,176723.69044254915,33603.37644338712,24.32882708557932,0.0,3393,1150,2,3
11,1578586260241.9355,145123.5406219752,187707.16960528304,42583.6289833078,24.214010322560775,0.0,3729,1265,2,3
12,1581215494669.867,145979.27873849595,198687.80855693654,52708.529818440606,24.254580439459613,0.0,4072,1380,2,3
13,1588003450652.782,146455.25813665325,209635.9657152276,63180.70757857432,24.769458188393962,0.0,4420,1495,2,3
14,1590417317038.9434,145951.3991118643,220582.42137524683,74631.02226338253,25.02506911651121,0.0,4762,1610,3,3
15,1592140366802.2974,144355.4407843368,231319.7023694555,86964.2615851187,24.144122065558676,0.0,5110,1725,3,3
16,1594812899274.2417,141164.1788057735,241228.56694297236,100064.38813719887,24.961524590270166,0.0,5438,1840,4,3
17,1595656034481.5552,137590.71868963502,251348.3797936193,113757.6611039843,24.10909837303084,0.0,5776,1955,4,3
18,1599722774488.9512,132920.41457883417,260745.82589903398,127825.41132019981,24.21937674825996,0.0,6103,2070,4,3
19,1601046918286.1616,127438.062172675,271140.8087482285,143702.74657555346,24.494776065005126,0.0,6448,2185,4,3
20,1605956565807.0046,122595.12446486687,281429.0142544707,158833.88978960383,24.217929055099496,0.0,6790,2300,4,3
21,1608770327045.3992,116123.23715849852,291305.8889970952,175182.65183859662,24.347649835950854,0.0,7131,2415,4,3
22,1612658225644.7603,108854.51640833204,300724.09357374534,191869.57716541327,24.91350648188896,0.0,7458,2530,5,3
23,1618817357081.348,101798.71972600871,310274.24928430206,208475.52955829326,24.998878547332385,0.0,7796,2645,5,4
24,1622233958059.356,92873.81362662397,320269.9667212712,227396.1530946472,24.323133882373245,0.0,8129,2760,5,4
