month,planet_gdp,truth_score,truth_positive,truth_debt,naturality_gap,sheaf_gap,economic_morphisms,truth_morphisms,network_queue_depth,events
1,174656570789.98816,5351.623010286258,5357.142655700854,5.519645414596001,23.09099540376925,0.0,15,26,7,0
2,174782775486.83643,6307.320872210904,6330.139446207142,22.81857399623814,22.79542546833026,0.0,38,75,8,1
3,174928674279.61096,7215.600338631954,7297.618030969464,82.0176923375098,23.83862299105111,0.0,61,150,4,1
4,175225694183.0186,7859.983204759893,8028.9912290534185,169.00802429352552,23.313385266477837,0.0,76,238,7,1
5,175353627706.02658,8443.422025898948,8768.252348058515,324.83032215956626,23.70480220441722,0.0,93,346,4,1
6,175529651278.83453,9137.696046279087,9751.232912519674,613.5368662405891,23.829299329146195,0.0,115,457,7,1
7,175685347617.2558,9678.861141755735,10726.43969406095,1047.5785523052155,23.868522369022337,0.0,135,572,8,1
8,175859854848.5299,10088.009723662208,11609.224062285,1521.214338622793,23.9299925021148,0.0,155,686,3,1
9,174121105671.44064,10280.46704854328,12334.48745346535,2054.0204049220683,24.018517717882293,0.0,169,797,7,2
10,174749670611.59015,10718.294914408636,13324.34141599461,2606.0465015859745,24.00342556008409,0.0,194,908,7,2
11,175262320915.3707,10829.380594070884,14096.801086463118,3267.4204923922334,23.882135601401238,0.0,212,1022,6,3
12,175237691798.5028,11186.5498879333,15064.84008810592,3878.290200172618,23.83185104522312,0.0,237,1137,3,3
13,175061001239.41223,11305.54234220051,15918.748532145493,4613.206189944982,23.742544350675903,0.0,257,1250,5,3
14,175968116373.18048,11353.827599106024,16743.800378325723,5389.972779219697,23.934209405409334,0.0,277,1363,6,3
15,176605934407.2544,11317.103463274254,17540.338151435113,6223.234688160857,23.760437534737115,0.0,297,1476,6,3
16,177048728549.07257,11214.072594225956,18350.21916745002,7136.146573224065,23.64224877532923,0.0,317,1590,4,3
17,176920684965.81644,11129.393088928953,19189.086013222102,8059.692924293149,23.782010148581072,0.0,338,1701,4,3
18,177278492682.48474,10762.293395120654,19855.96436598313,9093.670970862473,23.762842163061734,0.0,352,1814,8,3
19,178270587034.92926,10548.384277345252,20789.212408936717,10240.828131591461,24.037164616148424,0.0,372,1930,4,3
20,178700738615.47372,10117.323056145759,21433.210716502963,11315.887660357204,24.116711301188175,0.0,384,2039,8,4
21,178757112822.76562,9737.452195897717,22233.8245096411,12496.372313743384,24.342083484259042,0.0,400,2155,6,4
22,178959355448.32657,9355.38085138448,22945.243966797516,13589.863115413034,24.37917983312083,0.0,417,2264,11,4
23,179097863484.57495,8968.945143672712,23794.222014221086,14825.276870548374,24.524894471545025,0.0,438,2377,7,5
24,179001015905.88834,8600.106127404837,24615.87462140403,16015.768493999192,24.674444608031106,0.0,454,2493,5,5
