month,planet_gdp,truth_score,truth_positive,truth_debt,naturality_gap,sheaf_gap,economic_morphisms,truth_morphisms,network_queue_depth,events,verifications,falsifications,predicate_elements,transaction_verifications
1,174452043333.5073,9069.856500373398,9069.856500373398,-0.0,23.97935223145105,0.0,20,31,5,0,141,0,141,121
2,174929951741.4839,15381.290470511205,15407.643301261232,26.352830750027298,25.278083169083843,0.0,37,83,4,1,290,0,290,250
3,175146899756.37488,20664.93628448037,20738.121707760587,73.18542328021523,25.02883468923635,0.0,54,147,6,1,410,6,416,356
4,174163141842.44998,26753.857416536197,26946.91265212997,193.05523559377275,25.144984176905904,0.0,73,233,8,2,550,9,559,479
5,175220373761.88098,32337.309892953755,32692.537844800743,355.2279518469912,24.514717630939927,0.0,91,337,8,3,682,18,700,600
6,175378134761.58432,37880.03523333407,38476.18551697558,596.1502836415103,24.68470983008535,0.0,107,451,6,3,813,20,833,713
7,176291437280.52402,43500.084051065365,44590.7278481975,1090.6437971321316,24.872344687433205,0.0,128,563,7,3,953,29,982,842
8,176878535376.50638,49233.24781200898,50791.843290612924,1558.595478603936,24.949048289422954,0.0,147,676,7,3,1093,33,1126,966
9,177402230892.61322,54393.52538037944,56516.470754621456,2122.9453742420137,24.772547735571138,0.0,164,791,5,3,1228,43,1271,1091
10,177800547121.36768,59592.730399183274,62349.80035211345,2757.069952930171,24.752990005112416,0.0,183,901,8,4,1359,45,1404,1204
11,178416958827.51132,66011.3409163167,69366.59259895011,3355.2516826334218,24.779185602583105,0.0,206,1016,8,4,1518,51,1569,1349
12,178950299826.53455,70652.35012909558,74667.4227980806,4015.0726689850244,24.59944660363681,0.0,229,1128,7,5,1654,70,1724,1484
13,179158366044.42255,75240.49861921571,79953.32692544124,4712.828306225528,24.39466566949452,0.0,245,1242,7,5,1780,79,1859,1599
14,179437316997.17886,79742.62978582752,85123.78289552359,5381.153109696063,24.439463493737634,0.0,260,1354,7,5,1902,83,1985,1705
15,180727852024.1336,84821.60598935724,90927.3835816415,6105.777592284259,24.474357498323506,0.0,278,1468,4,5,2038,88,2126,1826
16,181431566144.76282,89111.36583024997,96078.84453213209,6967.478701882143,24.282612173156124,0.0,294,1581,8,5,2162,96,2258,1938
17,181712961612.3652,93449.89432214903,101221.769214561,7771.874892411959,24.160281444728646,0.0,312,1692,6,5,2289,101,2390,2050
18,179794019745.49008,98123.99804582851,106808.53659312188,8684.5385472934,24.056675685101215,0.0,330,1807,3,6,2429,110,2539,2179
19,180022180072.6079,102172.72919245936,111810.56959230239,9637.84039984304,23.97986581212176,0.0,346,1920,6,6,2553,118,2671,2291
20,181151201295.85416,106467.47685600806,117052.47485197357,10584.997995965521,23.980431706063225,0.0,363,2032,7,6,2681,122,2803,2403
21,182009952692.26447,110649.30937206023,122239.99674561224,11590.687373552006,24.093004509086093,0.0,380,2146,11,6,2812,131,2943,2523
22,181879776029.13837,114827.32061052378,127396.81311979886,12569.492509275075,23.910095227634688,0.0,398,2256,10,6,2935,134,3069,2629
23,181786423167.88513,119216.24413971094,132870.3431105433,13654.098970832369,23.967484802876463,0.0,415,2370,10,6,3069,141,3210,2750
24,182711821029.55954,124610.12222435317,139441.67290633684,14831.550681983648,23.868493450113924,0.0,436,2486,4,6,3229,146,3375,2895
