id,category,source,target,name,kind,fiat_value,truth_score
mor_c718af99ad,𝓔 Economy,strategiccompany_a37a4038e4,civiliancompany_f2bbe4ac68,purchase/cybersecurity,purchase,5867.125694793795,24.705558855131272
mor_a23dcfe797,𝓔 Economy,industrialcompany_682c40b9e7,country_65e6eff9fc,purchase/insurance,purchase,26187.181116046577,23.93455861766624
mor_fb0d42a32f,𝓔 Economy,civiliancompany_dfb11afbd5,mediacompany_a3e8b7b2e9,purchase/luxury,purchase,14244.890599990387,18.704219560137226
mor_80d3f71f6c,𝓔 Economy,mediacompany_198cd0d849,country_e112137b29,purchase/food,purchase,13313.888971581491,26.471598292177248
mor_5e1eeb4fdd,𝓔 Economy,mediacompany_35cff41845,household_e0b7b7aff2,purchase/luxury,purchase,3585.351279388714,15.887783601409614
mor_61dac38890,𝓔 Economy,strategiccompany_cbc82a961d,household_b250921964,purchase/space,purchase,15843.53846314962,30.329608188550285
mor_1b3f0331b7,𝓔 Economy,industrialcompany_e62e17a34d,strategiccompany_4370c670b1,purchase/housing,purchase,16701.615676004574,24.77358356951334
mor_e4428e6046,𝓔 Economy,platformcompany_0a1668f808,strategiccompany_725912a01c,purchase/health,purchase,7132.740697930834,26.78679257854041
mor_d76f97fccc,𝓔 Economy,researchcompany_0afdf5b30a,strategiccompany_a37a4038e4,purchase/research,purchase,27809.194850648728,30.70381826799245
mor_141ff6742c,𝓔 Economy,industrialcompany_727b5ff63d,country_a576e620a8,purchase/construction,purchase,98658.08773925909,28.580758042509938
mor_5452a09f12,𝓔 Economy,mediacompany_9206e7eda9,household_e0b7b7aff2,purchase/health,purchase,14692.476842058724,27.410759017176574
mor_8408d1b63b,𝓔 Economy,civiliancompany_9c3efe010d,researchcompany_fa6bb40e2e,purchase/health,purchase,26816.07182347541,31.940725252986844
mor_3cce83412a,𝓔 Economy,strategiccompany_1f9cfb14e1,household_3900b274fc,purchase/agriculture,purchase,4982.5673575684605,21.699890038773898
mor_c1a2c1b6c9,𝓔 Economy,mediacompany_7d9c8278ac,household_7d320cf16c,purchase/insurance,purchase,19388.556836248965,27.89152347813429
mor_0e9a685299,𝓔 Economy,maritimesecurityleague_0dba1e5984,country_65e6eff9fc,defense-support,defense,0.0,22.873641166103663
