id,category,source,target,name,kind,fiat_value,truth_score
mor_807dbb268f,𝓔 Economy,mediacompany_2cc50ce509,strategiccompany_0103344cf3,purchase/mobility,purchase,6167.7498295129135,25.339882647558387
mor_0e85c91284,𝓔 Economy,mediacompany_d63a526cf7,strategiccompany_ba39312854,purchase/culture,purchase,9058.182773655857,15.646868828225632
mor_1b49a507c5,𝓔 Economy,mediacompany_67c2c29122,strategiccompany_967ec3b0dc,purchase/finance,purchase,111487.55849040968,25.753233185548137
mor_2fb727bb98,𝓔 Economy,civiliancompany_b1b0605ff7,civiliancompany_a44c5b22c3,purchase/finance,purchase,137123.65265797565,28.77604139779025
mor_dcbfc2b799,𝓔 Economy,strategiccompany_cf0b14a666,strategiccompany_f7cd1d18ea,purchase/space,purchase,10726.419675468363,27.764083070039323
mor_922b85b9fb,𝓔 Economy,researchcompany_464c868a48,strategiccompany_8106b582e0,purchase/health,purchase,41837.41186716725,31.528343189475766
mor_1123b50055,𝓔 Economy,platformcompany_2629d2bfdd,strategiccompany_5cd30d07bb,purchase/software,purchase,30521.426494607553,28.17644814836184
mor_a6bc7a066b,𝓔 Economy,mediacompany_5da6bd97b1,industrialcompany_dbcbc2b340,purchase/culture,purchase,2727.3307008509287,14.389264312334976
mor_c018647029,𝓔 Economy,industrialcompany_824e023ab2,researchcompany_f3c7f0caa8,purchase/energy,purchase,76257.01851328458,35.075823118199764
mor_73523f5952,𝓔 Economy,researchcompany_dfa67019e1,industrialcompany_164a380aee,purchase/housing,purchase,141278.65189100217,31.124175925282863
mor_57ff097ccc,𝓔 Economy,researchcompany_e7af53183d,strategiccompany_459b5017e6,purchase/biotech,purchase,25468.121646556465,29.254293522174
mor_f751853b94,𝓔 Economy,researchcompany_6296f04a0b,strategiccompany_b2131c7779,purchase/software,purchase,15651.485110506192,26.809462439223072
mor_cf19cb07f9,𝓔 Economy,industrialcompany_f028263ecc,industrialcompany_7305cf1faa,purchase/water,purchase,88886.9165313893,30.728834305277196
mor_925dc6c247,𝓔 Economy,mediacompany_956134b877,platformcompany_0093e7d697,purchase/culture,purchase,27423.76731552895,18.366283025866228
mor_cda733cdf6,𝓔 Economy,industrialcompany_e8ba9883e0,industrialcompany_49fbd39fdd,purchase/energy,purchase,116776.18076240184,34.4686284131224
