month,planet_gdp,truth_score,truth_positive,truth_debt,naturality_gap,sheaf_gap,economic_morphisms,truth_morphisms,network_queue_depth,events
1,527811281504.75275,22592.12654125995,22601.70162440147,9.575083141521056,24.594442092755703,0.0,105,113,0,0
2,527532855915.4046,25361.60515405098,25636.066446541205,274.4612924902253,24.59432784604135,0.0,194,226,0,0
3,528987498935.50275,28173.522311175708,28994.4301352423,820.9078240665859,24.403835366352,0.0,304,339,0,0
4,530304581853.96045,30051.892290883476,31930.17387307443,1878.2815821909605,23.906660320079194,0.0,401,452,0,0
5,530972989478.66394,31870.477611620794,35531.20187283666,3660.7242612158625,23.713684292097774,0.0,503,565,0,0
6,532905919416.7033,33194.39779180597,38975.15849703037,5780.760705224393,23.571280002201966,0.0,601,678,0,0
7,534766952262.85956,34165.230786047236,42421.407695434995,8256.176909387757,23.360242749386572,0.0,705,791,0,1
8,534999178026.43353,34921.30096096555,45989.60192416825,11068.300963202697,24.103435329116678,0.0,812,904,0,1
9,536680387243.0659,34971.333798399864,49085.07381716111,14113.740018761237,24.060733719542924,0.0,910,1017,0,1
10,535887633930.538,34666.76780764319,52260.20615392876,17593.438346285588,23.689561076037364,0.0,1004,1130,0,1
11,536306601952.1688,34701.76377900027,55860.294093140765,21158.530314140495,24.18893419486846,0.0,1109,1243,0,1
12,536941610451.76196,34072.75008623717,59210.64046017654,25137.890373939375,24.19189028909019,0.0,1209,1356,0,1
