id,category,source,target,name,kind,fiat_value,truth_score
mor_68aa008b84,𝓔 Economy,mediacompany_c481909b28,strategiccompany_414c0122fc,purchase/mobility,purchase,11825.837604241711,27.159209303694542
mor_a5f4e148e0,𝓔 Economy,mediacompany_b67bbf3a1b,strategiccompany_973dfad7b9,purchase/culture,purchase,10567.177129133757,15.894592984209698
mor_41d7687b57,𝓔 Economy,mediacompany_25847f7f33,strategiccompany_37c4346b40,purchase/finance,purchase,104906.60934377734,25.622604468152904
mor_8c298967f2,𝓔 Economy,civiliancompany_2254dc3585,civiliancompany_9f001bd008,purchase/finance,purchase,91821.38942233211,27.844079888633072
mor_a6387730da,𝓔 Economy,strategiccompany_036768f8c2,strategiccompany_c9caa47b83,purchase/space,purchase,11264.446804316003,27.90422031748481
mor_aa1845d8c6,𝓔 Economy,researchcompany_38a4029ea6,strategiccompany_de45e57b8b,purchase/health,purchase,23825.01617095412,29.9056370001728
mor_6e9383d2d8,𝓔 Economy,platformcompany_227ef64810,strategiccompany_bb859dbd3d,purchase/software,purchase,26110.996362717822,27.7670576076904
mor_ee5c323757,𝓔 Economy,mediacompany_128ec0a37e,industrialcompany_96cb3fb494,purchase/culture,purchase,3734.7799750700196,14.920603424114645
mor_95c669ade9,𝓔 Economy,industrialcompany_6cf187f023,researchcompany_6f0653e9c5,purchase/energy,purchase,62333.75651281726,34.46708969155983
mor_4334cc527d,𝓔 Economy,researchcompany_2f73622aa5,industrialcompany_d1fa65767b,purchase/housing,purchase,158418.77057217326,31.41568238274987
mor_8e8e2d6c5e,𝓔 Economy,researchcompany_12090056e8,strategiccompany_cfd3af9100,purchase/biotech,purchase,25894.237196154918,29.300406178946975
mor_7241518f9e,𝓔 Economy,researchcompany_43f38d238d,strategiccompany_eca58b0676,purchase/software,purchase,8359.254144190507,25.141203439926194
mor_7dbbba55f1,𝓔 Economy,industrialcompany_bbd42b5be7,industrialcompany_106debf1b8,purchase/water,purchase,102589.1910659583,31.101326159956585
mor_21c4be0ea8,𝓔 Economy,mediacompany_75d0f6dc07,platformcompany_e627ef2081,purchase/culture,purchase,10671.049553765546,16.76454630366089
mor_50aa747e8e,𝓔 Economy,industrialcompany_7e0124fee1,industrialcompany_c625fbb9d3,purchase/energy,purchase,106394.45696719862,34.20225379001892
mor_8f41cbafb7,𝓔 Economy,platformcompany_0e895a8d67,researchcompany_93f5c28fd3,purchase/health,purchase,35583.906001266514,27.35956886754356
mor_9db891964d,𝓔 Economy,strategiccompany_2c67619598,industrialcompany_c9fa67619e,purchase/luxury,purchase,59632.37429766659,20.68649573854573
mor_40bf95743f,𝓔 Economy,industrialcompany_faecf36774,industrialcompany_16db9fe15f,purchase/energy,purchase,5666.980480084823,24.808151394493205
