region,commune,biome,population,wellbeing_proxy,avg_health,avg_education,avg_autonomy,avg_trust,truth_error,democratic_quality,water_stock,food_stock,energy_stock,shelter_capacity,health_capacity,care_capacity,education_capacity,mobility_capacity,manufacturing_capacity,storage_capacity,governance_capacity,knowledge_capacity,resilience_capacity,repair_materials,waste,soil_health,biodiversity,watershed,local_pollution,renewable_infrastructure,top_priority_domain,top_priority,top_labor_domain,top_labor_share
Aqua-North Basin,Aqua-Nort Commune 900,coastal_delta,74744143.871,0.970803,1.0,0.970879,0.805352,1.0,0.02,0.487954,5672152.42,5628104.994,3519977.306,3573421235.258,3853554089.077,2832640362.429,1977209814.841,1554247625.269,1343326067.705,2092001753.538,1638444746.146,3454160799.47,1809187507.068,220416811.118,1590159.982,1.0,1.0,1.0,8e-05,0.737312,food,0.86165,food,0.101058
Aqua-North Basin,Aqua-Nort Commune 883,coastal_delta,141895364.431,0.985931,1.0,0.970191,0.90621,1.0,0.02,0.548685,12624194.307,9991132.25,7239903.155,7592309465.238,7739595187.057,6152437553.11,4831622177.354,3111693950.188,2131003692.212,4226833334.601,3934699179.428,6990539466.871,4179535680.513,68927777.743,3018782.141,1.0,1.0,1.0,0.000151,0.729909,water,0.857805,food,0.100525
Aqua-North Basin,Aqua-Nort Commune 313,coastal_delta,65521945.081,0.981167,1.0,0.997544,0.874449,1.0,0.02,0.550876,8141323.99,11568490.878,7225169.472,3224862887.675,2901244557.061,2876557566.832,2152241214.21,1626620352.225,1248874331.532,1809997741.617,1792019448.191,3268242139.874,1913045915.344,345412039.858,1393970.783,1.0,1.0,1.0,7e-05,0.939913,water,0.852318,food,0.097344
Aqua-North Basin,Aqua-Nort Commune 454,coastal_delta,60711911.601,0.99397,1.0,0.994827,0.9598,1.0,0.02,0.720542,6741306.634,6294546.409,5749420.704,3564853113.242,4051907060.555,3383637717.388,2895103349.878,1923885884.929,1196263313.029,2087342440.674,2534308372.953,3675465164.609,2517884087.264,111028344.744,1291636.969,1.0,1.0,1.0,6.5e-05,0.928754,water,0.867416,food,0.098896
Aqua-North Basin,Aqua-Nort Commune 708,coastal_delta,88953628.133,0.996854,1.0,1.0,0.979028,1.0,0.02,0.790461,10972975.059,9081501.018,5620621.968,5122725484.777,5979043819.939,5052696904.069,4372827102.508,2905784428.485,1868830279.138,3131521620.894,3298165185.439,4932121824.332,4194729263.465,314342798.528,1892478.066,1.0,1.0,1.0,9.5e-05,0.843115,water,0.868175,food,0.09783
Aqua-North Basin,Aqua-Nort Commune 504,coastal_delta,26695159.099,0.986054,0.999042,1.0,0.907982,1.0,0.02,0.573577,0.0,1369218.778,269243.764,1245864563.757,933280841.996,861161511.689,805341869.681,424711579.098,437640716.901,798192381.866,675870425.504,1152060133.944,663365479.099,69474641.696,567936.587,0.907201,1.0,1.0,0.105091,0.495214,water,0.890668,food,0.100465
Aqua-North Basin,Aqua-Nort Commune 641,coastal_delta,53217883.167,0.986675,0.98611,0.949424,0.925057,1.0,0.02,0.511099,4278866.005,2213311.729,3348251.185,2346459095.152,1921731014.801,1870934652.318,1117549606.33,1052424497.051,861191062.511,1443671548.323,1205393264.845,2045896818.967,1220043325.131,90228383.317,1132193.732,1.0,1.0,1.0,5.7e-05,0.973843,food,0.866105,food,0.101808
Aqua-North Basin,Aqua-Nort Commune 368,coastal_delta,85312135.886,0.970647,0.900208,0.976653,0.904107,1.0,0.02,0.503643,51552.973,3161038.298,2959270.665,3428269629.457,2021103213.537,2218923641.346,1347455563.006,1260540294.211,1238766363.524,1913989422.936,1486205405.963,2706992554.493,1323414214.454,212561085.138,1815057.26,1.0,1.0,1.0,9.1e-05,0.758821,water,0.890196,food,0.10136
Forest Equator Belt,ForestEq Commune 139,mountain_water,7575431.08,0.990729,0.976571,1.0,0.961622,1.0,0.02,0.554059,1231653.507,0.0,513721.073,427296062.972,349674745.074,357921101.002,274239464.343,169366124.221,161858578.781,236458944.496,242111115.255,401022524.759,234011790.167,26735604.302,161167.734,0.638974,0.822483,1.0,0.078472,0.490513,food,0.866628,food,0.103101
Forest Equator Belt,ForestEq Commune 262,mountain_water,13123611.362,0.992504,0.99862,1.0,0.951408,1.0,0.02,0.735486,1854737.887,0.0,1205294.711,769854023.647,732740149.249,622779107.69,563925059.618,366493868.39,280055068.655,430968436.028,516813290.352,752805509.638,572865912.122,69415936.038,279203.436,0.682796,0.777906,1.0,0.004824,0.749998,food,0.877956,food,0.102624
