step,kind,legacy_term_replaced,action,domain,sector,from_region,from_commune,to_region,to_commune,activated_effect,causal_link,direction_vector,note,causality,time,intensity,existence,potencies,effects,substance,matter,difference,determination,phenomena,angle_direction
120,contribution_offer,sell/labour_supply,activate_causal_effect,water,primary_reproduction,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,41284888.2009,water:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=3.237; difference=3.705; determination=3.326,"contribution time directed by truth-vector priority, not wage/price",3.52,3.272368,3.393323,3.793323,2.311334,3.88,3.132871,3.491119,3.704747,3.325565,4.0,3.237109
120,contribution_offer,sell/labour_supply,activate_causal_effect,food,primary_reproduction,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,43248322.231269,food:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=3.237; difference=3.701; determination=3.324,"contribution time directed by truth-vector priority, not wage/price",3.28,3.190852,3.350964,3.730964,3.049872,3.76,3.132871,3.491119,3.701377,3.323712,4.0,3.237109
120,contribution_offer,sell/labour_supply,activate_causal_effect,energy,infrastructure_energy,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,40865785.267032,energy:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=3.208; difference=3.814; determination=3.386,"contribution time directed by truth-vector priority, not wage/price",3.12,2.969523,3.293786,3.605786,3.064352,3.2,3.132871,3.491119,3.81398,3.385643,4.0,3.208
120,contribution_offer,sell/labour_supply,activate_causal_effect,shelter,social_infrastructure,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,23499758.935028,shelter:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=3.120; difference=0.000; determination=1.288,"contribution time directed by truth-vector priority, not wage/price",2.92,1.381232,0.688,1.032,2.364179,3.52,3.132871,3.491119,0.0,1.287954,0.795182,3.12
120,contribution_offer,sell/labour_supply,activate_causal_effect,health,care_reproduction,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,24927818.201181,health:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=3.237; difference=0.000; determination=1.288,"contribution time directed by truth-vector priority, not wage/price",3.04,1.445232,0.72,1.08,2.806523,3.64,3.132871,3.491119,0.0,1.287954,0.795182,3.237109
120,contribution_offer,sell/labour_supply,activate_causal_effect,care,care_reproduction,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,23538496.969842,care:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=3.237; difference=0.000; determination=1.288,"contribution time directed by truth-vector priority, not wage/price",3.24,1.221232,0.608,0.912,2.681964,3.2,3.132871,3.491119,0.0,1.287954,0.795182,3.237109
120,contribution_offer,sell/labour_supply,activate_causal_effect,education,knowledge_reproduction,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,21163401.878536,education:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=2.591; difference=0.000; determination=1.288,"contribution time directed by truth-vector priority, not wage/price",2.8,0.997232,0.496,0.744,2.333271,3.0,3.132871,3.491119,0.0,1.287954,0.795182,2.59147
120,contribution_offer,sell/labour_supply,activate_causal_effect,mobility,logistics_circulation,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,19692137.901919,mobility:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=2.867; difference=0.000; determination=1.288,"contribution time directed by truth-vector priority, not wage/price",2.64,0.805232,0.4,0.6,2.719054,2.28,3.132871,3.491119,0.0,1.287954,0.795182,2.8672
120,contribution_offer,sell/labour_supply,activate_causal_effect,manufacturing,material_transformation,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,22546229.876359,manufacturing:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=3.576; difference=0.000; determination=1.288,"contribution time directed by truth-vector priority, not wage/price",2.88,1.061232,0.528,0.792,2.978593,2.96,3.132871,3.491119,0.0,1.287954,0.795182,3.576
120,contribution_offer,sell/labour_supply,activate_causal_effect,storage,resilience_capital,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,21719145.039896,storage:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=3.360; difference=0.000; determination=1.288,"contribution time directed by truth-vector priority, not wage/price",3.08,1.029232,0.512,0.768,2.621633,3.08,3.132871,3.491119,0.0,1.287954,0.795182,3.36
120,contribution_offer,sell/labour_supply,activate_causal_effect,governance,institutional_coordination,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,22067772.200768,governance:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=3.195; difference=0.000; determination=1.288,"contribution time directed by truth-vector priority, not wage/price",2.68,1.189232,0.592,0.888,2.622301,3.44,3.132871,3.491119,0.0,1.287954,0.795182,3.195136
