step,domain,sector,need,available,gap,satisfaction,priority,labor share,contribution time,stock or capacity,boundary penalty,truth error,democratic quality,activated flows
0,water,primary reproduction,8100000000.000001,12281873432.085648,0.0,1.0,0.0,0.0,0.0,12281873432.085648,1.0,0.168193,0.637808,0
0,food,primary reproduction,8100000000.000001,9987020419.647867,0.0,1.0,0.0,0.0,0.0,9987020419.647867,1.0,0.168193,0.637808,0
0,energy,energy infrastructure,8100000000.000001,6782734445.499949,0.162625,0.837375,0.0,0.0,0.0,6782734445.499949,1.0,0.168193,0.637808,0
0,shelter,social infrastructure,8100000000.000001,7933435507.203414,0.020564,0.979436,0.0,0.0,0.0,7933435507.203414,1.0,0.168193,0.637808,0
0,health,care reproduction,1771465080.345553,2116335819.296141,0.0,1.0,0.0,0.0,0.0,2116335819.296141,1.0,0.168193,0.637808,0
0,care,care reproduction,1698426611.093613,1710184675.078843,0.0,1.0,0.0,0.0,0.0,1710184675.078843,1.0,0.168193,0.637808,0
0,education,knowledge reproduction,1690107171.486813,1927397311.009498,0.0,1.0,0.0,0.0,0.0,1927397311.009498,1.0,0.168193,0.637808,0
0,mobility,logistics circulation,1714161229.358245,1214490732.686349,0.291496,0.708504,0.0,0.0,0.0,1214490732.686349,1.0,0.168193,0.637808,0
0,manufacturing,material transformation,934509970.772884,1064245094.867095,0.0,1.0,0.0,0.0,0.0,1064245094.867095,1.0,0.168193,0.637808,0
0,storage,resilience capacity,519305543.280107,740022702.553218,0.0,1.0,0.0,0.0,0.0,740022702.553218,1.0,0.168193,0.637808,0
0,governance,institutional coordination,636487284.726943,532285013.877199,0.163715,0.836285,0.0,0.0,0.0,532285013.877199,1.0,0.168193,0.637808,0
0,knowledge,knowledge reproduction,614098290.821142,648236258.744422,0.0,1.0,0.0,0.0,0.0,648236258.744422,1.0,0.168193,0.637808,0
0,resilience,risk protection,761108655.008997,710250223.442171,0.066822,0.933178,0.0,0.0,0.0,710250223.442171,1.0,0.168193,0.637808,0
0,repair,circular industry,0.0,1102642727.608564,0.0,1.0,0.0,0.0,0.0,1102642727.608564,1.0,0.168193,0.637808,0
0,ecology,planetary regeneration,2918080234.376803,5028227358.08265,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.168193,0.637808,0
0,waste,material difference resolution,810000000.0,20510516.280639,0.974678,0.025322,0.0,0.0,0.0,1511975614.012343,1.0,0.168193,0.637808,0
1,water,primary reproduction,8101922881.322129,7345017086.049823,0.093423,0.906577,0.500121,0.061162,1888467305.659085,7345017086.049823,1.0,0.16366,0.637807,192
1,food,primary reproduction,8101922881.322129,5029645729.484264,0.379203,0.620797,0.50256,0.065351,2016950989.969887,5029645729.484264,1.0,0.16366,0.637807,200
