step,population,wellbeing,unmet basic needs,average trust,average autonomy,average health,average education,average truth error,planetary overshoot,mean boundary pressure,worst boundary,worst boundary pressure,waste stock,repair materials,food stock,water stock,energy stock,global transfers,contribution time,contribution time per person,satisfaction inequality,resilience index,circularity index,coordination quality,basic buffer months,macro capacity,planetary reproduction index
0,8100000000.0,0.788463,0.2,0.640279,0.698198,0.674549,0.608965,0.168193,0.0,0.914286,climate,0.96,1511975614.012,1102642727.609,9987020419.648,12281873432.086,6782734445.5,0.0,3587701173.987,0.442926,0.010011,0.907461,0.421722,0.696848,1.19554,18596883338.758,0.785427
1,8101922881.322,0.909559,0.00109,0.649751,0.700997,0.68276,0.613013,0.16366,0.0,0.910562,climate,0.958372,172387130.609,2087818294.413,5029645729.484,7345017086.05,1758935116.881,219493699.449,3619218209.345,0.446711,0.009089,0.896875,0.923729,0.701428,0.581492,37788356535.485,0.925368
2,8103758677.959,0.891857,0.020336,0.658886,0.703577,0.689495,0.617061,0.159047,0.0,0.907306,climate,0.957109,173515269.354,2181303524.757,988292800.936,2820725864.553,123857448.716,1616932068.424,3646162963.581,0.449935,0.020429,0.826962,0.926315,0.705918,0.161772,55873223028.417,0.91099
3,8105247664.275,0.77579,0.278667,0.666699,0.705392,0.690628,0.62111,0.154364,0.0,0.904072,climate,0.955929,186481586.706,2261078298.858,87094728.846,272686907.353,17112057.352,513202877.336,3654964863.586,0.450938,0.065136,0.802583,0.923809,0.709979,0.0155,72944666482.072,0.817492
4,8106558644.199,0.716062,0.41829,0.673896,0.706838,0.688936,0.625159,0.149618,0.0,0.90083,climate,0.954744,196539746.856,2349112827.714,9340723.922,14212057.614,16603061.037,47584124.687,3654400065.008,0.450795,0.042062,0.800275,0.922794,0.71385,0.001651,89681029331.463,0.768937
5,8107846154.061,0.713034,0.426625,0.681103,0.708264,0.687079,0.629208,0.144808,0.0,0.897591,climate,0.953562,197334453.347,2444432190.89,2032728.319,0.0,17041689.668,12821751.918,3653267259.656,0.450584,0.039655,0.800131,0.925302,0.717743,0.000784,106433501028.854,0.766874
6,8109124040.975,0.714953,0.423632,0.688373,0.7097,0.685293,0.633257,0.139934,0.0,0.894352,climate,0.952384,197273553.026,2541100773.154,0.0,0.0,18083641.734,14450198.469,3652356710.775,0.450401,0.040386,0.800124,0.92796,0.721677,0.000743,123250929068.378,0.76882
7,8110393692.856,0.717297,0.419709,0.695712,0.711148,0.683596,0.637306,0.134995,0.0,0.891112,climate,0.951209,197142991.589,2638562059.702,0.0,0.0,18915622.711,15756847.172,3651742405.826,0.450255,0.041504,0.80013,0.930478,0.725655,0.000777,140140492463.297,0.771086
8,8111655262.868,0.719612,0.415906,0.703121,0.712608,0.681988,0.641355,0.130004,0.0,0.887871,climate,0.950037,197033631.44,2736749286.878,0.0,0.0,19882739.14,17285047.82,3651417432.631,0.450145,0.042601,0.800136,0.93284,0.729671,0.000817,157105963679.582,0.773303
9,8112909102.392,0.721978,0.412029,0.7106,0.714081,0.680468,0.645404,0.124975,0.0,0.884629,climate,0.948868,196921331.536,2835679812.89,0.0,0.0,21087527.992,18750608.31,3651388951.219,0.450071,0.043734,0.800144,0.935065,0.733722,0.000866,174150792412.743,0.775539
10,8114155466.32,0.72436,0.408153,0.718149,0.715567,0.679039,0.649453,0.119996,0.0,0.881386,climate,0.947701,196797603.284,2935362056.535,0.0,0.0,22880429.71,20308826.671,3651660345.902,0.450036,0.044924,0.800157,0.937169,0.737783,0.00094,191278320870.071,0.777766
11,8115395055.332,0.726913,0.40393,0.725771,0.717066,0.677707,0.653502,0.115052,0.0,0.878141,climate,0.946536,196644284.406,3035808810.101,560718.038,0.0,24655548.595,21959651.666,3652260247.891,0.450041,0.04624,0.800173,0.939166,0.741857,0.001036,208492450377.952,0.780109
12,8116628275.772,0.729523,0.399626,0.733466,0.718579,0.676474,0.657551,0.110056,0.0,0.874896,climate,0.945373,196485738.751,3137014986.955,1858589.937,0.0,26524740.562,23685877.441,3653197494.675,0.450088,0.04759,0.800194,0.941057,0.745973,0.001166,225797016659.721,0.782479
13,8117855510.986,0.732162,0.395303,0.741231,0.720106,0.675341,0.661577,0.105062,0.0,0.871647,climate,0.944212,196322244.719,3238994696.84,2605139.004,0.0,28645850.011,26541260.409,3654477194.505,0.450178,0.048945,0.800214,0.942852,0.750111,0.001283,243195545168.995,0.784852
14,8119076983.051,0.734778,0.391087,0.749049,0.721646,0.674308,0.66559,0.100104,0.0,0.868397,climate,0.943053,196150378.536,3341766294.805,3137911.062,0.0,31283873.108,29992925.699,3656097097.943,0.450309,0.050264,0.800236,0.944558,0.754256,0.001413,260691188391.713,0.787186
15,8120293166.817,0.737465,0.386765,0.756927,0.723201,0.673377,0.6696,0.095193,0.0,0.865143,climate,0.941894,195959782.367,3445819717.129,3636956.941,0.0,34134558.614,34277675.39,3658068952.301,0.450485,0.051665,0.800258,0.946191,0.758408,0.00155,278284515151.953,0.789556
16,8121504482.2,0.740211,0.382355,0.764876,0.72477,0.672551,0.673611,0.090308,0.0,0.861885,climate,0.940736,195746987.333,3550806547.01,4146332.131,0.0,36880130.232,38475573.924,3660402875.341,0.450705,0.053128,0.800281,0.947753,0.762577,0.001684,295981739816.388,0.791956
17,8122710874.656,0.742842,0.378256,0.77285,0.726353,0.671824,0.677621,0.085499,0.0,0.858623,climate,0.939579,195562035.687,3656603920.389,6080999.978,4086193.258,39679683.245,49298510.074,3663074161.628,0.450967,0.054401,0.800341,0.949233,0.76673,0.002046,313787591668.927,0.794245
18,8123912923.976,0.745586,0.373951,0.78089,0.72795,0.6712,0.681631,0.080878,0.0,0.855357,climate,0.938421,195373416.904,3763242515.366,8621074.662,5908067.806,42370974.341,61057642.571,3666100420.372,0.451273,0.055797,0.800389,0.950646,0.77085,0.002335,331706817195.133,0.7966
19,8125110803.951,0.748291,0.369799,0.788987,0.729561,0.670678,0.68564,0.076447,0.0,0.852089,climate,0.937263,195203424.985,3870735070.532,11419363.541,6712506.913,44789779.348,71938130.313,3669474172.345,0.451621,0.057145,0.80043,0.951991,0.774933,0.002581,349743390812.084,0.798898
20,8126304305.315,0.750833,0.366037,0.797084,0.731185,0.670248,0.689637,0.07244,0.0,0.848819,climate,0.936105,195072833.41,3979108764.974,14360215.773,9265126.625,49257639.725,83108093.137,3673165507.215,0.452009,0.058277,0.800498,0.953267,0.778888,0.00299,367901065508.347,0.801042
21,8127495185.227,0.753919,0.361045,0.805205,0.732826,0.669936,0.693634,0.068756,0.0,0.845546,climate,0.934946,194826033.874,4088428905.175,17097902.252,12616337.941,53972199.77,95207621.145,3677273642.396,0.452449,0.060025,0.800572,0.954514,0.782755,0.003432,386183420348.203,0.803609
