step,region,commune,domain,priority,explanation,causality,time,intensity,existence,potencies,effects,substance,matter,difference,determination,phenomena,angle direction
120,Mountain Water Towers,MountainCommune913,water,0.899673,need gap=1.000 potencies=0.636 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.843857,4.0,2.543229,3.88,2.907162,3.72547,4.0,3.638782,4.0,3.273308
120,Forest Equator Belt,ForestEqCommune655,water,0.896718,need gap=1.000 potencies=0.871 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.60041,4.0,3.482868,3.88,3.001762,2.494686,4.0,3.838946,4.0,3.321347
120,Mountain Water Towers,MountainCommune065,water,0.89579,need gap=1.000 potencies=0.630 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.669717,4.0,2.520833,3.88,3.0,3.73232,4.0,3.622228,4.0,3.269335
120,Mountain Water Towers,MountainCommune004,water,0.894475,need gap=1.000 potencies=0.576 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.6,4.0,2.305013,3.88,3.0,3.760825,4.0,3.796845,4.0,3.311243
120,Coastal Wind Belt,CoastalWCommune003,water,0.893592,need gap=1.000 potencies=0.694 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.6,4.0,2.774102,3.88,3.0,3.522485,4.0,3.552793,4.0,3.25267
120,Aqua North Basin,AquaNortCommune504,water,0.890668,need gap=1.000 potencies=0.659 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.60098,4.0,2.634041,3.88,2.946613,3.516965,4.0,3.573578,4.0,3.257659
120,Aqua North Basin,AquaNortCommune368,water,0.890196,need gap=1.000 potencies=0.632 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.643221,4.0,2.527259,3.88,3.095156,3.489334,4.0,3.503644,4.0,3.240875
120,Mountain Water Towers,MountainCommune712,water,0.888349,need gap=1.000 potencies=0.570 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.609144,4.0,2.279332,3.88,3.0,3.707263,4.0,3.573053,4.0,3.257533
120,Urban Repair Web,UrbanRepCommune817,water,0.886631,need gap=1.000 potencies=0.617 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.686011,4.0,2.469561,3.88,3.0,3.395861,4.0,3.471295,4.0,3.233111
120,Mountain Water Towers,MountainCommune004,food,0.886382,need gap=1.000 potencies=0.628 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.56,3.94,2.511854,3.76,3.0,3.760825,4.0,3.796845,4.0,3.311243
120,Mountain Water Towers,MountainCommune817,food,0.885998,need gap=1.000 potencies=0.596 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.56,3.94,2.382016,3.76,3.104548,3.774556,4.0,3.800647,4.0,3.312155
120,Mountain Water Towers,MountainCommune913,food,0.883429,need gap=1.000 potencies=0.573 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.803857,3.94,2.293568,3.76,2.907162,3.72547,4.0,3.638782,4.0,3.273308
120,Steppe Grain Commons,SteppeGrCommune404,food,0.883252,need gap=1.000 potencies=0.789 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.575341,3.94,3.155789,3.76,3.0,2.818036,4.0,3.783198,4.0,3.307967
120,Mountain Water Towers,MountainCommune712,food,0.882198,need gap=1.000 potencies=0.649 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.569144,3.94,2.594875,3.76,3.0,3.707263,4.0,3.573053,4.0,3.257533
120,Steppe Grain Commons,SteppeGrCommune404,water,0.880181,need gap=1.000 potencies=0.581 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.615341,4.0,2.323823,3.88,3.0,2.818036,4.0,3.783198,4.0,3.307967
120,Subpolar Storage Rim,SubpolarCommune390,food,0.880022,need gap=1.000 potencies=0.721 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.619581,3.94,2.882228,3.76,3.665127,2.303253,4.0,3.70036,4.0,3.288086
120,Delta Commons,DeltaComCommune831,water,0.878412,need gap=1.000 potencies=0.555 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.752482,4.0,2.218847,3.88,2.839101,3.139007,4.0,3.515584,4.0,3.24374
120,Forest Equator Belt,ForestEqCommune262,food,0.877956,need gap=1.000 potencies=0.812 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.561076,3.94,3.24804,3.76,3.005152,2.462205,4.0,3.735487,4.0,3.296517
120,Island Commons,IslandCoCommune874,water,0.877534,need gap=1.000 potencies=0.616 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.75901,4.0,2.465419,3.88,2.350993,3.020863,4.0,3.692695,4.0,3.286247
120,Mountain Water Towers,MountainCommune065,food,0.877497,need gap=1.000 potencies=0.539 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.629717,3.94,2.156418,3.76,3.0,3.73232,4.0,3.622228,4.0,3.269335
120,Temperate Ring,TemperateCommune536,water,0.877158,need gap=1.000 potencies=0.639 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.719832,4.0,2.556615,3.88,3.142986,2.418881,4.0,3.519672,4.0,3.244721
120,Delta Commons,DeltaComCommune831,food,0.876932,need gap=1.000 potencies=0.699 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.712482,3.94,2.795994,3.76,2.839101,3.139007,4.0,3.515584,4.0,3.24374
120,Temperate Ring,TemperateCommune414,food,0.876851,need gap=1.000 potencies=0.610 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.59551,3.94,2.438164,3.76,4.0,2.399922,4.0,3.641275,4.0,3.273906
120,Forest Equator Belt,ForestEqCommune659,food,0.876633,need gap=1.000 potencies=0.765 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.586636,3.94,3.06119,3.76,3.094862,2.598251,4.0,3.638568,4.0,3.273256
120,Highland Care Ring,HighlandCommune617,water,0.875344,need gap=0.999 potencies=0.651 trust=1.000 boundary penalty=0.991,3.52,3.403974,3.685024,3.998042,2.605508,3.88,2.838045,2.463371,3.997203,3.62833,4.0,3.271168
120,Highland Care Ring,HighlandCommune634,water,0.874848,need gap=1.000 potencies=0.621 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.849585,4.0,2.483899,3.88,2.890989,2.304818,4.0,3.574061,4.0,3.257775
120,Temperate Ring,TemperateCommune066,water,0.874465,need gap=1.000 potencies=0.666 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.784269,4.0,2.66539,3.88,2.62622,2.242979,4.0,3.716437,4.0,3.291945
120,Forest Equator Belt,ForestEqCommune469,food,0.874338,need gap=1.000 potencies=0.750 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.56,3.94,2.999268,3.76,3.099033,2.344115,4.0,3.789802,4.0,3.309552
120,Forest Equator Belt,ForestEqCommune022,water,0.874247,need gap=1.000 potencies=0.706 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.756027,4.0,2.824435,3.88,2.682548,2.386167,4.0,3.477453,4.0,3.234589
120,Highland Care Ring,HighlandCommune824,water,0.8742,need gap=1.000 potencies=0.642 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.774193,4.0,2.568854,3.88,2.78,2.165031,4.0,3.740419,4.0,3.2977
120,Temperate Ring,TemperateCommune917,water,0.874179,need gap=1.000 potencies=0.589 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.93828,4.0,2.356772,3.88,2.458342,2.530883,4.0,3.682232,4.0,3.283736
120,Urban Repair Web,UrbanRepCommune817,food,0.873703,need gap=1.000 potencies=0.601 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.646011,3.94,2.405582,3.76,3.0,3.395861,4.0,3.471295,4.0,3.233111
120,Highland Care Ring,HighlandCommune291,water,0.873385,need gap=1.000 potencies=0.551 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.832524,4.0,2.204193,3.88,2.812716,2.641593,4.0,3.571836,4.0,3.257241
120,Subpolar Storage Rim,SubpolarCommune790,water,0.873271,need gap=1.000 potencies=0.583 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.904798,4.0,2.334,3.88,2.941943,2.327907,4.0,3.506326,4.0,3.241518
120,Subpolar Storage Rim,SubpolarCommune669,water,0.873202,need gap=1.000 potencies=0.514 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.785899,4.0,2.057176,3.88,3.0,2.548742,4.0,3.669526,4.0,3.280686
120,Highland Care Ring,HighlandCommune128,food,0.872542,need gap=1.000 potencies=0.499 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.655772,3.94,1.996919,3.76,4.0,2.442212,4.0,3.698439,4.0,3.287625
120,Island Commons,IslandCoCommune874,food,0.87243,need gap=1.000 potencies=0.710 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.71901,3.94,2.839628,3.76,2.350993,3.020863,4.0,3.692695,4.0,3.286247
120,Forest Equator Belt,ForestEqCommune655,food,0.872146,need gap=1.000 potencies=0.692 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.56041,3.94,2.766877,3.76,3.001762,2.494686,4.0,3.838946,4.0,3.321347
120,Subpolar Storage Rim,SubpolarCommune669,food,0.87163,need gap=1.000 potencies=0.657 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.745899,3.94,2.629159,3.76,3.0,2.548742,4.0,3.669526,4.0,3.280686
120,Dryland Solar Arc,DrylandSCommune020,food,0.869814,need gap=0.942 potencies=0.754 trust=1.000 boundary penalty=0.991,3.28,3.220647,3.445634,3.777311,3.014627,3.76,3.439304,2.834801,3.767588,3.6855,4.0,3.315198
120,Temperate Ring,TemperateCommune021,water,0.869656,need gap=1.000 potencies=0.589 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.752727,4.0,2.354076,3.88,3.0,2.217276,4.0,3.546915,4.0,3.251259
120,Dryland Solar Arc,DrylandSCommune847,water,0.869333,need gap=1.000 potencies=0.569 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.98,4.0,2.275463,3.88,2.714823,2.172905,4.0,3.553211,4.0,3.252771
