day,price_index,basic_price_index,broad_money,net_money,total_liability,created_today,destroyed_today,liability_today,events_today,tx_volume_today,unemployment,avg_health,avg_stress,avg_trust,avg_reputation,gini_positive_money,food_stock_ratio,water_stock_ratio,energy_stock_ratio,oxygen_stock_ratio,spares_stock_ratio,media_truth_index,media_manipulation_index,station_safety,orbit_debris_risk,appeals_granted_total,events_disputed_total,lambda_food,lambda_media,lambda_space
1,112.52449260858604,158.26833052144275,8774835.410101198,8774835.410101198,0,7702.692493027465,10.691887605888322,0.0,737,3846.659184218853,0.06666666666666667,0.8466182240743485,0.27966080995966,0.5007933742012421,0.5506018232290113,0.1244018900376942,0.7708602424402903,0.8860516869677024,0.8873088525214593,2.1683411297290083,0.8521510560482639,0.9254534207004157,0.06070002520786646,0.7163777899045827,0.1161843383527023,4,6,9.0,10.5,12.5
2,124.62148204835306,203.20393173254308,8782132.051781964,8782132.051781964,0,7329.439447362505,32.79776659715691,0.0,746,4078.329073732895,0.06666666666666667,0.8681655593163493,0.2725129851959817,0.5075440855359822,0.5570361593645152,0.12080356843054618,0.6063429129855835,0.8362696774631616,0.8153210627936066,2.119901497013427,0.8220386597314233,0.6982616089257354,0.10106685168290913,0.7269722951963419,0.11242150574506744,5,7,8.998248318728498,10.497956371849913,12.622542780438588
3,139.3769187388764,257.9295701704331,8789863.468784673,8789863.468784673,0,7752.395606409929,20.978603701674952,0.0,763,5008.606599871173,0.06666666666666667,0.8863948505242074,0.26288480428035216,0.5175330028151794,0.5638011061604157,0.1308903780060111,0.4474615575664871,0.7900398097877197,0.7435671653970005,2.0737068606676288,0.7915432370445336,0.8907159417888568,0.06334600829262058,0.7324822591729081,0.10713135266784693,5,7,9.064417777126712,10.491224279081843,12.614448240324599
4,149.1877345068206,282.6887555470556,8797226.959346907,8797226.959346907,0,7499.443726040784,135.95316380663172,0.0,747,4643.984467989143,0.06666666666666667,0.8993114126826737,0.25969250801121746,0.5278495536026597,0.5701845140440576,0.13786909116717183,0.31653377352809337,0.7458072562012477,0.6758542042519964,2.0273159842224935,0.7637418809419941,0.8901545618623887,0.06079215799779062,0.7391847427878356,0.1039948887052658,6,9,9.126096013193045,10.478780879346072,12.599486533499446
5,162.85941689346558,313.3850999403418,8804404.981877383,8804404.981877383,0,7400.205880279249,222.1833498019305,0.0,764,4715.39220426984,0.06666666666666667,0.9049334904075942,0.2612218471634308,0.5378101175522468,0.5763959122896228,0.14686871216326813,0.2063426285974527,0.7061173593575628,0.6061189404585622,1.980562709596117,0.7315858622464072,0.8701595270179356,0.09502205514455572,0.7450348985515933,0.09923133870382815,7,11,9.184861696050573,10.462556456110539,12.579978596037675
6,202.48226685739,359.4047284093336,8811304.742572796,8811304.742572796,0,7174.710383004554,274.949687591219,0.0,762,5476.027949869886,0.06666666666666667,0.9116703682020079,0.2627829250629369,0.5441622916237433,0.5823467311146389,0.1607856363819795,0.08461999348819521,0.6504438273585857,0.532559378562212,1.9324713438413301,0.7050011408209031,0.781103639730171,0.12211684945336404,0.7453805052088496,0.09536129790521722,11,15,9.239332307284375,10.441075800356474,12.554150664714335
7,216.25964964887197,386.96794720377363,8817771.61942925,8817771.61942925,0,6774.441808666587,451.04984163498625,0.0,754,5731.376527377809,0.06666666666666667,0.9042884971861743,0.26834028431705254,0.5537788410601964,0.5878226020779146,0.1684528360274029,0.0,0.6000582069563289,0.4621743861829228,1.8920548050765875,0.6733418515439836,0.8832073380069405,0.10690470101507217,0.7427401375172529,0.09064089885987296,12,18,9.28050108890626,10.404364416726732,12.510009596302384
8,224.92711049873373,409.8903145403019,8822660.322926408,8822660.322926408,0,5628.834811234434,740.1313140766811,0.0,745,4161.002061152563,0.06666666666666667,0.8808881485658175,0.2919178531432834,0.5620762443354194,0.591906883925582,0.17856468231820055,0.0,0.5712802370927171,0.3904715668051951,1.8584922374229589,0.6410866103296425,0.8870311954992879,0.06714620259953462,0.7444168273116664,0.08725790912576115,19,32,9.317094657393321,10.362489529014141,12.459660028933673
9,236.17162832553993,440.6641797995193,8827491.03558232,8827491.03558232,0,5560.988634779862,730.2759788677012,0.0,742,3770.7804543823117,0.06666666666666667,0.857786082987257,0.3133205499659414,0.5706215097642227,0.5959212619750699,0.18178671010545977,0.0,0.5549708638692243,0.32429118523880446,1.8338997955515648,0.6230650108463318,0.8744272478376666,0.06264117043405461,0.7478678294603798,0.08233549197601381,22,37,9.350827005312798,10.317466971606251,12.405525763478948
10,244.50920663531502,458.72541259950094,8832209.974831378,8832209.974831378,0,5458.310081330318,739.3708322729199,0.0,769,3300.4414518165104,0.06666666666666667,0.8403454990575814,0.33412123751789025,0.5799403937502448,0.5999337258802966,0.18410386527426148,0.0,0.5139289789363749,0.2611860382075337,1.8095532780988846,0.5977924954305454,0.891270016642194,0.09806205584879193,0.7508328700349005,0.07858937083287826,26,43,9.380768237541822,10.268356520865282,12.346476292945164
11,250.48694751294806,470.9021927087295,8836202.605072161,8836202.605072161,0,4928.841380253371,936.2111394687493,0.0,760,2977.1700738680274,0.06666666666666667,0.8288501019289918,0.355954023864877,0.5830019591570654,0.6032815786995188,0.1841661854661818,0.0,0.4714045100231321,0.2181853757288067,1.7854502258207314,0.5782502700013259,0.5091602630421134,0.16694368009261457,0.7528659147470711,0.07379414021812161,32,52,9.407894461341659,10.216318819549821,12.283907152077765
12,256.51729989099516,480.70348199105916,8840758.115141002,8840758.115141002,0,5295.427456574597,739.917387735971,0.0,746,3094.9613938595226,0.06666666666666667,0.8167751698347376,0.3741062803243392,0.5905556818022201,0.607103000066082,0.18244993238520912,0.0,0.4146299011946119,0.17488766789031357,1.7615882040653594,0.563826799311547,0.870815353527857,0.09430386223594309,0.7514003016955471,0.06863090418898081,40,66,9.433006095524165,10.162289987202533,12.218943913184003
13,267.5527783243757,496.38504351575534,8845289.997215746,8845289.997215746,0,5315.2129868369375,783.3309120928602,0.0,779,3435.5248129763263,0.06666666666666667,0.8031270338672268,0.393191785804772,0.6007778780099502,0.6108878619744043,0.180010814240396,0.0,0.37589028808143243,0.13168039779483176,1.7379648025275414,0.5458847720821344,0.9103035456920001,0.09934891785597233,0.7499993205330442,0.06377694519130284,46,75,9.456067670643572,10.106284223378902,12.151603649538922
14,275.10279488134495,501.1571007018802,8849894.757894877,8849894.757894877,0,5261.66449314387,802.1307631843614,0.0,768,3582.254611144672,0.06666666666666667,0.7965367920578128,0.4107614542408054,0.608939938563857,0.6146149699813288,0.17618133522763801,0.0,0.3273194650403324,0.09311912249930965,1.7145776350051012,0.5169704405711749,0.8834731911670055,0.089423573074668,0.7480707953964216,0.060483051314192335,52,86,9.475301908097734,10.046469287966724,12.079683310531424
