day,price_index,basic_price_index,broad_money,net_money,total_liability,created_today,destroyed_today,liability_today,events_today,tx_volume_today,unemployment,avg_health,avg_stress,avg_trust,avg_reputation,gini_positive_money,food_stock_ratio,water_stock_ratio,energy_stock_ratio,oxygen_stock_ratio,spares_stock_ratio,media_truth_index,media_manipulation_index,station_safety,orbit_debris_risk,appeals_granted_total,events_disputed_total,lambda_food,lambda_media,lambda_space
1,111.67885807707283,160.66412746192864,8887178.999706771,8887178.999706771,0,17668.722197808587,18.01859905862707,0.0,1716,8472.064248781113,0.3433333333333333,0.8413923903266506,0.2768413248670954,0.6414083881125927,0.5363360761032325,0.12217918170355224,0.7939236244991796,0.8672557468424306,0.9315496565591421,2.2573555843807585,0.8737842355446124,0.7608097748473477,0.19106345025341126,0.6886774319448998,0.11536807388457787,1,1,9.0,10.5,12.5
2,123.76281554981372,207.96928700079127,8903713.900081683,8903713.900081683,0,16775.475093759673,240.57471884782615,0.0,1702,9207.095480459726,0.3433333333333333,0.8624484385544129,0.27240387622179263,0.6462809142253175,0.5422258838299063,0.11734911465446918,0.6345691875171472,0.7808468726555783,0.8849566184903315,2.2127415376372297,0.8522178362334759,0.6480318434980135,0.1455597254439683,0.6985437692895202,0.11212081563945414,2,3,8.99808399686606,10.497764663010402,12.622312273381556
3,139.34776673061896,266.67163436649935,8921476.29734271,8921476.29734271,0,17778.549580636918,16.152319609003452,0.0,1705,11623.296132450385,0.3433333333333333,0.8809210095920094,0.2656258768776718,0.654516380620781,0.5485540616932708,0.12797391552068182,0.435564339833709,0.6768351369001804,0.833572825632528,2.1676632779241296,0.8267710712887083,0.8554238632556666,0.14897904323306418,0.7045328892954039,0.10726876178653127,3,4,9.064042449459555,10.49078987205967,12.740065176771513
4,149.5497301861336,296.932120921175,8938705.40329932,8938705.40329932,0,17523.922520948538,294.8165643370294,0.0,1707,11216.805122960006,0.3433333333333333,0.8944316480425478,0.26133388580690153,0.6635452493682497,0.5546492279144484,0.1378163655424276,0.3124147016199622,0.5906120635093671,0.7865150574257921,2.123300106867758,0.797732909890713,0.8709376498278605,0.09310627896335896,0.7109775543570298,0.10470201882211197,4,7,9.125163879223978,10.477710582956691,12.851423442060552
5,163.83629545355632,323.07107390204266,8955266.702887272,8955266.702887272,0,17058.633220560478,497.3336326098039,0.0,1719,11264.018311013953,0.3433333333333333,0.9021061399625571,0.2621044939221659,0.6719602329739313,0.5604539614492975,0.1525437586951497,0.20593791794889663,0.5122200891717886,0.7406141280312971,2.078206749972563,0.7669335412839479,0.864961313835615,0.1126974016229599,0.7119550482597558,0.10131931034766342,6,12,9.183191153819463,10.460653526814081,12.958807151456401
6,198.80498251624618,357.0398227723249,8971518.144889794,8971518.144889794,0,16837.320052941086,585.8780504138136,0.0,1729,11708.214894805124,0.3433333333333333,0.9063543029757059,0.26251428954542644,0.6816841579155457,0.5661675896692371,0.1600640861029463,0.10037595250577422,0.4406799007564179,0.6935115426612524,2.044658534600874,0.7012990109385763,0.8639144087117718,0.13148688667777245,0.711783490541872,0.09814546379470435,11,19,9.236646050386447,10.438040146809476,13.060101306719096
7,217.0935166641206,379.07190333198264,8985327.822701704,8985327.822701704,0,14858.200894076032,1410.7140899349538,0.0,1753,12591.553320714485,0.3433333333333333,0.9051428673136168,0.2656581089201161,0.6848373441865836,0.5708891448466501,0.16264322270482667,0.002401383305442882,0.38405341196064224,0.6402260221252989,2.0087545859152183,0.6723690807818865,0.47324583319987146,0.14565821349014207,0.7125851286832678,0.09599788975059391,13,25,9.278246882833487,10.40183722759903,13.144952167104778
8,226.55342036829524,405.10961672322543,8997001.68975427,8997001.68975427,0,13519.799407215965,1845.932354647443,0.0,1775,8658.09599138284,0.3433333333333333,0.8842011118631622,0.28674551836320444,0.6936019777943465,0.574856371187142,0.16743650985197767,0.0,0.329650545500327,0.5895472863272047,1.97308760356724,0.6116132210251415,0.8188809583881775,0.13033494894853587,0.7102735681603236,0.09345757835507305,23,38,9.313644045083954,10.358651751762824,13.221281837178733
9,238.39461235790702,439.0672257856402,9008710.071716022,9008710.071716022,0,13607.049840808835,1898.6678790573765,0.0,1769,8698.692394669,0.3433333333333333,0.8673153053753847,0.30743045194607777,0.7032284285162039,0.5788053053366478,0.17405826714113481,0.0,0.27696756686936425,0.5459231180383742,1.9377974568099858,0.5868814387239346,0.8852054592324284,0.13132000839391497,0.7102244578532068,0.08923300919833102,31,50,9.345857819110236,10.311984096723465,13.293334675556105
10,248.85726399924835,463.696132519476,9020267.761856267,9020267.761856267,0,13449.336469330863,1891.6463290880076,0.0,1777,9478.264138134538,0.3433333333333333,0.8516752157621974,0.32661098135298783,0.7120810123529463,0.5827387739245531,0.1812511699590582,0.0,0.2266187214337537,0.501339220778356,1.9043300776047265,0.5644046542067191,0.8225257179404994,0.10856674532251401,0.7070525592725475,0.0855425450897382,40,63,9.374014885536178,10.26096418109642,13.359839771912977
11,258.3826721396556,478.1224222438774,9031640.904016636,9031640.904016636,0,13274.174901654947,1901.0327412847982,0.0,1787,9393.960814359403,0.3433333333333333,0.8376880597898183,0.3447758916994971,0.7205894083385231,0.5866310215691857,0.18635035228963837,0.0,0.1615725161754965,0.461081835970792,1.8800319782181192,0.532865281064213,0.8616527555068721,0.11665301595445489,0.7127453786598597,0.08071549819814448,51,80,9.398562809213155,10.20618529459908,13.42140249102455
12,267.10378427538274,490.88293178495746,9041419.817711852,9041419.817711852,0,12122.56708694604,2343.653391733135,0.0,1824,9254.892596507427,0.3433333333333333,0.8253558017447169,0.3658122911499797,0.7230203603186027,0.5899183479540149,0.19027826309590123,0.0,0.10673967263029827,0.41695305552078515,1.855976859825378,0.5069275616962589,0.4499860593849191,0.1522334017274023,0.7149811056747544,0.07694491991096683,61,99,9.41980314204075,10.148066287924983,13.478424211070605
13,275.95843637410223,502.36787993816654,9052531.390231514,9052531.390231514,0,13055.239137394014,1943.6666177322415,0.0,1807,9653.982296637563,0.3433333333333333,0.8169821166221938,0.3828300097251418,0.7314552434025565,0.5937236418987603,0.19008724011075517,0.0,0.055475962284328564,0.3714246590731975,1.8321622926165642,0.4844301993847454,0.791182346178666,0.1296742873672699,0.7154220856905542,0.07385773297818715,70,121,9.437997335919412,10.086971339303323,13.531252123036651
14,283.25429899141636,506.5544087237306,9064075.633617401,9064075.633617401,0,13124.434437579012,1943.9936055035334,0.0,1818,10387.613038029898,0.3433333333333333,0.8076187648691098,0.4012688583058576,0.7386099428244476,0.5975448104154607,0.18669204786933324,0.0,0.004338987742590824,0.31504373143862197,1.8085858710798384,0.46265575101038536,0.8104489182592952,0.1708840592603856,0.714592106293832,0.08569280381390107,82,141,9.45307908433246,10.022906881342093,13.579765442933356
15,290.76388620064705,510.91884772320896,9072511.961444758,9072511.961444758,0,11320.739001821827,2884.4111744674024,0.0,1822,8963.422499127884,0.3433333333333333,0.7835003037529353,0.4172805731183315,0.7485523684737705,0.6003832888823728,0.1847247119003026,0.0,0.0,0.26120950765946704,1.7852452137584798,0.44176525071731265,0.8735788251016218,0.09119683127433603,0.7127595678212795,0.08431419646514478,94,163,9.465587308655564,9.956516960700181,13.624713690461771
16,300.3487634200444,517.0693948929268,9080151.971037203,9080151.971037203,0,10785.384733860405,3145.375141416269,0.0,1830,8635.228835391146,0.3433333333333333,0.7611319105363208,0.433475407912653,0.7577660548814901,0.6029351220521394,0.18215751357178123,0.0,0.0,0.20361663814168285,1.7621379630103349,0.4217194267483034,0.8542688318274654,0.08628441484843728,0.7122820938137534,0.08223693613995951,101,181,9.475434826786763,9.887773032939611,13.66594943927089
17,303.1934935847072,518.1217636302556,9088202.265141966,9088202.265141966,0,11163.693753386839,3113.399648621365,0.0,1840,9395.363979081305,0.3433333333333333,0.7424758339005384,0.4498935287307455,0.7661443767885716,0.6056387075960881,0.18070901057553423,0.0,0.0,0.13908131815048944,1.7392617847696716,0.401340831771519,0.8607493583582378,0.13681022135904108,0.7108735544354859,0.0940655373342014,110,194,9.481871912305108,9.81596253789013,13.702366727739289
18,306.5048290397575,519.6459175074363,9095193.627960756,9095193.627960756,0,10193.671080578575,3202.3082617917707,0.0,1845,7385.6349927952,0.3433333333333333,0.7260235527770543,0.46345551387124384,0.7758275851204284,0.6079321635844371,0.17760258114203875,0.0,0.0,0.11451224327776852,1.7166143683114148,0.38716775888927013,0.8548843968693158,0.10562483753330718,0.7075403995107079,0.09077689205324455,119,208,9.48729744596488,9.743630196861808,13.737410023574515
19,310.39674065493716,521.2440969836023,9100948.937006447,9100948.937006447,0,9050.350349486054,3295.0413037965263,0.0,1839,5760.359436233612,0.3433333333333333,0.709671565797587,0.4769281198072655,0.7851920720520221,0.6097983278429874,0.17549947399525512,0.0,0.0,0.10705946966761223,1.6941934260177405,0.3687609952060128,0.8432085913274179,0.09596439031398596,0.7048126638644573,0.08840093428623982,129,227,9.491542846086052,9.670625299025618,13.770826237787022
20,315.21434068166747,523.4362214856092,9106699.25516253,9106699.25516253,0,9072.710383319456,3322.3922272391187,0.0,1847,5868.416066866438,0.3433333333333333,0.6980010403706715,0.4884661749235207,0.7944612649222519,0.6116565189255693,0.17374284013239438,0.0,0.0,0.09925959736544546,1.671996693147003,0.35572407707968096,0.8758080523783554,0.1101349598660805,0.7009674980537374,0.08555845733782409,143,250,9.494398828582879,9.596761078376371,13.802301135779308
21,321.0949627171769,526.0275165514075,9113094.000188574,9113094.000188574,0,9449.751060525878,3355.9656074676786,0.0,1865,6563.18640854689,0.3433333333333333,0.6942690988253098,0.4962139085387454,0.802247841624134,0.6136338008092579,0.17291183521704845,0.0,0.0,0.09177597291476933,1.6500219276049726,0.33718309985572603,0.8197423988171187,0.10035235542488785,0.7024049845250332,0.08126756871024901,151,270,9.495532911006048,9.521733519560252,13.83133857572158
22,327.9839004173887,529.1078251868787,9119819.182420025,9119819.182420025,0,9928.726187887814,3203.543956439072,0.0,1866,6701.887596502347,0.3433333333333333,0.6910721321498657,0.5038770510762781,0.8111798504289597,0.6158350138906469,0.17299764475636836,0.0,0.0,0.08398975800764251,1.6282669097183626,0.3208374836350414,0.8442849385667004,0.10507186738131664,0.7027206314264262,0.07684474882716655,162,288,9.494563984768563,9.445200317268837,13.857367554725318
23,349.75863979453857,538.6801382844044,9126029.722750328,9126029.722750328,0,9559.697354356398,3349.157024055056,0.0,1905,6845.973317778246,0.3433333333333333,0.6903283983119647,0.5114068583988083,0.8197574555142022,0.6178521463061648,0.17356413796773174,0.0,0.0,0.07645451666249302,1.6067294420106193,0.3051928497170853,0.8664553457337978,0.10077355773043262,0.7042879774387609,0.07292789464808899,172,307,9.491131650928782,9.36685102048552,13.87984288228861
24,363.0920854021667,544.6962637219558,9132288.232453635,9132288.232453635,0,9554.61269307631,3296.1029897675526,0.0,1854,6710.173161988754,0.3433333333333333,0.6850335626865598,0.5195816623669743,0.8288698610240152,0.6198918982439201,0.1747706595617473,0.0,0.0,0.06886501064894807,1.5854073489799532,0.29039592263203295,0.9037666569493398,0.09709768792553866,0.7049831142118985,0.06988377453504771,191,328,9.479916655387692,9.281530633462532,13.890948888163312
25,381.63022127218727,553.1757044728296,9138337.190095501,9138337.190095501,0,9405.336091229508,3356.378449361847,0.0,1879,7161.5295634615,0.3433333333333333,0.6853016108622939,0.5265360448596058,0.8354177839143857,0.621854102280935,0.17581390317304724,0.0,0.0,0.06169553591050878,1.5642984768795938,0.2751098655187079,0.7929802490854083,0.1427695118544565,0.7105580530794334,0.06705799221776951,199,347,9.463954184157044,9.192363302123807,13.895074031666487
26,409.89621973807357,566.0738231054929,9143201.88343882,9143201.88343882,0,8616.332163615285,3751.638820297832,0.0,1875,7231.540658128407,0.3433333333333333,0.6837389194096829,0.5367283181099689,0.8376423186131503,0.6233462495842721,0.17784689876650228,0.0,0.0,0.05418443301063825,1.5434006935002376,0.2578819481676182,0.4339729988593294,0.19118640203640644,0.7124994604118198,0.06417550267390335,213,368,9.441410665704781,9.097685242108797,13.88947932747195
27,415.331980769709,569.1936214493908,9149254.75698768,9149254.75698768,0,9388.796210816781,3335.9226619604538,0.0,1888,7185.333366848048,0.3433333333333333,0.683810793936158,0.5426622824904164,0.8463527614981471,0.6253121854833179,0.179644242281628,0.0,0.0,0.04626486111066818,1.522711887954675,0.23391130325504259,0.87992981086762,0.09748383311119693,0.7153637398485274,0.05976058551590764,224,389,9.408869421644354,8.994373709819108,13.869070650976218
28,417.54732104591693,571.2685960599166,9155282.616197936,9155282.616197936,0,9086.996902937452,3439.7615345944205,0.0,1880,7464.072647608892,0.3433333333333333,0.6802298585735145,0.5504784793264182,0.8547654799001272,0.6271427176366897,0.18122164682137232,0.0,0.0,0.0388170152914674,1.5022299704645683,0.21869567703622145,0.875174447038846,0.09773932530936598,0.7139612035121925,0.05822627561852807,237,413,9.374514034564752,8.890408537092428,13.845846878943101
29,420.19429166992444,575.7447800341718,9160749.9627471,9160749.9627471,0,8831.310565708178,3363.964016546029,0.0,1878,7273.518467774049,0.3433333333333333,0.677220711002164,0.5588006090746697,0.8611657947833874,0.6289101458912404,0.18373980329790207,0.0,0.0,0.03098298534722516,1.4819528721493624,0.20206633790409503,0.7743228628863246,0.15710332391497073,0.7120071011064326,0.05527286232737649,247,428,9.33950189609238,8.786909172954967,13.821504425215222
30,423.7109671411305,583.1594244434283,9166473.763630006,9166473.763630006,0,9090.245673766713,3366.4447908617767,0.0,1887,6572.67897447377,0.3433333333333333,0.6779608023114365,0.5687849308928867,0.8682512178446069,0.6307581516643176,0.18528822437040127,0.0,0.0,0.02109236523207566,1.4618785448173088,0.18616537903711425,0.8500008443874219,0.17417301153266251,0.710984846277769,0.06702526859491062,259,448,9.303689415423914,8.683745653361575,13.795824092303445
