run,seed,gmoe_final_nobility,baseline_final_nobility,difference,gmoe_harmful_accepted,baseline_harmful_accepted,gmoe_positive_cone_violations,baseline_positive_cone_violations,gmoe_cumulative_score,baseline_cumulative_score
0,7,95.86146110485194,68.88262099457452,26.978840110277417,0,833,0,852,4572.346938749984,1928.2753746458914
1,8,99.68575329546157,61.32465779985925,38.361095495602314,0,840,0,841,4857.335968553699,1097.6536082645634
2,9,99.70899916120682,73.2253924871215,26.483606674085323,0,802,0,813,4938.497930029362,2332.8123697428227
3,10,99.7251120883574,69.53348021553869,30.191631872818718,0,774,0,811,4939.917705717553,1964.8011485465602
4,11,99.69154827398516,67.06833350540124,32.62321476858392,0,819,0,825,4875.00018309534,1670.315096369717
5,12,99.00792062184506,66.67305236553007,32.33486825631499,0,804,0,825,4795.076400772571,1635.0060869994084
6,13,99.34968020722793,62.59272981047448,36.75695039675345,0,814,0,840,4752.004950180741,1163.6625015356856
7,14,99.85353333740792,69.86252750269998,29.99100583470795,0,800,0,809,4922.846752763842,1975.7536362048284
8,15,99.89167345962478,74.39856309062584,25.49311036899894,0,800,0,809,4854.266792852942,2354.255976385138
9,16,99.72796065241391,64.79113490083529,34.936825751578624,0,811,0,820,4898.667194969441,1487.422587829671
10,17,99.48249247561455,65.25031719420913,34.23217528140542,0,825,0,829,4833.024801044823,1473.2149569803573
11,18,99.76926032697915,73.5074792064962,26.26178112048295,0,798,0,808,4863.563715806355,2297.6238891776
12,19,99.90575656901159,69.83723823982416,30.068518329187427,0,799,0,799,4898.571030427072,1955.2965891293138
13,20,99.95054479440525,72.61798634605232,27.332558448352927,0,801,0,808,4951.408057284363,2261.514724990687
14,21,99.55371074477927,64.79625516867047,34.757455576108796,0,802,0,802,4806.726037494168,1395.5577682673988
15,22,99.13462257430503,62.506241601499404,36.62838097280562,0,799,0,1170,4738.9671476592075,1153.4690140467035
16,23,98.69621919560957,71.81925840931308,26.876960786296493,0,810,0,825,4806.655338786984,2172.7131817299337
17,24,99.88481768415636,70.34070189787182,29.544115786284536,0,763,0,821,4833.2698486783665,1931.9646575358972
18,25,99.85056717852905,68.80006221945571,31.050504959073336,0,821,0,825,4786.1109835882025,1731.6613041461617
19,26,99.77838736919279,69.54359165195979,30.234795717233,0,804,0,851,4777.5883389278915,1834.7475211200635
