id,issuer,region,created_step,due_step,expected_score,realized_score,causal_share,resolved,payout
CC_1_A035_1,A035,R03,1,8,6.911702485907043,4.932747748820303,0.7913585350111985,True,2.2197364869691363
CC_4_A043_2,A043,R01,4,13,4.601689887891408,2.9327516606007955,0.6542994839363215,True,1.319738247270358
CC_6_A040_3,A040,R03,6,15,6.056384183875494,3.5239025251807328,0.5271412928598624,True,1.5857561363313297
CC_7_A033_4,A033,R02,7,15,3.9129435211797254,2.102472143432292,0.5472668783546707,True,0.9461124645445314
CC_7_A025_5,A025,R04,7,14,5.639708099846588,4.131879423590756,0.8147173323968224,True,1.8593457406158402
CC_8_A018_6,A018,R04,8,12,9.089111885621026,7.363145007594289,0.7137652209508849,True,3.31341525341743
CC_8_A001_7,A001,R03,8,14,9.402917987592753,6.157986093836,0.6405441298453856,True,2.7710937422262
CC_10_A018_8,A018,R04,10,15,6.268955919342581,4.442599942117264,0.8341432380891107,True,1.9991699739527686
CC_11_A008_9,A008,R02,11,15,3.401547672058964,1.964790917860924,0.5623363517192603,True,0.8841559130374158
CC_12_A032_10,A032,R04,12,16,7.22423045736463,6.6843549866473015,0.7726442141357465,True,3.007959743991286
CC_12_A024_11,A024,R04,12,18,8.832772533020481,5.398719826443836,0.6239313243640919,True,2.4294239218997262
CC_14_A037_12,A037,R03,14,23,6.140067396265145,3.745573934631267,0.6639412732134948,True,1.68550827058407
CC_15_A029_13,A029,R00,15,20,3.285712317054328,1.6431653273664752,0.46342883218749814,True,0.7394243973149138
CC_15_A012_14,A012,R00,15,24,6.685608664815352,7.021512526371663,0.8593529464756516,True,3.1596806368672485
CC_15_A030_15,A030,R04,15,20,6.461906289165016,2.999195073650099,0.5658993553776202,True,1.3496377831425446
CC_16_A035_16,A035,R03,16,20,3.9447459002726237,3.7357955415222466,0.7679035428356142,True,1.681107993685011
CC_17_A023_17,A023,R00,17,21,6.077445279840929,4.702682139299015,0.8422837359271633,True,2.116206962684557
CC_20_A018_18,A018,R04,20,29,6.936995460749959,5.425611117829995,0.6694284698782929,True,2.441525003023498
CC_20_A024_19,A024,R04,20,24,6.553597442691224,5.797453041467765,0.7304170442669417,True,2.6088538686604945
CC_21_A021_20,A021,R03,21,29,3.6388609461110137,2.098797323272448,0.5736566159129984,True,0.9444587954726017
CC_24_A002_21,A002,R02,24,28,4.22406710596527,3.561739195492545,0.8360031737910216,True,1.6027826379716452
CC_24_A031_22,A031,R03,24,32,1.7307690962328703,1.0133491029497466,0.6524413906750968,True,0.45600709632738595
CC_25_A004_23,A004,R03,25,31,3.34417580822003,2.0693119662482715,0.7273837144294033,True,0.9311903848117222
CC_25_A025_24,A025,R04,25,33,2.351246707480908,2.0113005825354024,0.7222600692206769,True,0.9050852621409311
CC_26_A033_25,A033,R02,26,31,2.8129331704662763,1.8548868618964915,0.6492622451666622,True,0.8346990878534212
CC_28_A031_26,A031,R03,28,32,1.8560047854622799,1.2308150904971373,0.6282759677015949,True,0.5538667907237118
CC_29_A039_27,A039,R00,29,34,3.7583934580729093,3.064817819968797,0.7043589476137244,True,1.3791680189859588
CC_29_A035_28,A035,R03,29,36,3.0889986050630522,1.7448128732736867,0.665007069716958,True,0.785165792973159
CC_29_A042_29,A042,R04,29,36,4.41436839880125,3.355697430354575,0.7228685299591348,True,1.5100638436595586
CC_33_A016_30,A016,R02,33,38,5.068063699834782,3.613476604197198,0.5757696981842744,True,1.6260644718887391
CC_35_A037_31,A037,R03,35,44,2.6344516221768948,1.723461310152295,0.5381459700161899,True,0.7755575895685328
CC_35_A003_32,A003,R02,35,42,6.67711041989277,5.361611468865744,0.8220191208968082,True,2.4127251609895852
CC_36_A004_33,A004,R03,36,44,1.1410058132283152,0.9358783250251486,0.7365131930964924,True,0.4211452462613169
CC_37_A017_34,A017,R03,37,42,0.9089036274164062,0.727888458691265,0.8066998474591998,True,0.32754980641106923
CC_38_A043_35,A043,R01,38,44,6.005792729773296,2.8009548598627076,0.5662897693537258,True,1.2604296869382186
CC_39_A012_36,A012,R00,39,47,1.4958208856516655,1.0976604365039866,0.8753030563503786,True,0.49394719642679397
CC_39_A002_37,A002,R02,39,44,4.838716861043784,3.9077884811067287,0.6976814590276265,True,1.758504816498028
CC_41_A009_38,A009,R02,41,48,4.001903456762399,2.601771646229497,0.7957864254002184,True,1.1707972408032736
CC_41_A023_39,A023,R00,41,46,0.5708657480623868,0.47881915891746146,0.7516892381101371,True,0.21546862151285767
CC_42_A041_40,A041,R00,42,46,0.3380748561635134,0.17944264100264226,0.5933401279332505,True,0.08074918845118902
CC_43_A002_41,A002,R02,43,52,3.078119834988004,2.2202788609483233,0.7167868846687425,True,0.9991254874267455
CC_44_A017_42,A017,R03,44,49,1.334778594341747,0.7958859169137577,0.7791520593023912,True,0.35814866261119094
CC_47_A007_43,A007,R03,47,56,0.6034817587831224,0.5405066343401811,0.8838999893128319,True,0.2432279854530815
CC_48_A026_44,A026,R02,48,56,5.669982104354326,4.797606303498158,0.8084244935037823,True,2.1589228365741713
CC_48_A039_45,A039,R00,48,54,2.0510314215324743,1.784741521111355,0.8101385263078945,True,0.8031336845001098
CC_50_A034_46,A034,R04,50,56,3.9958957768561167,2.1255487927821886,0.6293372358923919,True,0.9564969567519849
CC_50_A029_47,A029,R00,50,57,1.5345299478600798,0.8756857351253886,0.4832689964389242,True,0.39405858080642486
CC_52_A042_48,A042,R04,52,58,3.235315696998949,2.329305570029214,0.8133749587026715,True,1.0481875065131463
CC_53_A003_49,A003,R02,53,60,5.065294660563836,3.8757761258497636,0.8731890375767278,True,1.7440992566323936
CC_54_A002_50,A002,R02,54,59,5.70065596414972,3.8806189322984426,0.820321535700976,True,1.7462785195342991
CC_54_A013_51,A013,R00,54,58,0.19896673334102094,0.1544912762551655,0.6315698085182833,True,0.06952107431482449
CC_56_A028_52,A028,R04,56,64,2.2872709083060916,1.6068705883902825,0.7099851184232808,True,0.7230917647756272
CC_57_A006_53,A006,R00,57,63,0.2387288593744693,0.16602284143354168,0.7818855162971727,True,0.07471027864509376
CC_58_A030_54,A030,R04,58,63,3.6357047492772105,2.141449216046739,0.6542773794072549,True,0.9636521472210325
CC_59_A006_55,A006,R00,59,65,0.09640234573572898,0.07036697345584543,0.6623555640882588,True,0.031665138055130444
CC_61_A027_56,A027,R00,61,66,2.0417127022464037,1.6290860505859404,0.6924999894307112,True,0.7330887227636732
CC_62_A019_57,A019,R02,62,66,5.058250033633613,3.119804388191957,0.6080672957437425,True,1.4039119746863806
CC_63_A030_58,A030,R04,63,67,2.6355204732858986,1.4608759586580065,0.6992837535159383,True,0.657394181396103
CC_63_A010_59,A010,R04,63,72,3.3995630362293756,2.3277055606903136,0.8251858285118894,True,1.0474675023106412
CC_64_A016_60,A016,R02,64,72,2.797002528536519,2.179178558600722,0.6370198708796618,True,0.980630351370325
CC_65_A039_61,A039,R00,65,73,2.1296314396935303,1.6361948207899624,0.7616219920111583,True,0.7362876693554831
CC_65_A042_62,A042,R04,65,73,3.6277307453776615,3.003597242009117,0.7877459518746236,True,1.3516187589041027
CC_65_A004_63,A004,R03,65,69,1.2030141598254542,0.7399733190092664,0.7021312132454747,True,0.3329879935541699
CC_65_A009_64,A009,R02,65,73,4.716121588364078,3.0451953776373193,0.8470123753686845,True,1.3703379199367938
CC_66_A026_65,A026,R02,66,71,4.713606009705499,3.5255859897531527,0.6903251252511756,True,1.5865136953889187
CC_66_A030_66,A030,R04,66,73,2.873299021502127,2.178127824617439,0.6932368351786219,True,0.9801575210778476
CC_66_A007_67,A007,R03,66,70,0.9382039268168771,0.6921705481657255,0.8337585211428733,True,0.3114767466745765
CC_67_A038_68,A038,R04,67,76,3.599032002327906,2.730644980756953,0.7554931469611083,True,1.2287902413406289
CC_68_A003_69,A003,R02,68,76,5.448916405390165,4.295432035901678,0.7773865636853153,True,1.9329444161557552
CC_73_A020_70,A020,R00,73,81,0.2145679015677865,0.163670765984284,0.6202378873448189,True,0.0736518446929278
CC_74_A022_71,A022,R04,74,81,1.6467124478559148,1.1253715297836713,0.7052765477050846,True,0.506417188402652
CC_76_A015_72,A015,R00,76,84,1.3191621032572123,0.8791307138779204,0.7845512742579752,True,0.3956088212450642
CC_77_A043_73,A043,R01,77,81,2.8300375743850736,1.6407053006581773,0.49333688405931486,True,0.7383173852961799
CC_78_A031_74,A031,R03,78,86,1.2261252629839612,0.6986782170125577,0.5574083980439752,True,0.314405197655651
CC_78_A012_75,A012,R00,78,85,0.710576150410077,0.6621526479626989,0.938480809702063,True,0.29796869158321454
CC_78_A022_76,A022,R04,78,85,3.488543138401055,2.1466829101582388,0.722474385900376,True,0.9660073095712075
CC_81_A028_77,A028,R04,81,87,3.07335613914744,1.6785798127377656,0.6371034787655454,True,0.7553609157319945
CC_82_A036_78,A036,R04,82,87,4.328515574954589,2.9292843814122764,0.7224549202348931,True,1.3181779716355244
CC_82_A004_79,A004,R03,82,91,2.2278914165865613,1.287098833652412,0.7197170855148669,True,0.5791944751435855
CC_82_A033_80,A033,R02,82,87,2.2172335962333802,1.3127147436670965,0.5871271132357994,True,0.5907216346501935
CC_85_A034_81,A034,R04,85,91,2.1501276377950953,1.5323296145760796,0.704108329974101,True,0.6895483265592358
CC_87_A005_82,A005,R02,87,91,6.447755134431434,5.833120437337767,0.7348759109827105,True,2.624904196801995
CC_87_A018_83,A018,R04,87,92,4.160499837633831,2.6695584425584955,0.8049694851368867,True,1.201301299151323
CC_87_A026_84,A026,R02,87,95,4.924375775006716,3.522249794355101,0.6673770033453329,True,1.5850124074597955
CC_88_A020_85,A020,R00,88,92,0.3074999941253133,0.14479138933454505,0.6101828414250419,True,0.06515612520054527
CC_88_A031_86,A031,R03,88,93,1.688009871364059,0.9523793607246946,0.5942942936529186,True,0.4285707123261126
CC_89_A027_87,A027,R00,89,95,0.10967610141274191,0.07372671126446279,0.618819618051864,True,0.03317702006900825
CC_90_A041_88,A041,R00,90,96,0.9725017607062879,0.44685924573143887,0.5324565390573349,True,0.2010866605791475
CC_92_A042_89,A042,R04,92,99,3.4120905661145926,2.0736530419527752,0.6411209155578228,True,0.9331438688787489
CC_92_A044_90,A044,R01,92,96,6.446406714888149,3.6682379782685466,0.7385434674399508,True,1.650707090220846
CC_93_A037_91,A037,R03,93,97,0.1499140886935918,0.06092521028903456,0.5391433060325914,True,0.027416344630065554
CC_95_A008_92,A008,R02,95,99,3.4341926947816592,2.3682090727150675,0.6765912447834275,True,1.0656940827217805
CC_96_A037_93,A037,R03,96,100,0.37257030320242174,0.17095878287525929,0.5801722501475982,True,0.07693145229386668
CC_96_A032_94,A032,R04,96,104,2.0658524752251006,2.2356858316937167,0.8701894954175606,True,1.0060586242621725
CC_98_A028_95,A028,R04,98,106,2.6347987162466353,1.5091751997318803,0.6305995634747882,True,0.6791288398793461
CC_100_A000_96,A000,R01,100,106,5.074059400591853,3.3731429716026042,0.6184829604558603,True,1.5179143372211719
