id,borrower,lender,promised_family,promised_amount,stake,due_step,fulfilled
FIAT_CR_2_A033,A033,A028,fiat,13.919999999999998,6.0,7,True
FIAT_CR_3_A033,A033,A019,fiat,13.919999999999998,6.0,8,True
FIAT_CR_4_A058,A058,A019,fiat,13.919999999999998,6.0,9,True
FIAT_CR_5_A033,A033,A019,fiat,13.919999999999998,6.0,10,True
FIAT_CR_5_A043,A043,A019,fiat,13.919999999999998,6.0,10,True
FIAT_CR_6_A018,A018,A019,fiat,13.919999999999998,6.0,11,True
FIAT_CR_6_A033,A033,A019,fiat,13.919999999999998,6.0,11,True
FIAT_CR_6_A043,A043,A019,fiat,13.919999999999998,6.0,11,True
FIAT_CR_7_A004,A004,A019,fiat,13.919999999999998,6.0,12,True
FIAT_CR_7_A018,A018,A019,fiat,13.919999999999998,6.0,12,True
FIAT_CR_7_A025,A025,A019,fiat,13.919999999999998,6.0,12,True
FIAT_CR_7_A033,A033,A019,fiat,13.919999999999998,6.0,12,True
FIAT_CR_8_A003,A003,A019,fiat,13.919999999999998,6.0,13,True
FIAT_CR_8_A004,A004,A019,fiat,13.919999999999998,6.0,13,True
FIAT_CR_8_A033,A033,A019,fiat,13.919999999999998,6.0,13,True
FIAT_CR_8_A040,A040,A019,fiat,13.919999999999998,6.0,13,True
FIAT_CR_9_A004,A004,A019,fiat,13.919999999999998,6.0,14,True
FIAT_CR_9_A033,A033,A019,fiat,13.919999999999998,6.0,14,True
FIAT_CR_9_A042,A042,A019,fiat,13.919999999999998,6.0,14,True
FIAT_CR_9_A043,A043,A019,fiat,13.919999999999998,6.0,14,True
FIAT_CR_10_A003,A003,A019,fiat,13.919999999999998,6.0,15,True
FIAT_CR_10_A004,A004,A019,fiat,13.919999999999998,6.0,15,True
FIAT_CR_10_A018,A018,A019,fiat,13.919999999999998,6.0,15,True
FIAT_CR_10_A033,A033,A019,fiat,13.919999999999998,6.0,15,True
FIAT_CR_11_A001,A001,A019,fiat,13.919999999999998,6.0,16,True
FIAT_CR_11_A018,A018,A019,fiat,13.919999999999998,6.0,16,True
FIAT_CR_11_A033,A033,A019,fiat,13.919999999999998,6.0,16,True
FIAT_CR_11_A042,A042,A019,fiat,13.919999999999998,6.0,16,True
FIAT_CR_12_A001,A001,A028,fiat,13.919999999999998,6.0,17,True
FIAT_CR_12_A033,A033,A028,fiat,13.919999999999998,6.0,17,True
FIAT_CR_12_A042,A042,A028,fiat,13.919999999999998,6.0,17,True
FIAT_CR_12_A043,A043,A028,fiat,13.919999999999998,6.0,17,True
FIAT_CR_13_A003,A003,A028,fiat,13.919999999999998,6.0,18,True
FIAT_CR_13_A004,A004,A028,fiat,13.919999999999998,6.0,18,True
FIAT_CR_13_A005,A005,A028,fiat,13.919999999999998,6.0,18,True
FIAT_CR_13_A018,A018,A028,fiat,13.919999999999998,6.0,18,True
FIAT_CR_14_A003,A003,A019,fiat,13.919999999999998,6.0,19,True
FIAT_CR_14_A004,A004,A019,fiat,13.919999999999998,6.0,19,True
FIAT_CR_14_A005,A005,A019,fiat,13.919999999999998,6.0,19,True
FIAT_CR_14_A018,A018,A019,fiat,13.919999999999998,6.0,19,True
FIAT_CR_15_A003,A003,A028,fiat,13.919999999999998,6.0,20,True
FIAT_CR_15_A004,A004,A028,fiat,13.919999999999998,6.0,20,True
FIAT_CR_15_A005,A005,A028,fiat,13.919999999999998,6.0,20,True
FIAT_CR_15_A010,A010,A028,fiat,13.919999999999998,6.0,20,True
FIAT_CR_16_A003,A003,A019,fiat,13.919999999999998,6.0,21,True
FIAT_CR_16_A004,A004,A019,fiat,13.919999999999998,6.0,21,True
FIAT_CR_16_A010,A010,A019,fiat,13.919999999999998,6.0,21,True
FIAT_CR_16_A018,A018,A019,fiat,13.919999999999998,6.0,21,True
FIAT_CR_17_A001,A001,A019,fiat,13.919999999999998,6.0,22,True
FIAT_CR_17_A003,A003,A019,fiat,13.919999999999998,6.0,22,True
FIAT_CR_17_A004,A004,A019,fiat,13.919999999999998,6.0,22,True
FIAT_CR_17_A006,A006,A019,fiat,13.919999999999998,6.0,22,True
FIAT_CR_18_A001,A001,A019,fiat,13.919999999999998,6.0,23,True
FIAT_CR_18_A004,A004,A019,fiat,13.919999999999998,6.0,23,True
FIAT_CR_18_A006,A006,A019,fiat,13.919999999999998,6.0,23,True
FIAT_CR_18_A010,A010,A019,fiat,13.919999999999998,6.0,23,True
FIAT_CR_19_A003,A003,A019,fiat,13.919999999999998,6.0,24,True
FIAT_CR_19_A004,A004,A019,fiat,13.919999999999998,6.0,24,True
FIAT_CR_19_A006,A006,A019,fiat,13.919999999999998,6.0,24,True
FIAT_CR_19_A010,A010,A019,fiat,13.919999999999998,6.0,24,True
FIAT_CR_20_A004,A004,A028,fiat,13.919999999999998,6.0,25,True
FIAT_CR_20_A005,A005,A028,fiat,13.919999999999998,6.0,25,True
FIAT_CR_20_A010,A010,A028,fiat,13.919999999999998,6.0,25,True
FIAT_CR_20_A018,A018,A028,fiat,13.919999999999998,6.0,25,True
FIAT_CR_21_A001,A001,A019,fiat,13.919999999999998,6.0,26,True
FIAT_CR_21_A003,A003,A019,fiat,13.919999999999998,6.0,26,True
FIAT_CR_21_A004,A004,A019,fiat,13.919999999999998,6.0,26,True
FIAT_CR_21_A005,A005,A019,fiat,13.919999999999998,6.0,26,True
FIAT_CR_22_A000,A000,A019,fiat,13.919999999999998,6.0,27,True
FIAT_CR_22_A003,A003,A019,fiat,13.919999999999998,6.0,27,True
FIAT_CR_22_A004,A004,A019,fiat,13.919999999999998,6.0,27,True
FIAT_CR_22_A005,A005,A019,fiat,13.919999999999998,6.0,27,True
FIAT_CR_23_A001,A001,A036,fiat,13.919999999999998,6.0,28,True
FIAT_CR_23_A003,A003,A036,fiat,13.919999999999998,6.0,28,True
FIAT_CR_23_A004,A004,A036,fiat,13.919999999999998,6.0,28,True
FIAT_CR_23_A006,A006,A036,fiat,13.919999999999998,6.0,28,True
FIAT_CR_24_A000,A000,A019,fiat,13.919999999999998,6.0,29,True
FIAT_CR_24_A001,A001,A019,fiat,13.919999999999998,6.0,29,True
FIAT_CR_24_A003,A003,A019,fiat,13.919999999999998,6.0,29,True
FIAT_CR_24_A004,A004,A019,fiat,13.919999999999998,6.0,29,True
FIAT_CR_25_A001,A001,A036,fiat,13.919999999999998,6.0,30,True
FIAT_CR_25_A003,A003,A036,fiat,13.919999999999998,6.0,30,True
FIAT_CR_25_A004,A004,A036,fiat,13.919999999999998,6.0,30,True
FIAT_CR_25_A006,A006,A036,fiat,13.919999999999998,6.0,30,True
FIAT_CR_26_A004,A004,A028,fiat,13.919999999999998,6.0,31,True
FIAT_CR_26_A005,A005,A028,fiat,13.919999999999998,6.0,31,True
FIAT_CR_26_A006,A006,A028,fiat,13.919999999999998,6.0,31,True
FIAT_CR_26_A010,A010,A028,fiat,13.919999999999998,6.0,31,True
FIAT_CR_27_A000,A000,A019,fiat,13.919999999999998,6.0,32,True
FIAT_CR_27_A001,A001,A019,fiat,13.919999999999998,6.0,32,True
FIAT_CR_27_A004,A004,A019,fiat,13.919999999999998,6.0,32,True
FIAT_CR_27_A005,A005,A019,fiat,13.919999999999998,6.0,32,True
FIAT_CR_28_A000,A000,A019,fiat,13.919999999999998,6.0,33,True
FIAT_CR_28_A003,A003,A019,fiat,13.919999999999998,6.0,33,True
FIAT_CR_28_A004,A004,A019,fiat,13.919999999999998,6.0,33,True
FIAT_CR_28_A005,A005,A019,fiat,13.919999999999998,6.0,33,True
FIAT_CR_29_A000,A000,A036,fiat,13.919999999999998,6.0,34,True
FIAT_CR_29_A001,A001,A036,fiat,13.919999999999998,6.0,34,True
FIAT_CR_29_A003,A003,A036,fiat,13.919999999999998,6.0,34,True
FIAT_CR_29_A004,A004,A036,fiat,13.919999999999998,6.0,34,True
FIAT_CR_30_A000,A000,A019,fiat,13.919999999999998,6.0,35,True
FIAT_CR_30_A001,A001,A019,fiat,13.919999999999998,6.0,35,True
FIAT_CR_30_A003,A003,A019,fiat,13.919999999999998,6.0,35,True
FIAT_CR_30_A004,A004,A019,fiat,13.919999999999998,6.0,35,True
FIAT_CR_31_A000,A000,A036,fiat,13.919999999999998,6.0,36,True
FIAT_CR_31_A001,A001,A036,fiat,13.919999999999998,6.0,36,True
FIAT_CR_31_A003,A003,A036,fiat,13.919999999999998,6.0,36,True
FIAT_CR_31_A004,A004,A036,fiat,13.919999999999998,6.0,36,True
FIAT_CR_32_A000,A000,A019,fiat,13.919999999999998,6.0,37,True
FIAT_CR_32_A003,A003,A019,fiat,13.919999999999998,6.0,37,True
FIAT_CR_32_A004,A004,A019,fiat,13.919999999999998,6.0,37,True
FIAT_CR_32_A005,A005,A019,fiat,13.919999999999998,6.0,37,True
FIAT_CR_33_A000,A000,A019,fiat,13.919999999999998,6.0,38,True
FIAT_CR_33_A001,A001,A019,fiat,13.919999999999998,6.0,38,True
FIAT_CR_33_A003,A003,A019,fiat,13.919999999999998,6.0,38,True
FIAT_CR_33_A004,A004,A019,fiat,13.919999999999998,6.0,38,True
FIAT_CR_34_A000,A000,A019,fiat,13.919999999999998,6.0,39,True
FIAT_CR_34_A003,A003,A019,fiat,13.919999999999998,6.0,39,True
FIAT_CR_34_A004,A004,A019,fiat,13.919999999999998,6.0,39,True
FIAT_CR_34_A005,A005,A019,fiat,13.919999999999998,6.0,39,True
FIAT_CR_35_A000,A000,A019,fiat,13.919999999999998,6.0,40,True
FIAT_CR_35_A001,A001,A019,fiat,13.919999999999998,6.0,40,True
FIAT_CR_35_A003,A003,A019,fiat,13.919999999999998,6.0,40,True
FIAT_CR_35_A004,A004,A019,fiat,13.919999999999998,6.0,40,True
FIAT_CR_36_A000,A000,A036,fiat,13.919999999999998,6.0,41,True
FIAT_CR_36_A001,A001,A036,fiat,13.919999999999998,6.0,41,True
FIAT_CR_36_A003,A003,A036,fiat,13.919999999999998,6.0,41,True
FIAT_CR_36_A004,A004,A036,fiat,13.919999999999998,6.0,41,True
FIAT_CR_37_A000,A000,A036,fiat,13.919999999999998,6.0,42,True
FIAT_CR_37_A001,A001,A036,fiat,13.919999999999998,6.0,42,True
FIAT_CR_37_A003,A003,A036,fiat,13.919999999999998,6.0,42,True
FIAT_CR_37_A004,A004,A036,fiat,13.919999999999998,6.0,42,True
FIAT_CR_38_A000,A000,A019,fiat,13.919999999999998,6.0,43,True
FIAT_CR_38_A003,A003,A019,fiat,13.919999999999998,6.0,43,True
FIAT_CR_38_A004,A004,A019,fiat,13.919999999999998,6.0,43,True
FIAT_CR_38_A005,A005,A019,fiat,13.919999999999998,6.0,43,True
FIAT_CR_39_A000,A000,A036,fiat,13.919999999999998,6.0,44,True
FIAT_CR_39_A001,A001,A036,fiat,13.919999999999998,6.0,44,True
FIAT_CR_39_A003,A003,A036,fiat,13.919999999999998,6.0,44,True
FIAT_CR_39_A004,A004,A036,fiat,13.919999999999998,6.0,44,True
FIAT_CR_40_A000,A000,A019,fiat,13.919999999999998,6.0,45,True
FIAT_CR_40_A003,A003,A019,fiat,13.919999999999998,6.0,45,True
FIAT_CR_40_A004,A004,A019,fiat,13.919999999999998,6.0,45,True
FIAT_CR_40_A005,A005,A019,fiat,13.919999999999998,6.0,45,True
FIAT_CR_41_A000,A000,A019,fiat,13.919999999999998,6.0,46,True
FIAT_CR_41_A001,A001,A019,fiat,13.919999999999998,6.0,46,True
FIAT_CR_41_A003,A003,A019,fiat,13.919999999999998,6.0,46,True
FIAT_CR_41_A004,A004,A019,fiat,13.919999999999998,6.0,46,True
FIAT_CR_42_A000,A000,A036,fiat,13.919999999999998,6.0,47,True
FIAT_CR_42_A001,A001,A036,fiat,13.919999999999998,6.0,47,True
FIAT_CR_42_A003,A003,A036,fiat,13.919999999999998,6.0,47,True
FIAT_CR_42_A004,A004,A036,fiat,13.919999999999998,6.0,47,True
FIAT_CR_43_A000,A000,A036,fiat,13.919999999999998,6.0,48,True
FIAT_CR_43_A001,A001,A036,fiat,13.919999999999998,6.0,48,True
FIAT_CR_43_A003,A003,A036,fiat,13.919999999999998,6.0,48,True
FIAT_CR_43_A004,A004,A036,fiat,13.919999999999998,6.0,48,True
FIAT_CR_44_A000,A000,A019,fiat,13.919999999999998,6.0,49,True
FIAT_CR_44_A003,A003,A019,fiat,13.919999999999998,6.0,49,True
FIAT_CR_44_A004,A004,A019,fiat,13.919999999999998,6.0,49,True
FIAT_CR_44_A005,A005,A019,fiat,13.919999999999998,6.0,49,True
FIAT_CR_45_A000,A000,A036,fiat,13.919999999999998,6.0,50,True
FIAT_CR_45_A001,A001,A036,fiat,13.919999999999998,6.0,50,True
FIAT_CR_45_A003,A003,A036,fiat,13.919999999999998,6.0,50,True
FIAT_CR_45_A004,A004,A036,fiat,13.919999999999998,6.0,50,True
FIAT_CR_46_A000,A000,A019,fiat,13.919999999999998,6.0,51,True
FIAT_CR_46_A002,A002,A019,fiat,13.919999999999998,6.0,51,True
FIAT_CR_46_A003,A003,A019,fiat,13.919999999999998,6.0,51,True
FIAT_CR_46_A004,A004,A019,fiat,13.919999999999998,6.0,51,True
FIAT_CR_47_A000,A000,A019,fiat,13.919999999999998,6.0,52,True
FIAT_CR_47_A001,A001,A019,fiat,13.919999999999998,6.0,52,True
FIAT_CR_47_A002,A002,A019,fiat,13.919999999999998,6.0,52,True
FIAT_CR_47_A003,A003,A019,fiat,13.919999999999998,6.0,52,True
FIAT_CR_48_A000,A000,A036,fiat,13.919999999999998,6.0,53,True
FIAT_CR_48_A001,A001,A036,fiat,13.919999999999998,6.0,53,True
FIAT_CR_48_A002,A002,A036,fiat,13.919999999999998,6.0,53,True
FIAT_CR_48_A003,A003,A036,fiat,13.919999999999998,6.0,53,True
FIAT_CR_49_A000,A000,A036,fiat,13.919999999999998,6.0,54,True
FIAT_CR_49_A001,A001,A036,fiat,13.919999999999998,6.0,54,True
FIAT_CR_49_A003,A003,A036,fiat,13.919999999999998,6.0,54,True
FIAT_CR_49_A004,A004,A036,fiat,13.919999999999998,6.0,54,True
FIAT_CR_50_A000,A000,A019,fiat,13.919999999999998,6.0,55,True
FIAT_CR_50_A001,A001,A019,fiat,13.919999999999998,6.0,55,True
FIAT_CR_50_A003,A003,A019,fiat,13.919999999999998,6.0,55,True
