agent_id,name,intent,region,rank,reputation,money
A000,Noble_teacher_000,noble,R01,72,58.04576012902609,2.2902350788860595
A001,Noble_engineer_001,noble,R03,14,59.838198413386074,4.279200393610974
A002,Noble_researcher_002,noble,R02,95,60.28125085062279,10.760456074537078
A003,Noble_insurer_003,noble,R02,50,72.26018095499452,7.602948040957578
A004,Noble_teacher_004,noble,R03,56,54.53402810249198,12.424937981300017
A005,Noble_governor_005,noble,R02,16,75.57150877827978,8.852773578195999
A006,Noble_researcher_006,noble,R00,72,54.38333605225533,13.92762914903003
A007,Noble_engineer_007,noble,R03,26,59.175253078643266,20.313127249075194
A008,Noble_teacher_008,noble,R02,42,74.79426906133003,4.367605672492316
A009,Noble_auditor_009,noble,R02,65,77.38152809578285,4166.851874484707
A010,Noble_researcher_010,noble,R04,2,90.1213381791921,7.379648937980593
A011,Noble_researcher_011,noble,R02,12,75.6044958391163,3.3960792331250125
A012,Noble_engineer_012,noble,R00,65,81.06058834996668,25.39899623192783
A013,Noble_engineer_013,noble,R00,34,77.97951293812528,0.6173513593677785
A014,Noble_auditor_014,noble,R03,99,81.70812882623846,4275.32753320207
A015,Noble_insurer_015,noble,R00,1,79.67891150461432,20.011677005201584
A016,Noble_auditor_016,noble,R02,32,82.98634179139125,20.070710153478924
A017,Noble_producer_017,noble,R03,39,74.16399398221795,54.826428275012354
A018,Noble_insurer_018,noble,R04,36,74.66098659555061,15.566572413039143
A019,Neutral_auditor_019,neutral,R02,29,72.12958802558009,4354.462039878439
A020,Neutral_insurer_020,neutral,R00,59,61.50412573253012,26.137641030275535
A021,Neutral_producer_021,neutral,R03,40,54.98260778714254,13.886891978379497
A022,Neutral_insurer_022,neutral,R04,68,58.18706819855654,24.97896493888723
A023,Neutral_healer_023,neutral,R00,81,50.747406819779535,17.883342978792687
A024,Neutral_auditor_024,neutral,R04,56,59.24990681781696,41.547499867666204
A025,Neutral_healer_025,neutral,R04,58,57.75663581639549,16.293636186045525
A026,Neutral_auditor_026,neutral,R02,30,82.94604765376968,22.868316060337648
A027,Neutral_engineer_027,neutral,R00,24,52.544304618838964,13.908471853412241
A028,Neutral_teacher_028,neutral,R04,21,79.1573479213372,3339.8093984050047
A029,Neutral_producer_029,neutral,R00,7,70.61430160140308,21.91803267025229
A030,Neutral_engineer_030,neutral,R04,81,74.9277399240044,20.61376694735817
A031,Neutral_researcher_031,neutral,R03,93,52.33428701726786,9.481562837240762
A032,Neutral_auditor_032,neutral,R04,27,74.55100247269698,11.210894081800241
A033,Neutral_trader_033,neutral,R02,98,55.03959100190048,25.430397066744746
A034,Neutral_trader_034,neutral,R04,18,74.92010701205209,9.447566356972656
A035,Neutral_healer_035,neutral,R03,8,51.954028441137524,4.324163601942605
A036,Neutral_researcher_036,neutral,R04,16,79.57646278635211,4443.599864255102
A037,Neutral_researcher_037,neutral,R03,86,65.81029752734888,20.79864889510538
A038,Neutral_engineer_038,neutral,R04,26,84.50541147608062,15.635747923991635
A039,Neutral_teacher_039,neutral,R00,42,69.78852148081177,42.80360731802885
A040,Neutral_producer_040,neutral,R03,66,77.75090632459728,14.49017167419846
A041,Neutral_auditor_041,neutral,R00,77,72.19202762144121,8.71574485912024
A042,Neutral_insurer_042,neutral,R04,25,80.28635905979482,16.11857101212337
A043,Neutral_healer_043,neutral,R01,56,70.73437950440696,19.87908540917136
A044,Neutral_engineer_044,neutral,R01,63,62.98784357020831,28.596872394139226
A045,Harmful_engineer_045,harmful,R04,8,0.0,82.53500223442082
A046,Harmful_engineer_046,harmful,R02,38,3.6312054120544004,34.68999300193396
A047,Harmful_teacher_047,harmful,R02,45,0.0,15.473428571662312
A048,Harmful_auditor_048,harmful,R04,15,0.006716466676129825,23.990434972824517
A049,Harmful_insurer_049,harmful,R01,43,3.4787203775582154,14.706697246032846
A050,Harmful_teacher_050,harmful,R01,43,20.94382552861886,42.99666506874793
A051,Harmful_teacher_051,harmful,R04,98,4.946525487861543,94.3184599064472
A052,Harmful_producer_052,harmful,R02,77,15.804110169586739,9.742401943135544
A053,Harmful_insurer_053,harmful,R01,38,21.595817123982382,26.76609625035853
A054,Harmful_producer_054,harmful,R00,62,0.34516221372272193,26.842813331244432
A055,Harmful_producer_055,harmful,R04,76,10.842156931355273,55.02321886816832
A056,Harmful_healer_056,harmful,R02,70,17.573735467808877,56.996381561238685
A057,Harmful_researcher_057,harmful,R02,67,0.0,85.37126559763657
A058,Harmful_engineer_058,harmful,R02,16,0.0,44.25230572172879
A059,Harmful_researcher_059,harmful,R03,26,0.06082493172803636,5.867903705562153
