step,mode,score_start,score_end,score_change,distance_start,distance_end,distance_change,total_omk,total_fiat,accepted,rejected,harmful_accepted
1,baseline,49.2627106987974,49.424883465632696,0.16217276683529747,50.7372893012026,50.575116534367304,-0.16217276683529747,0,7053.835807318399,34,0,11
2,baseline,49.424883465632696,49.721888358799305,0.2970048931666085,50.575116534367304,50.27811164120069,-0.2970048931666156,0,7139.571788259667,34,0,11
3,baseline,49.721888358799305,50.67934308035866,0.9574547215593583,50.27811164120069,49.32065691964133,-0.9574547215593583,0,7213.601139586561,34,0,8
4,baseline,50.67934308035866,51.87770959166988,1.1983665113112139,49.32065691964133,48.122290408330116,-1.1983665113112139,0,7280.015479403331,34,0,7
5,baseline,51.87770959166988,51.570007081916,-0.3077025097538737,48.122290408330116,48.42999291808399,0.3077025097538737,0,7367.039281717753,34,0,13
6,baseline,51.570007081916,51.95805915915327,0.3880520772372691,48.42999291808399,48.04194084084672,-0.3880520772372691,0,7448.289445882296,34,0,10
7,baseline,51.95805915915327,52.475623382484365,0.5175642233310924,48.04194084084672,47.524376617515635,-0.5175642233310853,0,7541.640612863694,34,0,10
8,baseline,52.475623382484365,53.03703845450401,0.561415072019642,47.524376617515635,46.96296154549599,-0.561415072019642,0,7619.395269873957,34,0,8
9,baseline,53.03703845450401,53.44842850209089,0.4113900475868846,46.96296154549599,46.5515714979091,-0.4113900475868917,0,7712.45087014201,34,0,10
10,baseline,53.44842850209089,54.37054828616497,0.9221197840740771,46.5515714979091,45.62945171383502,-0.9221197840740842,0,7805.0364222139715,34,0,7
11,baseline,54.37054828616497,54.81891493122782,0.44836664506285473,45.62945171383502,45.18108506877217,-0.4483666450628476,0,7878.379736019827,34,0,8
12,baseline,54.81891493122782,55.72757040056753,0.9086554693397062,45.18108506877217,44.27242959943246,-0.9086554693397062,0,7969.910725997694,34,0,8
13,baseline,55.72757040056753,56.45421002714407,0.7266396265765422,44.27242959943246,43.54578997285592,-0.7266396265765422,0,8051.354790592583,34,0,9
14,baseline,56.45421002714407,56.14344742158997,-0.3107626055541033,43.54578997285592,43.85655257841002,0.3107626055540962,0,8168.846265826734,34,0,11
15,baseline,56.14344742158997,55.69373692292114,-0.4497104986688285,43.85655257841002,44.30626307707885,0.4497104986688356,0,8261.995085450892,34,0,11
16,baseline,55.69373692292114,55.57445972563284,-0.119277197288298,44.30626307707885,44.42554027436715,0.119277197288298,0,8353.298841755977,34,0,9
17,baseline,55.57445972563284,56.20972935060212,0.6352696249692755,44.42554027436715,43.79027064939788,-0.6352696249692684,0,8422.272719763074,34,0,9
18,baseline,56.20972935060212,56.51685992577261,0.3071305751704898,43.79027064939788,43.4831400742274,-0.3071305751704827,0,8502.939925489753,34,0,7
