market,unit,events,amount,success_events,failed_events
behavior_market,BEHAV,185,130.0,185,0
causality_market,CAUSE,339,159.09190837907806,339,0
goods_market,FIAT,11,67.67269598374388,11,0
energy_market,FIAT,2,4.5,2,0
securities_market,FIAT,2125,63307.700634144174,1098,1027
dividend,STOCK,44288,2806.983369469773,44288,0
insurance_market,FIAT,46,62.14091014732912,45,1
truth_market,TRUTH,493,451.78535639287884,493,0
norm_market,NORM,203,70.98721890839039,203,0
credit_market,DEBT,704,8448.0,0,0
shock,RISK,7,9.439843639939795,0,0
insurance_payout,FIAT,1,1.409227385864223,1,0
credit_settlement,DEBT,684,9521.280000000042,622,62
