operation,unit,accepted,rejected,minted,weighted_score,private_gain,protected_loss,harmful_family
exploit_labor,DEBT,329,0,0.0,-4182.018903099352,2026.6842081421653,3688.018367218119,1
infrastructure_maintenance,REPAIR,545,0,0.0,1150.392978089565,812.7151361694933,0.0,0
norm_reform,NORM,334,0,0.0,1794.6418956125967,290.79018900839225,0.0,0
fair_exchange,OMK,365,0,0.0,611.5369123230371,372.23479734119144,0.0,0
tyrant_hierarchy_inversion,DEBT,180,0,0.0,-2597.8575056081218,927.0724640937163,1795.8156246667945,1
restore_agency,OMK,274,0,0.0,2188.419058618314,320.41804200785776,0.0,0
repair_harm,REPAIR,381,0,0.0,3064.199110744178,537.4637399967872,0.0,0
metric_hack,DEBT,228,0,0.0,-1552.1775689831195,857.2733458433643,1498.7577207767833,1
education,TRUTH,393,0,0.0,2249.77665161353,496.53467650572577,0.0,0
voluntary_behavior_contract,BEHAV,337,0,0.0,1221.6869257713242,345.98389288716135,0.0,0
produce_goods,STOCK,763,0,0.0,448.1249862045752,2270.528666254836,0.0,0
fake_truth_certificate,DEBT,245,0,0.0,-1859.0532772776762,1236.949137789623,1729.7016846118174,1
causal_intervention,CAUSE,417,0,0.0,1223.3315571946919,760.3453114783957,0.0,0
sabotage_competitor,DEBT,187,0,0.0,-1940.845768355315,829.928815984472,1463.3713396870542,1
hierarchy_inversion_repair,HIER,130,0,0.0,843.126456465932,172.3507124704653,0.0,0
coercive_behavior_purchase,DEBT,194,0,0.0,-2865.670600819549,894.1123533050301,2711.2146658568004,1
insurance_underwrite,INS,203,0,0.0,507.8532670854597,196.83334711188385,0.0,0
truth_audit,TRUTH,482,0,0.0,2436.3414590218945,480.462311516774,0.0,0
self_created_need,DEBT,133,0,0.0,-1261.4613533335323,409.43305977663385,948.1719542801716,1
external_shock,RISK,7,0,0.0,-38.336620674333,0.0,21.239648189864536,0
