id,borrower,lender,promised_family,promised_amount,stake,due_step,fulfilled
CR_2_A002,A002,A015,norm_reform,1.3364041947793477,1.2149129043448614,7,True
CR_2_A003,A003,A015,insurance_underwrite,1.2428559011447933,1.129869001040721,7,True
CR_2_A008,A008,A015,truth_audit,1.155855988064658,1.0507781709678707,7,True
CR_2_A010,A010,A015,restore_agency,1.0749460689001318,0.9772236990001197,7,True
CR_3_A000,A000,A015,interregional_bridge,2.6815470044882903,2.4377700040802637,8,True
CR_3_A012,A012,A015,education,2.49383871417411,2.267126103794645,8,True
CR_3_A017,A017,A015,repair_harm,2.3192700041819223,2.10842727652902,8,True
CR_3_A020,A020,A015,norm_reform,2.1569211038891876,1.9608373671719885,8,True
CR_4_A021,A021,A015,education,2.2095812092224207,2.0087101902022004,9,True
CR_4_A023,A023,A015,voluntary_behavior_contract,2.0549105245768513,1.8681004768880465,9,True
CR_4_A024,A024,A015,truth_audit,1.9110667878564715,1.7373334435058831,9,True
CR_4_A035,A035,A015,repair_harm,1.7772921127065189,1.6157201024604715,9,True
CR_5_A023,A023,A015,voluntary_behavior_contract,2.5215759098594335,2.2923417362358482,10,True
CR_5_A042,A042,A015,insurance_underwrite,2.3450655961692726,2.1318778146993385,10,True
CR_6_A000,A000,A043,interregional_bridge,3.521037975917414,3.2009436144703765,11,True
CR_7_A011,A011,A009,education,3.8500000000000005,3.5,12,True
CR_7_A021,A021,A009,education,3.8500000000000005,3.5,12,True
CR_7_A037,A037,A009,truth_audit,3.8405360343620187,3.4913963948745623,12,True
CR_8_A011,A011,A009,education,3.8500000000000005,3.5,13,True
CR_11_A010,A010,A019,restore_agency,3.8500000000000005,3.5,16,True
CR_12_A013,A013,A019,produce_goods,3.8500000000000005,3.5,17,True
CR_13_A021,A021,A019,education,3.8500000000000005,3.5,18,True
CR_18_A021,A021,A019,education,3.8500000000000005,3.5,23,True
CR_18_A042,A042,A019,insurance_underwrite,3.8500000000000005,3.5,23,True
CR_19_A021,A021,A019,education,3.8500000000000005,3.5,24,True
CR_21_A021,A021,A019,education,3.8500000000000005,3.5,26,True
CR_21_A023,A023,A019,voluntary_behavior_contract,3.8500000000000005,3.5,26,True
CR_22_A040,A040,A019,hierarchy_inversion_repair,3.8500000000000005,3.5,27,True
CR_23_A005,A005,A014,norm_reform,3.8500000000000005,3.5,28,True
CR_23_A012,A012,A014,education,3.8500000000000005,3.5,28,True
CR_23_A026,A026,A014,insurance_underwrite,3.8500000000000005,3.5,28,True
CR_24_A000,A000,A014,interregional_bridge,3.8500000000000005,3.5,29,True
CR_24_A021,A021,A014,education,3.8500000000000005,3.5,29,True
CR_24_A040,A040,A014,hierarchy_inversion_repair,3.8500000000000005,3.5,29,True
CR_25_A021,A021,A014,education,3.8500000000000005,3.5,30,True
CR_27_A008,A008,A014,truth_audit,3.8500000000000005,3.5,32,True
CR_27_A021,A021,A014,education,3.8500000000000005,3.5,32,True
CR_28_A026,A026,A014,insurance_underwrite,3.8500000000000005,3.5,33,True
CR_29_A026,A026,A014,insurance_underwrite,3.8500000000000005,3.5,34,True
CR_30_A040,A040,A014,hierarchy_inversion_repair,3.8500000000000005,3.5,35,True
CR_31_A021,A021,A014,education,3.8500000000000005,3.5,36,True
CR_32_A010,A010,A014,restore_agency,3.8500000000000005,3.5,37,True
CR_33_A005,A005,A014,norm_reform,3.8500000000000005,3.5,38,True
CR_34_A005,A005,A014,norm_reform,3.8500000000000005,3.5,39,True
CR_34_A035,A035,A014,repair_harm,3.8500000000000005,3.5,39,True
CR_35_A022,A022,A014,education,3.8500000000000005,3.5,40,True
CR_35_A026,A026,A014,insurance_underwrite,3.8500000000000005,3.5,40,True
CR_35_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,3.5,40,True
CR_36_A022,A022,A014,education,3.8500000000000005,3.5,41,True
CR_36_A040,A040,A014,hierarchy_inversion_repair,3.8500000000000005,3.5,41,True
CR_37_A021,A021,A014,education,3.8500000000000005,3.5,42,True
CR_38_A007,A007,A014,causal_intervention,3.8500000000000005,3.5,43,True
CR_38_A021,A021,A014,education,3.8500000000000005,3.5,43,True
CR_40_A005,A005,A014,norm_reform,3.8500000000000005,3.5,45,True
CR_40_A035,A035,A014,repair_harm,3.8500000000000005,3.5,45,True
CR_41_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,3.5,46,True
CR_42_A022,A022,A014,education,3.8500000000000005,3.5,47,True
CR_42_A025,A025,A014,repair_harm,3.8500000000000005,3.5,47,True
CR_42_A040,A040,A014,hierarchy_inversion_repair,3.8500000000000005,3.5,47,True
CR_44_A021,A021,A014,education,3.8500000000000005,3.5,49,True
CR_46_A005,A005,A014,norm_reform,3.8500000000000005,3.5,51,True
CR_48_A025,A025,A014,repair_harm,3.8500000000000005,3.5,53,True
CR_48_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,3.5,53,True
CR_48_A044,A044,A014,produce_goods,3.8500000000000005,3.5,53,True
CR_49_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,54,True
CR_50_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,55,True
CR_50_A021,A021,A014,education,3.8500000000000005,3.5,55,True
CR_50_A041,A041,A014,repair_harm,3.8500000000000005,3.5,55,True
CR_51_A013,A013,A014,produce_goods,3.8500000000000005,3.5,56,True
CR_52_A005,A005,A014,norm_reform,3.8500000000000005,3.5,57,True
CR_52_A008,A008,A014,truth_audit,3.8500000000000005,3.5,57,True
CR_52_A030,A030,A014,interregional_bridge,3.8500000000000005,3.5,57,True
CR_54_A011,A011,A014,education,3.8500000000000005,3.5,59,True
CR_54_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,3.5,59,True
