agent_id,name,intent,region,rank,reputation,money
A000,Noble_teacher_000,noble,R01,72,95.56948308888231,8.419743062187056
A001,Noble_engineer_001,noble,R03,14,71.63202562107949,7.447571026119956
A002,Noble_researcher_002,noble,R02,95,44.14115747329809,7.975630737086435
A003,Noble_insurer_003,noble,R02,50,84.15627504198925,2.118070104764453
A004,Noble_teacher_004,noble,R03,56,48.69344671380047,6.8396496880355055
A005,Noble_governor_005,noble,R02,16,67.81740965276589,1.9062929385768148
A006,Noble_researcher_006,noble,R00,72,43.528291441598576,7.872428354204016
A007,Noble_engineer_007,noble,R03,26,50.937937933142635,6.267428549529991
A008,Noble_teacher_008,noble,R02,42,81.09956094078196,3.7344145110895925
A009,Noble_auditor_009,noble,R02,65,24.23843164246722,236.07539246539451
A010,Noble_researcher_010,noble,R04,2,63.97553872401269,6.652501910064304
A011,Noble_researcher_011,noble,R02,12,33.97106233167626,4.2209444898166515
A012,Noble_engineer_012,noble,R00,65,75.124748249075,6.647857286282094
A013,Noble_engineer_013,noble,R00,34,71.01069070066823,7.135138138603178
A014,Noble_auditor_014,noble,R03,99,66.4501234252207,941.7734294539172
A015,Noble_insurer_015,noble,R00,1,87.25359894404541,1.4684869201812265
A016,Noble_auditor_016,noble,R02,32,53.22289269547548,5.66130382991886
A017,Noble_producer_017,noble,R03,39,80.2297428193153,6.409767356545183
A018,Noble_insurer_018,noble,R04,36,58.53085161704633,1.876816184365313
A019,Neutral_auditor_019,neutral,R02,29,18.334327464937882,16.4872773603511
A020,Neutral_insurer_020,neutral,R00,59,28.95457985822248,2.775759489482517
A021,Neutral_producer_021,neutral,R03,40,50.29944525797621,2.911411605322795
A022,Neutral_insurer_022,neutral,R04,68,18.163587085512887,2.595541094444142
A023,Neutral_healer_023,neutral,R00,81,44.98174868579178,2.335735405238326
A024,Neutral_auditor_024,neutral,R04,56,22.409130038196587,3.8753857975815436
A025,Neutral_healer_025,neutral,R04,58,27.426601429325963,10.661555909523974
A026,Neutral_auditor_026,neutral,R02,30,80.92234671949163,4.199510007769561
A027,Neutral_engineer_027,neutral,R00,24,56.643155810111494,3.3794902734374705
A028,Neutral_teacher_028,neutral,R04,21,37.78935719439219,701.8153721169106
A029,Neutral_producer_029,neutral,R00,7,58.222454896970866,6.3622308193411925
A030,Neutral_engineer_030,neutral,R04,81,52.97706561648045,3.332224110727159
A031,Neutral_researcher_031,neutral,R03,93,21.296625109240715,3.0530647913180733
A032,Neutral_auditor_032,neutral,R04,27,41.83866345282528,4.802508664169184
A033,Neutral_trader_033,neutral,R02,98,22.708841542739215,469.28619851436645
A034,Neutral_trader_034,neutral,R04,18,37.1827581719326,4.506603074423355
A035,Neutral_healer_035,neutral,R03,8,17.23323625632845,10.943457782610865
A036,Neutral_researcher_036,neutral,R04,16,29.79070421214518,605.0808731019794
A037,Neutral_researcher_037,neutral,R03,86,35.32562966789515,5.400089196063139
A038,Neutral_engineer_038,neutral,R04,26,24.88816156781342,9.295524656475168
A039,Neutral_teacher_039,neutral,R00,42,42.638618456353676,3.8887024056708333
A040,Neutral_producer_040,neutral,R03,66,53.189958280935706,4.673101436414839
A041,Neutral_auditor_041,neutral,R00,77,37.95489526586269,5.200214773218805
A042,Neutral_insurer_042,neutral,R04,25,36.3650527927386,1.3691587469239204
A043,Neutral_healer_043,neutral,R01,56,70.34968747212527,20.05353761236606
A044,Neutral_engineer_044,neutral,R01,63,63.47059801616581,6.055526680532925
A045,Harmful_engineer_045,harmful,R04,8,0.0,6.3882320358082305
A046,Harmful_engineer_046,harmful,R02,38,0.0,5.014584107349233
A047,Harmful_teacher_047,harmful,R02,45,0.23411874856321205,3.2260910549134127
A048,Harmful_auditor_048,harmful,R04,15,0.0,3.7700110741519937
A049,Harmful_insurer_049,harmful,R01,43,0.3057852015081654,7.2251447904690185
A050,Harmful_teacher_050,harmful,R01,43,18.986338052817523,3.0286313081969056
A051,Harmful_teacher_051,harmful,R04,98,0.0,2.926037020528073
A052,Harmful_producer_052,harmful,R02,77,0.0,1.1387009313735554
A053,Harmful_insurer_053,harmful,R01,38,5.976337810599037,4.119851646395776
A054,Harmful_producer_054,harmful,R00,62,0.0,5.3620997051416985
A055,Harmful_producer_055,harmful,R04,76,0.0,3.6145606145380915
A056,Harmful_healer_056,harmful,R02,70,0.0,5.760862843879051
A057,Harmful_researcher_057,harmful,R02,67,0.8,3.4703150056598067
A058,Harmful_engineer_058,harmful,R02,16,0.0,1.5002271423577027
A059,Harmful_researcher_059,harmful,R03,26,0.0,3.7653199140845097
