id,holder,insurer,premium,coverage,metric,region,active_until,active,paid_out
IN_1_A036,A036,A011,1.7485397815762267,4.335616361370859,freedom_from_harm,R04,13,True,0.0
IN_1_A025,A025,A011,1.6109629379300674,5.96625794365261,freedom_from_harm,R04,13,True,0.0
IN_2_A016,A016,A018,1.1611023771292648,5.882036991926838,freedom_from_harm,R02,14,False,3.82889590398853
IN_2_A042,A042,A018,1.012284672486031,4.40449528034287,freedom_from_harm,R04,14,True,0.0
IN_3_A004,A004,A015,1.3552776650568505,6.873533695098034,freedom_from_harm,R03,15,True,0.0
IN_3_A038,A038,A015,1.2894571739753105,5.983492487131459,freedom_from_harm,R04,15,True,0.0
IN_4_A005,A005,A043,1.7392751988541422,5.38280368860946,freedom_from_harm,R02,16,False,3.82889590398853
IN_4_A010,A010,A043,1.5850608714326206,4.223305183799587,freedom_from_harm,R04,16,True,0.0
IN_5_A037,A037,A043,1.354100363667343,4.259015892488234,freedom_from_harm,R03,17,True,0.0
IN_5_A019,A019,A043,1.0557080858807761,6.390591574296133,freedom_from_harm,R02,17,False,3.82889590398853
IN_6_A009,A009,A043,1.335024693189478,5.992471827517313,freedom_from_harm,R02,18,False,3.82889590398853
IN_6_A000,A000,A043,1.148349499962378,5.5954837194045535,freedom_from_harm,R01,18,True,0.0
IN_7_A015,A015,A009,1.1475547878482357,5.926020480307638,freedom_from_harm,R00,19,True,0.0
IN_7_A014,A014,A009,1.4229454081495236,5.258843638966802,freedom_from_harm,R03,19,True,0.0
IN_8_A029,A029,A009,1.4494120072221184,5.426666382674197,freedom_from_harm,R00,20,True,0.0
IN_8_A027,A027,A009,1.2636603052150799,4.402327937876611,freedom_from_harm,R00,20,True,0.0
IN_9_A011,A011,A019,1.7655580361561622,4.760428887641746,freedom_from_harm,R02,21,False,3.82889590398853
IN_9_A028,A028,A019,1.0204383318128272,6.838586126267787,freedom_from_harm,R04,21,True,0.0
IN_10_A020,A020,A019,1.0911345070653888,4.667804625148952,freedom_from_harm,R00,22,True,0.0
IN_10_A013,A013,A019,1.522460830507364,4.238517554263927,freedom_from_harm,R00,22,True,0.0
IN_11_A026,A026,A019,1.5182931220464626,4.266163262819772,freedom_from_harm,R02,23,False,3.82889590398853
IN_11_A021,A021,A019,1.438825204642723,4.9283535454426834,freedom_from_harm,R03,23,True,0.0
IN_12_A022,A022,A019,1.1432868598906456,5.70357951556522,freedom_from_harm,R04,24,True,0.0
IN_12_A033,A033,A019,1.7750484241027658,4.759161804314442,freedom_from_harm,R02,24,True,0.0
IN_13_A034,A034,A019,1.514523668214838,4.718288570190598,freedom_from_harm,R04,25,True,0.0
IN_13_A018,A018,A019,1.5071120302543997,6.530293283340799,freedom_from_harm,R04,25,True,0.0
IN_14_A032,A032,A019,1.5949738540991967,4.894522152228556,freedom_from_harm,R04,26,True,0.0
IN_14_A043,A043,A019,1.1905970751331416,5.294642390912968,freedom_from_harm,R01,26,True,0.0
IN_15_A024,A024,A019,1.3441710409493353,6.383246115711373,freedom_from_harm,R04,27,True,0.0
IN_15_A031,A031,A019,1.5437264837122888,4.362590131539095,freedom_from_harm,R03,27,True,0.0
IN_16_A030,A030,A019,1.2687562986780834,5.388950343258566,freedom_from_harm,R04,28,True,0.0
IN_16_A001,A001,A019,1.650242076097821,4.767145547974034,freedom_from_harm,R03,28,True,0.0
IN_17_A041,A041,A019,1.2575719063905217,5.424583457518725,freedom_from_harm,R00,29,True,0.0
IN_17_A002,A002,A019,1.1698959092738634,4.7719789828916115,freedom_from_harm,R02,29,True,0.0
IN_18_A006,A006,A019,1.0653940551402945,4.0947110402149605,freedom_from_harm,R00,30,True,0.0
IN_18_A012,A012,A019,1.1028895493234177,6.99640885557795,freedom_from_harm,R00,30,True,0.0
IN_19_A039,A039,A019,1.4660424156835725,5.986081627919762,freedom_from_harm,R00,31,True,0.0
IN_19_A017,A017,A019,1.0019326806841369,5.496704663714972,freedom_from_harm,R03,31,True,0.0
IN_20_A035,A035,A019,1.6876536493842216,4.015893500064774,freedom_from_harm,R03,32,True,0.0
IN_20_A023,A023,A019,1.372497205707598,4.275024912699163,freedom_from_harm,R00,32,True,0.0
IN_21_A007,A007,A019,1.2326326259728304,6.871259369711147,freedom_from_harm,R03,33,True,0.0
IN_21_A008,A008,A019,1.5820359646088311,4.928962947786284,freedom_from_harm,R02,33,True,0.0
IN_22_A003,A003,A019,1.5828732108898582,4.615352773664233,freedom_from_harm,R02,34,True,0.0
IN_22_A044,A044,A019,1.1984040969892207,6.261396075286358,freedom_from_harm,R01,34,True,0.0
IN_23_A040,A040,A019,1.7438290203621116,5.246870876322795,freedom_from_harm,R03,35,True,0.0
