step,mode,market,unit,region,actor_a,actor_b,amount,object_id,result
1,gmoe,behavior_market,BEHAV,R04,A038,A020,0.0,BC_1_A020_1,created
1,gmoe,behavior_market,BEHAV,R03,A035,A052,0.0,BC_1_A052_2,created
1,gmoe,goods_market,OMK,R01,A000,A044,6.223618090493359,goods,insufficient_omk
1,gmoe,goods_market,OMK,R03,A059,A014,6.670156801460987,goods,insufficient_omk
1,gmoe,goods_market,OMK,R02,A009,A047,6.244409788647452,goods,insufficient_omk
1,gmoe,goods_market,OMK,R02,A008,A016,6.244409788647452,goods,insufficient_omk
1,gmoe,goods_market,OMK,R04,A010,A034,5.748531816518213,goods,insufficient_omk
1,gmoe,energy_market,OMK,R03,A037,A007,2.25,energy,paid_omk
1,gmoe,securities_market,STOCK,R03,A037,A019,45.633269585909176,STOCK_A019,insufficient_omk
1,gmoe,securities_market,STOCK,R01,A043,A028,56.0046624532422,STOCK_A028,insufficient_omk
1,gmoe,securities_market,STOCK,R02,A058,A028,27.02766930275993,STOCK_A028,insufficient_omk
1,gmoe,securities_market,STOCK,R00,A054,A014,6.7860661027375,STOCK_A014,insufficient_omk
1,gmoe,securities_market,STOCK,R01,A000,A036,44.17542761830348,STOCK_A036,insufficient_omk
1,gmoe,securities_market,STOCK,R02,A003,A036,14.404091629300853,STOCK_A036,insufficient_omk
1,gmoe,securities_market,STOCK,R01,A050,A036,9.304862740807048,STOCK_A036,insufficient_omk
1,gmoe,securities_market,STOCK,R02,A026,A036,11.161691462325017,STOCK_A036,insufficient_omk
1,gmoe,securities_market,STOCK,R00,A020,A019,21.624780678223168,STOCK_A019,insufficient_omk
1,gmoe,securities_market,STOCK,R04,A036,A019,53.12483481286641,STOCK_A019,insufficient_omk
1,gmoe,securities_market,STOCK,R00,A041,A019,49.23684542183801,STOCK_A019,insufficient_omk
1,gmoe,securities_market,STOCK,R02,A057,A028,66.2304647996624,STOCK_A028,insufficient_omk
1,gmoe,dividend,STOCK,R02,A009,A009,0.03672758734934789,STOCK_A009,omk_dividend
1,gmoe,dividend,STOCK,R03,A014,A014,0.03264,STOCK_A014,omk_dividend
1,gmoe,dividend,STOCK,R02,A033,A033,0.02748612566254881,STOCK_A033,omk_dividend
1,gmoe,dividend,STOCK,R04,A036,A036,0.04235402305521994,STOCK_A036,omk_dividend
1,gmoe,dividend,STOCK,R02,A019,A019,0.038408137572112144,STOCK_A019,omk_dividend
1,gmoe,insurance_market,INS,R04,A036,A011,1.7485397815762267,insurance,paid_omk
1,gmoe,insurance_market,INS,R04,A025,A011,1.6109629379300674,insurance,paid_omk
1,gmoe,interregional_bridge,BRIDGE,R03,A007,R00,1.0598151475883901,PKT_1_R03_R00_1,sent
1,gmoe,interregional_bridge,BRIDGE,R03,A017,R02,0.6865191541436083,PKT_1_R03_R02_2,sent
1,gmoe,interregional_bridge,BRIDGE,R02,A016,R03,0.6590076440167008,PKT_1_R02_R03_3,sent
1,gmoe,repair_fund,REPAIR,R00,repair_fund,A015,1.1731756612283843,repair_harm,funded
2,gmoe,norm_market,NORM,R02,A005,region,0.0,NC_2_A005_1,created
2,gmoe,goods_market,OMK,R01,A000,A043,6.201078014822228,goods,insufficient_omk
2,gmoe,goods_market,OMK,R03,A017,A031,6.571604856333909,goods,paid_omk
2,gmoe,goods_market,OMK,R02,A008,A019,6.1130467608383245,goods,insufficient_omk
2,gmoe,goods_market,OMK,R02,A011,A046,6.1130467608383245,goods,paid_omk
2,gmoe,goods_market,OMK,R04,A055,A034,5.508956716431814,goods,insufficient_omk
2,gmoe,securities_market,STOCK,R04,A038,A014,14.302218078192626,STOCK_A014,insufficient_omk
2,gmoe,securities_market,STOCK,R01,A044,A036,39.28531362585882,STOCK_A036,insufficient_omk
2,gmoe,securities_market,STOCK,R02,A002,A028,21.31909640743067,STOCK_A028,insufficient_omk
2,gmoe,securities_market,STOCK,R02,A056,A036,41.697559676775754,STOCK_A036,insufficient_omk
2,gmoe,securities_market,STOCK,R00,A027,A036,19.427664357675194,STOCK_A036,insufficient_omk
2,gmoe,securities_market,STOCK,R03,A004,A019,17.98731278203047,STOCK_A019,insufficient_omk
2,gmoe,securities_market,STOCK,R04,A036,A033,35.78823971841205,STOCK_A033,insufficient_omk
2,gmoe,securities_market,STOCK,R00,A054,A019,54.31855794273264,STOCK_A019,insufficient_omk
2,gmoe,securities_market,STOCK,R02,A047,A036,51.12831580902709,STOCK_A036,insufficient_omk
2,gmoe,securities_market,STOCK,R04,A045,A028,58.97761104080931,STOCK_A028,insufficient_omk
2,gmoe,securities_market,STOCK,R02,A019,A036,9.275251853517666,STOCK_A036,insufficient_omk
2,gmoe,dividend,STOCK,R02,A009,A009,0.07881517057173688,STOCK_A009,omk_dividend
2,gmoe,dividend,STOCK,R03,A014,A014,0.13762805184054566,STOCK_A014,omk_dividend
2,gmoe,dividend,STOCK,R02,A033,A033,0.08413547114166561,STOCK_A033,omk_dividend
2,gmoe,dividend,STOCK,R04,A036,A036,0.021371545676305215,STOCK_A036,omk_dividend
