market,unit,events,amount,success_events,failed_events
behavior_market,BEHAV,62,48.720000000000006,62,0
goods_market,OMK,248,966.5694764750616,9,239
energy_market,OMK,3,6.75,3,0
securities_market,STOCK,2123,57129.80916347591,403,1720
dividend,STOCK,24187,2440.752390839208,24187,0
insurance_market,INS,45,62.03151596334935,45,0
interregional_bridge,BRIDGE,540,736.6158035225835,540,0
repair_fund,REPAIR,165,344.83934119656345,165,0
norm_market,NORM,69,51.40949374354664,69,0
credit_market,DEBT,507,1749.9933683002662,0,0
causality_market,CAUSE,116,75.93073643016268,116,0
truth_market,TRUTH,100,81.7329966052701,100,0
interregional_settlement,BRIDGE,519,705.7737953293469,370,149
credit_settlement,DEBT,487,1847.9927051302775,468,19
shock,RISK,4,9.931684908822067,0,0
insurance_payout,INS,6,22.97337542393118,6,0
