step,mode,agency,freedom_from_harm,truth,causal_integrity,norm_alignment,hierarchy_legitimacy,behavior_cooperation,repair_capacity,help_potential,resource_resilience,material_output,liquidity,fairness,consent_quality,reversibility
1,gmoe,52.64623792618288,51.23322755427864,51.8248523659192,50.012903519499694,49.264934867177246,51.84161003567842,50.380057763748184,48.24670614866922,50.64062201161701,51.15372564771628,55.287030028044015,53.66608445493682,53.50203405487857,49.81764562458282,50.80584160057619
2,gmoe,55.90484461444286,53.291377364767904,53.33026806547616,50.87204871384882,49.97059224978972,52.546574479616176,51.566468596972676,49.94418217906905,52.71353208974021,53.5621893226245,59.276168437804735,55.198971182217896,55.27881535979532,50.96174863913722,51.54847390956809
3,gmoe,59.95976888595159,58.15971380545416,56.62688880159451,52.24955354332944,51.08995314010355,52.926327966316855,52.93528556266993,52.807756696267646,55.63402818457162,55.82042020251411,63.49199056912852,55.869080636209695,57.273739089432055,51.96687180840689,52.51755559095666
4,gmoe,62.86321364483657,60.09927971694285,59.17589444505897,53.41623428317953,54.58749112060799,54.03317339267253,55.99196756171572,54.01248513934583,56.977870465731556,57.88322001888198,64.5224936939757,56.199569228594314,59.291619136937655,53.713582343830105,53.08899125571371
5,gmoe,66.14761398819796,63.32112603846699,62.63801520926201,55.92547144896823,55.37600341166152,54.42969764262405,56.56399730466425,56.62611400335014,59.60178592519128,62.584432926109045,67.82276505418453,57.05030381640351,60.85593430029271,54.40060293763656,54.15145174879039
6,gmoe,68.18320687265668,65.96113489319025,64.67715864895116,56.65913706868838,56.85794742597259,54.93126796351154,57.95689379543602,58.45048635591071,60.83351092196138,64.979034756244,70.30437745547997,57.92019030721963,62.41545300860248,55.28539335334911,54.898284932240884
7,gmoe,71.42262042298799,69.09579247123983,67.25999504568718,57.74760207797946,57.90041276632775,55.33964028736614,59.22791061414624,60.53243021959406,62.77279973781297,67.34162220840167,71.37242678335357,58.52157951566877,64.11652095909646,56.25236572541574,55.7343612141682
8,gmoe,75.30986363108562,72.02075760849479,72.48521178936036,58.85140127092694,59.03522590509542,56.18117802521194,60.091113493759806,62.29605652909295,64.96595049455561,69.38979115583291,74.90042043603232,59.15788207282403,65.86587088253775,56.94149193171056,56.48818957955761
9,gmoe,77.53861664887354,73.69256698794297,75.95791057374485,60.53307533899531,59.99659903827902,56.56712833789011,61.116142248022754,63.753371418508166,66.57855759400499,72.54427050020828,77.57243133788144,59.851957757439905,67.1202688359027,57.730560087331035,57.23212029355108
10,gmoe,80.85656906757183,75.90240664104724,77.73284160060811,61.784876808665345,61.888327601586084,58.59038487069013,62.87186504398252,65.29184999143177,68.43575817692884,74.88143993640574,80.61910049800962,60.31055864489862,68.82412890268496,59.08557746356239,58.11649845760703
11,gmoe,82.43511742921268,77.72472981677585,80.14338288220138,64.10448897022606,62.54345913162016,59.6706461401554,64.38419768747416,66.42713261187946,70.32016891236364,76.58595651909884,82.19865552026626,62.39653246132393,70.75509716059774,60.30883121690567,58.95621990370754
12,gmoe,85.4769067538292,80.58756350885994,82.39974719526033,65.50413615631307,63.70465952720521,60.1779596396643,64.75360854238193,68.85363485967943,72.47888079068719,78.3585410469548,84.49448105796321,63.21290067437817,72.19226116928144,60.789594610951006,59.89361521921209
13,gmoe,87.4356087959127,84.39191609378379,84.25037362206925,66.33513864174623,64.63420477366351,60.87781939138051,65.14274520933131,71.64158569410525,73.62433969443084,80.74842304594308,85.95076989366561,63.820773113742916,73.66798880337237,61.19236389665416,61.099970765668935
14,gmoe,91.25463298042266,86.45721687591883,86.40128954485412,68.76958815796539,65.11404704705612,61.65886252483331,65.5256094327075,74.18365109410176,76.71326940560213,83.19632560678924,87.11406844679064,64.40504808688821,75.35119685844157,62.079292272565645,62.222285938225994
15,gmoe,93.2034554716187,88.20633295963049,88.40388888067926,69.56394612558498,65.4664870677988,62.25042720997224,65.96131534439121,76.02379111577844,78.63719842834016,84.49408196482837,88.9162409277931,65.82530147356105,77.01312677923497,62.782375346128546,62.92709198365078
16,gmoe,95.13729124403503,89.69096125061867,90.01301244071598,71.45033202905834,67.13284604432201,62.89771830725103,66.73632604035777,77.82223005098935,80.32678189182838,85.89447456080138,89.67490578031021,66.401898193701,78.4553665525427,63.35730583978231,63.72655102847434
