operation,unit,accepted,rejected,minted,weighted_score,private_gain,protected_loss,harmful_family
exploit_labor,DEBT,0,360,0.0,-5981.22879119791,2232.2966628430177,5281.392644301924,1
infrastructure_maintenance,REPAIR,167,358,205.55541587472786,375.4648218247969,769.2245203379165,0.0,0
norm_reform,NORM,130,214,294.8958188787691,480.5107322493217,311.7650124874665,0.0,0
fair_exchange,OMK,111,256,109.90460566396038,264.12727197572457,383.9368063788324,0.0,0
tyrant_hierarchy_inversion,DEBT,0,168,0.0,-3027.6806018034617,814.7058584918711,2098.969462768202,1
restore_agency,OMK,85,169,345.12765016062957,522.1015494871167,291.8894832517725,0.0,0
repair_harm,REPAIR,195,372,668.5326562181624,965.351732754103,729.0342458741507,0.0,0
metric_hack,DEBT,0,243,0.0,-2096.7070999962857,912.2260864408915,1980.536839661008,1
education,TRUTH,146,293,351.21233288701006,545.0537263030637,542.1863688752984,0.0,0
voluntary_behavior_contract,BEHAV,87,244,220.9531019890702,386.2356547284407,340.01912488190504,0.0,0
produce_goods,STOCK,103,589,136.74757909776267,320.1325410153312,2074.355119358613,0.0,0
fake_truth_certificate,DEBT,0,236,0.0,-2189.401800395676,1183.105887654592,1995.7843498281125,1
causal_intervention,CAUSE,123,281,229.31452344953735,400.69337281661024,715.494300248161,0.0,0
coercive_behavior_purchase,DEBT,0,206,0.0,-4058.785780010328,952.2933968225014,3743.2041637052175,1
truth_audit,TRUTH,161,312,311.0234404079138,517.6006009230946,476.94826771205,0.0,0
hierarchy_inversion_repair,HIER,44,83,146.53702435691952,222.80612553724043,160.68838481816863,0.0,0
self_created_need,DEBT,0,144,0.0,-1814.827262815792,411.19419234394405,1413.2269244928493,1
insurance_underwrite,INS,78,147,89.49847090806294,155.34211470162896,217.33303249213964,0.0,0
sabotage_competitor,DEBT,0,181,0.0,-2539.912619828176,810.7107845870662,1968.3519468120517,1
interregional_bridge,BRIDGE,119,251,38.15215283230959,99.51329574125114,185.0,0.0,0
external_shock,RISK,4,0,0.0,-33.30980590219981,0.0,22.34629104484965,0
