id,issuer,region,created_step,due_step,stake,predicted_true,fraud,actual_true,resolved,payout
TC_4_A021_1,A021,R03,4,10,3.0146117319770256,True,False,True,True,2.222515274079164
TC_5_A037_2,A037,R03,5,10,3.9830212084139798,True,False,True,True,2.6538103927368666
TC_6_A002_3,A002,R02,6,9,3.471713168899817,True,False,True,True,2.4040709469515438
TC_8_A029_4,A029,R00,8,11,1.4956871564435978,True,False,True,True,2.6256216699162773
TC_9_A004_5,A004,R03,9,12,2.1497196354691184,True,False,True,True,2.7028850285578527
TC_11_A029_6,A029,R00,11,16,2.2655740040728363,True,False,False,True,-2.2655740040728363
TC_14_A059_7,A059,R03,14,20,2.453524229978197,True,False,True,True,2.2156467281921586
TC_14_A023_8,A023,R00,14,17,2.416835746030981,True,False,True,True,2.372171623775177
TC_15_A035_9,A035,R03,15,19,4.2370502576606786,True,False,True,True,2.6081407416729103
TC_15_A003_10,A003,R02,15,19,2.712341155838507,True,False,True,True,2.539928305812145
TC_16_A007_11,A007,R03,16,20,3.0184009760454464,True,False,True,True,2.7282105993544037
TC_21_A045_12,A045,R04,21,24,1.7990119017574053,True,False,True,True,2.2421249919212074
TC_22_A006_13,A006,R00,22,27,2.5501372968273675,True,False,True,True,2.7232108155420383
TC_23_A022_14,A022,R04,23,26,1.1498526930659692,True,False,False,True,-1.1498526930659692
TC_24_A034_15,A034,R04,24,29,1.7475875644799665,True,False,True,True,2.54538428700617
TC_25_A003_16,A003,R02,25,33,3.046586497510388,True,False,True,True,2.539928305812145
TC_26_A008_17,A008,R02,26,29,3.5292451228450585,True,False,True,True,2.803941770732422
TC_27_A039_18,A039,R00,27,35,3.357980662252627,True,False,True,True,2.227995861003905
TC_28_A010_19,A010,R04,28,35,3.8748288975278644,True,False,True,True,2.4977022542616787
TC_28_A009_20,A009,R02,28,35,1.5493919547080253,True,False,False,True,-1.5493919547080253
TC_28_A025_21,A025,R04,28,31,3.948749822149169,True,False,True,True,2.4217943204566006
TC_29_A007_22,A007,R03,29,35,1.245371654885693,True,False,True,True,2.7282105993544037
TC_30_A012_23,A012,R00,30,38,1.0479225673523083,True,False,True,True,2.713909024877151
TC_31_A030_24,A030,R04,31,35,2.2563898331135874,True,False,True,True,2.5890306114688566
TC_33_A018_25,A018,R04,33,40,3.3754935909954353,True,False,True,True,2.819230467409774
TC_34_A043_26,A043,R01,34,42,3.356523027465498,True,False,False,True,-3.356523027465498
TC_34_A007_27,A007,R03,34,37,4.227522793276178,True,False,False,True,-4.227522793276178
TC_34_A032_28,A032,R04,34,42,2.2751308086251107,True,False,True,True,2.429032461748102
TC_35_A003_29,A003,R02,35,38,4.110933977764759,True,False,True,True,2.539928305812145
TC_36_A011_30,A011,R02,36,43,4.026070047857498,True,False,True,True,2.41186295614936
TC_40_A007_31,A007,R03,40,44,2.3074305538190325,True,False,True,True,2.7282105993544037
TC_43_A048_32,A048,R04,43,51,0.0053719260231352385,True,False,False,True,-0.0
TC_47_A034_33,A034,R04,47,54,4.426183675720306,True,False,False,True,-4.426183675720306
TC_48_A027_34,A027,R00,48,56,3.0113573235717306,True,False,True,True,2.416497990164854
TC_48_A012_35,A012,R00,48,54,2.350096704920321,True,False,True,True,2.713909024877151
TC_53_A036_36,A036,R04,53,58,4.157545340713911,True,False,True,True,2.401123172868827
TC_54_A013_37,A013,R00,54,61,2.4215570558381225,True,False,True,True,2.5469629767826407
TC_55_A014_38,A014,R03,55,60,1.0398102495229335,True,False,True,True,2.5409846116974144
TC_55_A041_39,A041,R00,55,58,2.8321091108389402,True,False,True,True,2.595878738152343
TC_58_A042_40,A042,R04,58,66,1.3578728258736987,True,False,True,True,2.4118151719028202
TC_61_A015_41,A015,R00,61,68,1.8113574096817637,True,False,True,True,2.584967377753082
TC_62_A043_42,A043,R01,62,68,4.4078972089010815,True,False,True,True,2.410056122448776
TC_78_A053_43,A053,R01,78,84,0.020447843276607196,True,False,True,True,2.2329411183143772
TC_80_A043_44,A043,R01,80,87,3.080356795954311,True,False,True,True,2.410056122448776
TC_119_A000_45,A000,R01,119,123,3.004363465684649,True,False,True,True,2.4918255282154664
TC_125_A043_46,A043,R01,125,129,3.7055796094271183,True,False,True,True,2.410056122448776
TC_139_A000_47,A000,R01,139,143,1.0709876928676463,True,False,True,True,2.4918255282154664
TC_149_A043_48,A043,R01,149,154,2.8631518017284145,True,False,False,True,-2.8631518017284145
TC_165_A000_49,A000,R01,165,172,1.4769182614877174,True,False,False,True,-1.4769182614877174
TC_169_A044_50,A044,R01,169,172,3.083608373209807,True,False,True,True,2.354716266545382
