automation_level,capital_stock,current_labor_type,debt_value,education,expense_zw,happiness,health,id,income_zw,kind,last_output,last_profit,name,net_worth,output_good,positive_liquidity,price,primary_labor,sector,unemployed_periods
,,teaching,0.0,0.7198388328641294,2.173701527158203,0.7207982590491357,0.8143810532207364,H00001,2.007648008499078,household,,,Haushalt H00001,125.77564445214635,,2.570941826359849,,research,,0
,,management,0.0,1.0,4.031847342756885,0.9158292366297462,0.8435828675842163,H00002,4.559633502302158,household,,,Haushalt H00002,145.34280965539324,,5.36055912227362,,hospitality,,0
,,,0.0,0.7848681927550535,0.8747759566468871,0.5293362241007471,0.7000203641344116,H00003,0.376,household,,,Haushalt H00003,103.9685880798073,,2.060843793243648,,maintenance,,2
,,public_service,0.0,0.44423679870535077,1.8638293864945934,0.7031000073931057,0.706121531073814,H00004,2.160771343875217,household,,,Haushalt H00004,97.50305491034744,,1.3113576598385126,,public_service,,0
,,,0.0,1.0,1.0999001637674253,0.416336559745588,0.7270332365779841,H00005,0.37124999999999997,household,,,Haushalt H00005,104.03409288047077,,2.0661868762875977,,mining,,1
,,teaching,0.0,0.7726767138355544,1.408130447939588,0.0019326722230668678,0.6773987221678062,H00006,1.9789981361568838,household,,,Haushalt H00006,80.53052789547873,,2.414871635284944,,hospitality,,0
,,,0.0,0.8496920983090563,1.4310520495370944,0.34016081215969446,0.6999621761673328,H00007,0.37124999999999997,household,,,Haushalt H00007,120.23223232066411,,5.4918998944783555,,research,,1
,,care,0.0,0.8217324370511095,2.3782091886042735,0.7498619165814205,0.7568859015503295,H00008,1.8311157937309799,household,,,Haushalt H00008,101.27412162794211,,2.4579686179304945,,agriculture,,0
,,care,0.0,1.0,2.216025322863921,0.7335108635443526,0.8083534551135778,H00009,1.91195726719025,household,,,Haushalt H00009,134.76354188948633,,3.6231453956199626,,engineering,,0
,,care,0.0,0.5669387438441071,1.8447229618448049,0.6304136808631797,0.697919489179334,H00010,1.9005390389560535,household,,,Haushalt H00010,96.91907471523868,,1.5642651668522116,,care,,0
,,public_service,0.0,0.6203460394700246,2.1921293260224144,0.6457717269100995,0.7156255292942073,H00011,2.1421771994680974,household,,,Haushalt H00011,102.10041708623991,,2.0422263118116994,,public_service,,0
,,creative,0.0,0.9719960807107076,3.2815021115167076,0.9935430211956094,0.8586196551263329,H00012,3.414918632261103,household,,,Haushalt H00012,138.88107279212196,,3.836470619821572,,health,,0
