avg_wage_last_period,base_wage,description,employed_last_period,label,labor_type
1.9764954034911213,1.15,"Tragen, Reinigen, einfache Dienste, Hilfstätigkeiten",3,Einfache körperliche Arbeit,manual_basic
2.419607556933504,1.35,"Nahrung, Boden, Pflanzen, Tiere, Ernte",2,Landwirtschaft,agriculture
3.118883759174569,1.7,"Bergbau, Rohstoffgewinnung, Gewinnung harter Grundlagen",1,Rohstoffarbeit,mining
3.9939135902485217,2.15,"Kraftwerke, Netze, Energieanlagen, Versorgung",1,Energiearbeit,energy
3.781065648724032,2.05,"Fabrikation, Maschinenbedienung, Serienarbeit",3,Industriearbeit,industrial
3.617943524250764,1.95,"Reparatur, Bauhandwerk, lokale Fertigung",1,Handwerk,craft
4.182517494329618,2.25,"Gebäude, Infrastruktur, physische Konstruktion",2,Bauarbeit,construction
3.146769896050711,1.75,"Transport, Lager, Verteilung, Routen",2,Logistik,logistics
2.468373866750661,1.4,"Verkauf, Kundenkontakt, Verteilung am Markt",5,Handel,retail
2.3650741154859265,1.35,"Gastronomie, Unterkunft, Alltagserholung",3,Gastgewerbe,hospitality
1.8823735982655962,1.85,"Pflege, Betreuung, Hilfe im Alltag",3,Pflege,care
2.6336537319783377,2.75,"Medizinische Versorgung, Diagnostik, Therapie",6,Gesundheit,health
2.2129303549083397,2.1,"Lehre, Ausbildung, Didaktik, Wissensvermittlung",4,Bildung,teaching
4.650385684003968,3.1,"Neue Fragen, Theorien, Werkzeuge, Generierungsprinzipien",4,Forschung,research
3.643550154389019,2.9,"Programmierung, Automatisierung, KI-Dienste",9,Software/KI/Automatisierung,software
5.480229529361025,3.0,"Technische Konstruktion, Anlagen, Design",3,Ingenieurwesen,engineering
3.240007233254243,1.95,"Instandhaltung, Reparatur, Betriebssicherung",5,Wartung,maintenance
3.2752036500496455,2.45,"Banken, Risiko, Kredit, Zahlungsströme",3,Finanzwesen,finance
3.1730582538057712,2.35,"Verträge, Regeln, Haftung, Konfliktklärung",5,Recht/Verträge,legal
3.1257190251081446,1.85,"Kunst, Medien, Design, Kultur",7,Kreative Arbeit,creative
2.018740108148525,2.05,"Verwaltung, Infrastruktur, öffentliche Ordnung",5,Öffentlicher Dienst,public_service
2.355794894046537,1.95,"Schutz, Resilienz, Gefahrenabwehr",3,Sicherheit,security
3.848318932728056,2.15,"Ressourcenpflege, Ökologie, Klimaanpassung",1,Umweltarbeit,environmental
4.52088423346357,3.0,"Koordination, Planung, Verantwortung, Meisterung",11,Management/Organisation,management
