avg_wage_last_period,base_wage,description,employed_last_period,label,labor_type
2.001287013243485,1.15,"Tragen, Reinigen, einfache Dienste, Hilfstätigkeiten",4,Einfache körperliche Arbeit,manual_basic
2.309960802462543,1.35,"Nahrung, Boden, Pflanzen, Tiere, Ernte",4,Landwirtschaft,agriculture
2.836732112749343,1.7,"Bergbau, Rohstoffgewinnung, Gewinnung harter Grundlagen",1,Rohstoffarbeit,mining
3.625023536499158,2.15,"Kraftwerke, Netze, Energieanlagen, Versorgung",2,Energiearbeit,energy
3.435878365289291,2.05,"Fabrikation, Maschinenbedienung, Serienarbeit",7,Industriearbeit,industrial
0.0,1.95,"Reparatur, Bauhandwerk, lokale Fertigung",0,Handwerk,craft
3.8244632567912276,2.25,"Gebäude, Infrastruktur, physische Konstruktion",3,Bauarbeit,construction
3.0179744445711747,1.75,"Transport, Lager, Verteilung, Routen",6,Logistik,logistics
2.3601223742481925,1.4,"Verkauf, Kundenkontakt, Verteilung am Markt",1,Handel,retail
2.2604803626651235,1.35,"Gastronomie, Unterkunft, Alltagserholung",1,Gastgewerbe,hospitality
2.112030356010122,1.85,"Pflege, Betreuung, Hilfe im Alltag",1,Pflege,care
3.1518327239437784,2.75,"Medizinische Versorgung, Diagnostik, Therapie",5,Gesundheit,health
1.801762894629355,2.1,"Lehre, Ausbildung, Didaktik, Wissensvermittlung",3,Bildung,teaching
5.047483037325166,3.1,"Neue Fragen, Theorien, Werkzeuge, Generierungsprinzipien",3,Forschung,research
3.9078607246519645,2.9,"Programmierung, Automatisierung, KI-Dienste",3,Software/KI/Automatisierung,software
5.104463874184155,3.0,"Technische Konstruktion, Anlagen, Design",6,Ingenieurwesen,engineering
3.2293303325709624,1.95,"Instandhaltung, Reparatur, Betriebssicherung",10,Wartung,maintenance
2.6776000393198736,2.45,"Banken, Risiko, Kredit, Zahlungsströme",3,Finanzwesen,finance
2.8340105393657438,2.35,"Verträge, Regeln, Haftung, Konfliktklärung",6,Recht/Verträge,legal
2.9931699099699616,1.85,"Kunst, Medien, Design, Kultur",10,Kreative Arbeit,creative
2.274011437250462,2.05,"Verwaltung, Infrastruktur, öffentliche Ordnung",6,Öffentlicher Dienst,public_service
0.0,1.95,"Schutz, Resilienz, Gefahrenabwehr",0,Sicherheit,security
0.0,2.15,"Ressourcenpflege, Ökologie, Klimaanpassung",0,Umweltarbeit,environmental
4.187172177464349,3.0,"Koordination, Planung, Verantwortung, Meisterung",5,Management/Organisation,management
