avg_wage_last_period,base_wage,description,employed_last_period,label,labor_type
1.6830875332101733,1.15,"Tragen, Reinigen, einfache Dienste, Hilfstätigkeiten",7,Einfache körperliche Arbeit,manual_basic
2.250113911601436,1.35,"Nahrung, Boden, Pflanzen, Tiere, Ernte",7,Landwirtschaft,agriculture
3.100421484745097,1.7,"Bergbau, Rohstoffgewinnung, Gewinnung harter Grundlagen",3,Rohstoffarbeit,mining
3.980200082687033,2.15,"Kraftwerke, Netze, Energieanlagen, Versorgung",1,Energiearbeit,energy
3.7665499878272963,2.05,"Fabrikation, Maschinenbedienung, Serienarbeit",3,Industriearbeit,industrial
1.8673892731815054,1.95,"Reparatur, Bauhandwerk, lokale Fertigung",1,Handwerk,craft
2.979501153265038,2.25,"Gebäude, Infrastruktur, physische Konstruktion",5,Bauarbeit,construction
2.350685991663258,1.75,"Transport, Lager, Verteilung, Routen",7,Logistik,logistics
2.4644593437682754,1.4,"Verkauf, Kundenkontakt, Verteilung am Markt",3,Handel,retail
0.0,1.35,"Gastronomie, Unterkunft, Alltagserholung",0,Gastgewerbe,hospitality
1.9154151746096915,1.85,"Pflege, Betreuung, Hilfe im Alltag",2,Pflege,care
2.761280914572989,2.75,"Medizinische Versorgung, Diagnostik, Therapie",3,Gesundheit,health
1.9946467303254627,2.1,"Lehre, Ausbildung, Didaktik, Wissensvermittlung",6,Bildung,teaching
4.353438713985187,3.1,"Neue Fragen, Theorien, Werkzeuge, Generierungsprinzipien",6,Forschung,research
3.47311957030659,2.9,"Programmierung, Automatisierung, KI-Dienste",10,Software/KI/Automatisierung,software
4.709568341045019,3.0,"Technische Konstruktion, Anlagen, Design",10,Ingenieurwesen,engineering
3.1278171508104657,1.95,"Instandhaltung, Reparatur, Betriebssicherung",8,Wartung,maintenance
3.285507626175601,2.45,"Banken, Risiko, Kredit, Zahlungsströme",2,Finanzwesen,finance
2.6305778876110457,2.35,"Verträge, Regeln, Haftung, Konfliktklärung",5,Recht/Verträge,legal
2.811611027344996,1.85,"Kunst, Medien, Design, Kultur",6,Kreative Arbeit,creative
2.0581233817513023,2.05,"Verwaltung, Infrastruktur, öffentliche Ordnung",5,Öffentlicher Dienst,public_service
1.8563061383788946,1.95,"Schutz, Resilienz, Gefahrenabwehr",5,Sicherheit,security
0.0,2.15,"Ressourcenpflege, Ökologie, Klimaanpassung",0,Umweltarbeit,environmental
4.132125800234269,3.0,"Koordination, Planung, Verantwortung, Meisterung",12,Management/Organisation,management
