automation_level,capital_stock,current_labor_type,debt_value,education,expense_zw,happiness,health,id,income_zw,kind,last_output,last_profit,name,net_worth,output_good,positive_liquidity,price,primary_labor,sector,unemployed_periods
,,manual_basic,0.0,0.6021726310925134,1.3556016867426244,0.2807086440592887,0.630886682514113,H00001,1.2359638922235132,household,,,Haushalt H00001,89.47390481245066,,1.2942321820003053,,finance,,0
,,industrial,0.0,0.6971277690137486,3.3154713834136262,0.5753945260709497,0.7613940440646602,H00002,3.949054400718122,household,,,Haushalt H00002,114.14549048005891,,2.4699766366945743,,energy,,0
,,construction,0.0,0.941355928451616,3.6148436301875067,0.9966302360532908,0.9375758452243357,H00003,2.4272078117297755,household,,,Haushalt H00003,151.5364117217893,,2.2698587720406227,,construction,,0
,,creative,0.0,0.7452486849040525,2.9098743922917163,0.9768154377423057,0.8286642410076775,H00004,3.402108328297742,household,,,Haushalt H00004,125.97326413886283,,2.5844614575147173,,construction,,0
,,health,0.0,0.8114563972740522,3.523547952324041,0.8228652680817803,0.7802716560330859,H00005,5.1069938297889585,household,,,Haushalt H00005,116.66371465967887,,2.7906794026186206,,manual_basic,,0
,,logistics,0.0,0.6101505332335398,1.9528455333793941,0.5128302126221331,0.7525432660085446,H00006,1.7346587065111985,household,,,Haushalt H00006,104.45748285466442,,2.1270056168658296,,health,,0
,,manual_basic,0.0,0.9082735052497719,2.1248556010893815,0.5849005678500538,0.7565437803400182,H00007,1.2497023741589826,household,,,Haushalt H00007,115.04256980671755,,3.342372546221357,,construction,,0
,,mining,0.0,0.6124720688758811,2.985934343676846,0.7564477974826388,0.7993148413502196,H00008,3.3260451127906383,household,,,Haushalt H00008,107.9944846977491,,2.3915404251421646,,mining,,0
,,manual_basic,0.0,0.5260544184015076,1.8482350769893983,0.6950550866921524,0.7729024014066969,H00009,1.2392772723266716,household,,,Haushalt H00009,127.06139519615681,,1.4981943795610568,,research,,0
,,,0.0,0.6813402257693034,1.646754861735333,0.7416893396212157,0.7887348975763429,H00010,0.37124999999999997,household,,,Haushalt H00010,118.06979666664719,,4.734762105481897,,public_service,,1
