avg_wage_last_period,base_wage,description,employed_last_period,label,labor_type
1.8964181593919858,1.15,"Tragen, Reinigen, einfache Dienste, Hilfstätigkeiten",4,Einfache körperliche Arbeit,manual_basic
2.3432477709411748,1.35,"Nahrung, Boden, Pflanzen, Tiere, Ernte",6,Landwirtschaft,agriculture
3.0224609675222553,1.7,"Bergbau, Rohstoffgewinnung, Gewinnung harter Grundlagen",3,Rohstoffarbeit,mining
3.873865179659123,2.15,"Kraftwerke, Netze, Energieanlagen, Versorgung",1,Energiearbeit,energy
3.6601761903882783,2.05,"Fabrikation, Maschinenbedienung, Serienarbeit",4,Industriearbeit,industrial
3.022130540261526,1.95,"Reparatur, Bauhandwerk, lokale Fertigung",2,Handwerk,craft
2.9612947172603743,2.25,"Gebäude, Infrastruktur, physische Konstruktion",4,Bauarbeit,construction
2.717223909369419,1.75,"Transport, Lager, Verteilung, Routen",4,Logistik,logistics
2.4287183434452375,1.4,"Verkauf, Kundenkontakt, Verteilung am Markt",2,Handel,retail
2.3183347127996816,1.35,"Gastronomie, Unterkunft, Alltagserholung",2,Gastgewerbe,hospitality
0.0,1.85,"Pflege, Betreuung, Hilfe im Alltag",0,Pflege,care
4.811333052055985,2.75,"Medizinische Versorgung, Diagnostik, Therapie",3,Gesundheit,health
1.9451009259577237,2.1,"Lehre, Ausbildung, Didaktik, Wissensvermittlung",7,Bildung,teaching
5.278792428159703,3.1,"Neue Fragen, Theorien, Werkzeuge, Generierungsprinzipien",4,Forschung,research
4.006569929354173,2.9,"Programmierung, Automatisierung, KI-Dienste",5,Software/KI/Automatisierung,software
5.132605286686365,3.0,"Technische Konstruktion, Anlagen, Design",4,Ingenieurwesen,engineering
3.4649674783215745,1.95,"Instandhaltung, Reparatur, Betriebssicherung",3,Wartung,maintenance
2.18741783499617,2.45,"Banken, Risiko, Kredit, Zahlungsströme",2,Finanzwesen,finance
2.085587334390929,2.35,"Verträge, Regeln, Haftung, Konfliktklärung",1,Recht/Verträge,legal
2.602061660512158,1.85,"Kunst, Medien, Design, Kultur",5,Kreative Arbeit,creative
2.7588133619056046,2.05,"Verwaltung, Infrastruktur, öffentliche Ordnung",2,Öffentlicher Dienst,public_service
2.802065120175538,1.95,"Schutz, Resilienz, Gefahrenabwehr",2,Sicherheit,security
3.6418192921027672,2.15,"Ressourcenpflege, Ökologie, Klimaanpassung",1,Umweltarbeit,environmental
4.443306839155167,3.0,"Koordination, Planung, Verantwortung, Meisterung",11,Management/Organisation,management
