coin_value_zw,debt_qty,debt_value_zw,debtors,holders,label,layer,market_price,meaning,name,positive_qty,positive_value_zw,q,shortage_index
1.0,4157.926036605483,4157.926036605483,1,319,Q1,Grundmünze,1.1914703712698642,"Aufgabe, Schwierigkeit, Knoten, Problemkern",Schwierigkeit,8250.99159238672,8250.99159238672,1,0.5038693980785902
1.0,0.0,0.0,0,73,Q2,Grundmünze,1.0,"Teil, Kompliziertheit, Molekülelement, Teilstruktur",Komplexität,1524.596030887869,1524.596030887869,2,0.0
1.0,0.0,0.0,0,74,Q3,Grundmünze,1.0,"Theorie, Modell, lockerer/fester Zwischenzustand",Abstraktion,1158.443035286583,1158.443035286583,3,0.0
1.0,0.0,0.0,0,62,Q4,Grundmünze,1.0,"formales Objekt, Faden, mathematische Gestalt",Kristallisation,198.2142802890081,198.2142802890081,4,0.0
2.0,0.0,0.0,0,74,Q5,Operationsmünze,2.0,"Enkodieren, Befehl, Kommando, imperatives Programmieren",Kodierung,1392.8525597314047,2785.7051194628093,5,0.0
2.0,0.0,0.0,0,52,Q6,Operationsmünze,2.0,"declarative Beschreibung, Regel, Faden statt Befehl",Deklaration,145.41723052825103,290.83446105650205,6,0.0
2.0,0.0,0.0,0,53,Q7,Operationsmünze,2.0,"Delegieren, Referenzieren, Verantwortungsübertragung",Delegation,184.34468232108065,368.6893646421613,7,0.0
2.0,0.0,0.0,0,42,Q8,Operationsmünze,2.0,"wiederverwendbarer Stein, Wabe, Bausteinsammlung",Bibliothek,225.23520331189135,450.4704066237827,8,0.0
2.0,0.0,0.0,0,43,Q9,Operationsmünze,2.0,"Rahmen, Organisches, allgemeine Intelligenzstruktur",Framework,134.70041337515988,269.40082675031977,9,0.0
3.0,856.781141019719,2570.343423059157,4,73,Q10,Systemmünze,3.6958821281026264,"Beschränkung, Struktur, Strick, Möglichkeitsraum",Constraint,1403.2527932792395,4209.758379837718,10,0.6104229193882689
3.0,818.7694477044471,2456.3083431133414,4,52,Q11,Systemmünze,3.6866856400951105,"Eingriff, Interface, Gedankeneinsatz",Schnittstelle,1358.9453757041642,4076.8361271124927,11,0.602355824644834
3.0,6.770465088343901,20.311395265031702,2,32,Q12,Systemmünze,3.0253354619849078,"Werkzeugkoffer, Mathematik, Methoden",Toolbox,304.311997598851,912.935992796553,12,0.02222408946044554
3.0,0.0,0.0,0,27,Q13,Systemmünze,3.0,"Programm, Service, Paradigma, Dienst, Gedankenansatz",Programm/Dienst,585.6289135570843,1756.886740671253,13,0.0
3.0,0.0,0.0,0,29,Q14,Systemmünze,3.0,"Komposition, Choreographie, Dirigieren, Meisterung",Orchestrierung,121.46390238260625,364.39170714781875,14,0.0
3.0,0.0,0.0,0,29,Q15,Systemmünze,3.0,"Applikation, Werk, Opus",Anwendung,52.083482403999255,156.25044721199777,15,0.0
3.0,0.0,0.0,0,28,Q16,Systemmünze,3.0,"Menü, Kernel, Betriebssystem, Ausführung",Betrieb,610.3967108604857,1831.190132581457,16,0.0
4.0,1.1165818206706244,4.466327282682498,2,22,Q17,Kapitalmünze,4.022422864810054,Kompression; 1/Q17 = Dekompression,Kompression,75.44079070834479,301.76316283337917,17,0.014751884743456947
4.0,0.14186560908868875,0.567462436354755,2,15,Q18,Kapitalmünze,4.002109033437872,"Architektur, Konstruktion",Architektur,101.99386296708109,407.97545186832434,18,0.0013875219986001944
4.0,0.20463876022717647,0.8185550409087059,2,7,Q19,Kapitalmünze,4.0092348734856476,Generierung; 1/Q19 = Degenerierung,Generierung,33.43220647838051,133.72882591352203,19,0.006075574661610347
4.0,0.0,0.0,0,9,Q20,Kapitalmünze,4.0,"Modul, Maschine, Gerät, fertige Entwicklung",Modul/Maschine,76.3761114909124,305.5044459636496,20,0.0
