automation_level,capital_stock,current_labor_type,debt_value,education,expense_zw,happiness,health,id,income_zw,kind,last_output,last_profit,name,net_worth,output_good,positive_liquidity,price,primary_labor,sector,unemployed_periods
,,maintenance,0.0,0.7884572197886343,2.9995547329380328,0.8264038195985302,0.932063378266212,H00001,3.642390911049158,household,,,Haushalt H00001,129.0062099207294,,2.0986869399455172,,energy,,0
,,care,0.0,0.6747577598976334,1.8733726675434204,0.18796345770266484,0.7576980251813163,H00002,1.9439178229884202,household,,,Haushalt H00002,95.18315002251329,,2.7713976103147435,,craft,,0
,,manual_basic,0.0,0.8702073950648979,1.7545472124557904,0.5833526016763195,0.8276482947293294,H00003,1.3449474041726424,household,,,Haushalt H00003,120.42491253906178,,3.443939726450147,,energy,,0
,,care,0.0,0.6452986686834092,1.9465002833279477,0.5869431847990729,0.8014394968348759,H00004,2.0119224525878012,household,,,Haushalt H00004,116.36357805791317,,2.5495818660259504,,care,,0
,,software,0.0,0.7612101148195267,2.6668214716062524,0.9649773418870295,0.9739466027463303,H00005,2.5992741667260524,household,,,Haushalt H00005,138.97997909102517,,4.758723394013108,,retail,,0
,,,0.0,0.6338544243947184,1.0184568677033667,0.5128100600935155,0.8100417498335062,H00006,0.4007578460718315,household,,,Haushalt H00006,104.34303289819618,,1.6515168273287613,,energy,,1
,,software,0.0,1.0,3.8122036568180424,0.9839425143144255,0.9885750989975371,H00007,4.70450615592373,household,,,Haushalt H00007,154.4629664759753,,7.654042509664848,,software,,0
,,,0.0,0.6803445001978413,1.362879616704594,0.8065420754986882,0.908950701088759,H00008,0.4007578460718315,household,,,Haushalt H00008,113.99435630723048,,5.107333942949777,,public_service,,1
,,public_service,0.0,0.7618792522367467,2.1279871739885703,0.4666962585094495,0.867896826591535,H00009,2.128384300705262,household,,,Haushalt H00009,115.60119347154344,,1.3190546608532085,,public_service,,0
,,public_service,0.0,0.786070431025552,2.8637875303723903,0.8593560144900146,0.8840492466670051,H00010,3.790268522346001,household,,,Haushalt H00010,111.8631995915302,,3.905919088384356,,retail,,0
,,software,0.0,0.8379213471224084,4.245985919338337,0.925415933210028,1.0,H00011,4.829040801167514,household,,,Haushalt H00011,147.25146911839107,,2.9811118550637867,,software,,0
,,agriculture,0.0,0.8301293078280908,2.203854472947682,0.6252361966754084,0.8358944605133377,H00012,2.615927451500209,household,,,Haushalt H00012,104.8818166768168,,1.9846427635600499,,finance,,0
,,engineering,0.0,0.6846333379925048,2.3414317117662673,0.658713813423767,0.9386796583008851,H00013,2.949991469733379,household,,,Haushalt H00013,143.13253061821328,,2.183959483224866,,engineering,,0
,,logistics,0.0,1.0,3.6070250995734705,0.9880641936271909,0.9935893692332024,H00014,3.3387230563850645,household,,,Haushalt H00014,166.10181654096274,,3.6710489759689278,,logistics,,0
,,,0.0,0.8146893573643782,1.3786921879825942,0.9777188895433319,1.0,H00015,0.4007578460718315,household,,,Haushalt H00015,165.7026013483256,,1.476837128312024,,legal,,1
,,logistics,0.0,0.7358659430912993,2.309719508722433,0.7250386428474707,0.8609284862320923,H00016,1.7412752161972083,household,,,Haushalt H00016,120.69720662881582,,1.3896943723184425,,finance,,0
,,teaching,0.0,0.8712232419281968,2.0817015522704994,0.9491082370091607,0.929724778555948,H00017,2.041671150922376,household,,,Haushalt H00017,131.67266444134017,,1.583456160130771,,construction,,0
,,management,0.0,0.9440878443241574,5.057081735610237,1.0,1.0,H00018,5.568164258945134,household,,,Haushalt H00018,179.42321644626094,,6.931194334998383,,engineering,,0
,,teaching,0.0,0.7401493265587147,3.1822525368539716,0.6954826250443791,0.8724021941055012,H00019,3.4845148293790666,household,,,Haushalt H00019,115.96704674212789,,7.832227731123129,,teaching,,0
,,maintenance,0.0,0.8049826389088705,2.4032942058906643,0.9358499320195384,0.96426233062351,H00020,2.1174065485523093,household,,,Haushalt H00020,126.0139253533942,,1.1160487543750668,,maintenance,,0
,,,0.0,0.40663667042400065,0.6030234289394963,0.24145873354926511,0.6387565742090784,H00021,0.4007578460718315,household,,,Haushalt H00021,95.15353366045609,,0.5770628103349604,,hospitality,,1
,,,0.0,0.8184100295053349,0.9257100974465869,0.6554549408826957,0.9193390391646744,H00022,0.4110129290016158,household,,,Haushalt H00022,134.91237979172334,,2.5198647768118208,,craft,,3
,,manual_basic,0.0,0.6163121363754538,1.4752659287637981,0.94422595591828,0.8162111062329723,H00023,1.401825310678389,household,,,Haushalt H00023,105.28946358594607,,1.0455941832951057,,manual_basic,,0
,,maintenance,0.0,0.7243321519238078,3.3785809312007773,1.0,0.984944116579964,H00024,3.6306128973101925,household,,,Haushalt H00024,126.62032382569372,,7.856447751927953,,industrial,,0
