avg_wage_last_period,base_wage,description,employed_last_period,label,labor_type
1.669735514167392,1.15,"Tragen, Reinigen, einfache Dienste, Hilfstätigkeiten",9,Einfache körperliche Arbeit,manual_basic
2.2866928312790553,1.35,"Nahrung, Boden, Pflanzen, Tiere, Ernte",6,Landwirtschaft,agriculture
2.9253135276819004,1.7,"Bergbau, Rohstoffgewinnung, Gewinnung harter Grundlagen",1,Rohstoffarbeit,mining
3.740992962934302,2.15,"Kraftwerke, Netze, Energieanlagen, Versorgung",3,Energiearbeit,energy
3.5907644721499583,2.05,"Fabrikation, Maschinenbedienung, Serienarbeit",1,Industriearbeit,industrial
1.895954833428809,1.95,"Reparatur, Bauhandwerk, lokale Fertigung",4,Handwerk,craft
2.243645025043417,2.25,"Gebäude, Infrastruktur, physische Konstruktion",5,Bauarbeit,construction
2.773732035257191,1.75,"Transport, Lager, Verteilung, Routen",8,Logistik,logistics
2.1134624793199004,1.4,"Verkauf, Kundenkontakt, Verteilung am Markt",5,Handel,retail
2.223737546893481,1.35,"Gastronomie, Unterkunft, Alltagserholung",3,Gastgewerbe,hospitality
2.358965956611272,1.85,"Pflege, Betreuung, Hilfe im Alltag",1,Pflege,care
4.126280209946079,2.75,"Medizinische Versorgung, Diagnostik, Therapie",3,Gesundheit,health
2.7698768473317585,2.1,"Lehre, Ausbildung, Didaktik, Wissensvermittlung",4,Bildung,teaching
3.9681517076670767,3.1,"Neue Fragen, Theorien, Werkzeuge, Generierungsprinzipien",2,Forschung,research
4.149651526939544,2.9,"Programmierung, Automatisierung, KI-Dienste",8,Software/KI/Automatisierung,software
4.063525996257081,3.0,"Technische Konstruktion, Anlagen, Design",6,Ingenieurwesen,engineering
3.1057658334920326,1.95,"Instandhaltung, Reparatur, Betriebssicherung",7,Wartung,maintenance
4.115342980979914,2.45,"Banken, Risiko, Kredit, Zahlungsströme",1,Finanzwesen,finance
0.0,2.35,"Verträge, Regeln, Haftung, Konfliktklärung",0,Recht/Verträge,legal
3.016228173929081,1.85,"Kunst, Medien, Design, Kultur",5,Kreative Arbeit,creative
3.4531925615237236,2.05,"Verwaltung, Infrastruktur, öffentliche Ordnung",2,Öffentlicher Dienst,public_service
2.681397995975506,1.95,"Schutz, Resilienz, Gefahrenabwehr",2,Sicherheit,security
0.0,2.15,"Ressourcenpflege, Ökologie, Klimaanpassung",0,Umweltarbeit,environmental
4.680660498263282,3.0,"Koordination, Planung, Verantwortung, Meisterung",10,Management/Organisation,management
