coin_value_zw,debt_qty,debt_value_zw,debtors,holders,label,layer,market_price,meaning,name,positive_qty,positive_value_zw,q,shortage_index
1.0,3586.991464167274,3586.991464167274,1,315,Q1,Grundmünze,1.17924819143833,"Aufgabe, Schwierigkeit, Knoten, Problemkern",Schwierigkeit,7603.298517302034,7603.298517302034,1,0.4717057669429737
1.0,0.0,0.0,0,100,Q2,Grundmünze,1.0,"Teil, Kompliziertheit, Molekülelement, Teilstruktur",Komplexität,1524.1272325634716,1524.1272325634716,2,0.0
1.0,0.0,0.0,0,90,Q3,Grundmünze,1.0,"Theorie, Modell, lockerer/fester Zwischenzustand",Abstraktion,1211.6315645631182,1211.6315645631182,3,0.0
1.0,0.0,0.0,0,69,Q4,Grundmünze,1.0,"formales Objekt, Faden, mathematische Gestalt",Kristallisation,215.46357643219852,215.46357643219852,4,0.0
2.0,0.0,0.0,0,95,Q5,Operationsmünze,2.0,"Enkodieren, Befehl, Kommando, imperatives Programmieren",Kodierung,1488.9763535405966,2977.9527070811932,5,0.0
2.0,0.0,0.0,0,63,Q6,Operationsmünze,2.0,"declarative Beschreibung, Regel, Faden statt Befehl",Deklaration,177.67418041853122,355.34836083706244,6,0.0
2.0,0.0,0.0,0,75,Q7,Operationsmünze,2.0,"Delegieren, Referenzieren, Verantwortungsübertragung",Delegation,189.63372065205925,379.2674413041185,7,0.0
2.0,0.0,0.0,0,48,Q8,Operationsmünze,2.0,"wiederverwendbarer Stein, Wabe, Bausteinsammlung",Bibliothek,216.83166607147027,433.66333214294053,8,0.0
2.0,0.0,0.0,0,37,Q9,Operationsmünze,2.0,"Rahmen, Organisches, allgemeine Intelligenzstruktur",Framework,115.60034838814718,231.20069677629436,9,0.0
3.0,719.3202709928198,2157.960812978459,4,96,Q10,Systemmünze,3.5618010194036143,"Beschränkung, Struktur, Strick, Möglichkeitsraum",Constraint,1459.3028734544732,4377.90862036342,10,0.4928079117575565
3.0,403.04877059353146,1209.1463117805943,4,58,Q11,Systemmünze,3.461459565825171,"Eingriff, Interface, Gedankeneinsatz",Schnittstelle,995.3673358141414,2986.102007442424,11,0.40478909282909736
3.0,0.08119288256571065,0.24357864769713194,1,39,Q12,Systemmünze,3.000263404129556,"Werkzeugkoffer, Mathematik, Methoden",Toolbox,351.06543281700544,1053.1962984510164,12,0.00023105625399656054
3.0,0.0,0.0,0,38,Q13,Systemmünze,3.0,"Programm, Service, Paradigma, Dienst, Gedankenansatz",Programm/Dienst,545.5621378949545,1636.6864136848635,13,0.0
3.0,0.0,0.0,0,42,Q14,Systemmünze,3.0,"Komposition, Choreographie, Dirigieren, Meisterung",Orchestrierung,210.96666098227587,632.8999829468275,14,0.0
3.0,0.0,0.0,0,41,Q15,Systemmünze,3.0,"Applikation, Werk, Opus",Anwendung,74.94931417744063,224.8479425323219,15,0.0
3.0,0.0,0.0,0,48,Q16,Systemmünze,3.0,"Menü, Kernel, Betriebssystem, Ausführung",Betrieb,627.9641529195267,1883.89245875858,16,0.0
4.0,0.0,0.0,0,23,Q17,Kapitalmünze,4.0,Kompression; 1/Q17 = Dekompression,Kompression,33.13428999629137,132.5371599851655,17,0.0
4.0,0.05809128816401753,0.2323651526560701,1,20,Q18,Kapitalmünze,4.003220247231857,"Architektur, Konstruktion",Architektur,27.169869237300407,108.67947694920163,18,0.0021185837051692974
4.0,0.13404284963982843,0.5361713985593137,1,11,Q19,Kapitalmünze,4.008367890270262,Generierung; 1/Q19 = Degenerierung,Generierung,24.098446845272257,96.39378738108903,19,0.00550519096727747
4.0,0.0,0.0,0,17,Q20,Kapitalmünze,4.0,"Modul, Maschine, Gerät, fertige Entwicklung",Modul/Maschine,69.01290757638942,276.0516303055577,20,0.0
