automation_level,capital_stock,current_labor_type,debt_value,education,expense_zw,happiness,health,id,income_zw,kind,last_output,last_profit,name,net_worth,output_good,positive_liquidity,price,primary_labor,sector,unemployed_periods
,,manual_basic,0.0,0.6720128343538008,1.5430053120111442,0.8773104575012037,0.8950421578631266,H00001,1.2110302061279103,household,,,Haushalt H00001,141.382736275297,,0.8920516834540493,,retail,,0
,,logistics,0.0,0.8013505089033314,3.061106028747749,0.8245050145701065,0.8154773532195693,H00002,3.4272370449278293,household,,,Haushalt H00002,128.61121214934704,,4.213200307565138,,logistics,,0
,,,0.0,0.638621457081433,1.3785530646659545,0.8964253305195589,0.7844398721569464,H00003,0.37124999999999997,household,,,Haushalt H00003,108.36294358663058,,3.8456890911557564,,teaching,,1
,,security,0.0,0.7659507254724082,2.915731737134117,0.846630464108315,0.8210834452001975,H00004,3.8866819424174968,household,,,Haushalt H00004,122.70364239293085,,5.379642527784757,,security,,0
,,teaching,0.0,0.4550219608143953,2.3859101272206913,0.8176939815026705,0.7740405780714441,H00005,2.050777020393573,household,,,Haushalt H00005,98.1368577320523,,1.7170941650291252,,retail,,0
,,,0.0,0.7438245930998443,0.40332609984845536,0.23607754765484898,0.6959306225788242,H00006,0.38549999999999995,household,,,Haushalt H00006,82.65495680179124,,0.2901942367877184,,industrial,,4
,,management,0.0,1.0,4.061967317366271,0.799593887345135,0.8235165162660271,H00007,5.649607769855313,household,,,Haushalt H00007,143.32198912410027,,6.769519107309148,,care,,0
,,construction,0.0,0.4909275952550466,2.19860710958327,0.8129124245186017,0.7494014674356104,H00008,3.293251393938075,household,,,Haushalt H00008,102.89168845496984,,2.9618436441924105,,construction,,0
,,care,0.0,0.5207088461203359,1.7889361711053717,0.11930172659509466,0.6336112058634581,H00009,1.8391960119768964,household,,,Haushalt H00009,90.09692965106589,,2.1226509504705913,,finance,,0
,,,0.0,0.9360565019077443,0.8976241688911291,0.7570432999023184,0.8471248656314492,H00010,0.376,household,,,Haushalt H00010,120.95127560801743,,1.6186482935822486,,software,,2
,,logistics,0.0,0.6924264583960312,2.9005074964196633,0.8886577449404519,0.7839606319379231,H00011,3.383770719968266,household,,,Haushalt H00011,104.11875252091122,,5.556892953353329,,logistics,,0
,,,0.0,0.5289250168291271,0.9788920726538601,0.32553167047475406,0.7130506284527698,H00012,0.37124999999999997,household,,,Haushalt H00012,92.79887855470012,,1.4948342916701345,,hospitality,,1
,,logistics,0.0,0.8228772490391346,2.0994285423825354,0.6386275331747957,0.77859411633998,H00013,1.7343581577500424,household,,,Haushalt H00013,117.96646114604542,,3.247318997376281,,hospitality,,0
,,teaching,0.0,0.6045803110076299,1.9287283288533172,0.3800927123471925,0.7039013908088998,H00014,2.018478816990674,household,,,Haushalt H00014,101.13545175860277,,2.0582803022404237,,hospitality,,0
,,logistics,0.0,0.6456890047075171,1.7977446939835886,0.6467742523361653,0.7965488051837194,H00015,1.7352163595164103,household,,,Haushalt H00015,118.82505616894298,,2.5689460983456094,,craft,,0
,,,0.0,0.6713888565828428,1.2258563692399487,0.7494858000271217,0.817117899647821,H00016,0.37124999999999997,household,,,Haushalt H00016,117.9586259199482,,3.7469157448208446,,research,,1
,,maintenance,0.0,0.6835536205423575,2.53637250637156,0.7952229505460586,0.8162448363037548,H00017,2.127046855762,household,,,Haushalt H00017,133.82860168204377,,2.160888092636361,,maintenance,,0
,,,0.0,0.8536081504948136,1.2106751366476343,0.6135531973061669,0.6812698210801894,H00018,0.376,household,,,Haushalt H00018,101.71221431845203,,2.6582948848577463,,manual_basic,,2
,,public_service,0.0,0.6834629753396938,2.300771221954863,0.9419065713358481,0.7973833500361885,H00019,2.2007142608924615,household,,,Haushalt H00019,111.9242425257595,,3.157605583754608,,public_service,,0
,,research,0.0,0.9239318304438853,5.1875183633518915,0.8405316170449046,0.8368248570935255,H00020,5.54313806651047,household,,,Haushalt H00020,127.84548014497425,,5.336324549281029,,legal,,0
,,manual_basic,0.0,0.6814724103948703,1.638101466094449,0.3110870491153589,0.630033384507059,H00021,1.230838041688702,household,,,Haushalt H00021,89.88860209488686,,2.777913735058866,,mining,,0
,,logistics,0.0,0.7640503559275537,2.15896662614938,0.734724154070916,0.8221889710433243,H00022,1.7211276424269992,household,,,Haushalt H00022,107.11208368711604,,6.2755871687944405,,construction,,0
,,industrial,0.0,0.8275358369047061,3.1959966605108185,0.9682014426842894,0.8773320609656505,H00023,4.0979791719092615,household,,,Haushalt H00023,122.17350531830738,,6.300628368075047,,construction,,0
,,craft,0.0,0.5799418293225195,2.1922721124416613,0.6165498961309173,0.7484340504731215,H00024,2.8941512080796654,household,,,Haushalt H00024,104.5280515660145,,2.05976616519708,,craft,,0
,,,0.0,0.7527752457477649,1.4105398153971713,0.8071493292311961,0.8569289946025661,H00025,0.376,household,,,Haushalt H00025,137.57660328996568,,1.5463041285130248,,research,,2
,,care,0.0,0.5920260213626699,1.6817134251589558,0.3507872406873298,0.6821174907925883,H00026,1.9430801372886009,household,,,Haushalt H00026,90.2722600483438,,2.1301205348338956,,care,,0
,,manual_basic,0.0,0.6797999388936147,2.1241999881268434,0.5611718293625678,0.797836152387255,H00027,1.237614269629508,household,,,Haushalt H00027,114.27649566998576,,4.705677383829382,,engineering,,0
,,,0.0,1.0,0.7184536463281096,0.5436998352132809,0.7363083596298171,H00028,0.37124999999999997,household,,,Haushalt H00028,114.28845043967935,,0.42510258655984245,,retail,,1
,,manual_basic,0.0,0.7885508989477844,1.4228374955180478,0.13756528238531102,0.5843968385813638,H00029,1.2486246698134702,household,,,Haushalt H00029,96.24284197053446,,1.6686612865021826,,hospitality,,0
,,,0.0,0.758182322370168,1.128304549769859,0.6848843892941199,0.8065835429071381,H00030,0.376,household,,,Haushalt H00030,115.6295743891122,,1.591234564336791,,retail,,2
,,agriculture,0.0,0.7067268144243664,2.604390546975712,0.8926780149490396,0.8162856991544051,H00031,2.749148582771411,household,,,Haushalt H00031,101.38518602382497,,2.6750032449381065,,agriculture,,0
,,,0.0,0.7111849202883532,1.060682844329686,0.8320608326531035,0.7829036903526251,H00032,0.37124999999999997,household,,,Haushalt H00032,98.26889484983208,,2.118539294082429,,teaching,,1
,,maintenance,0.0,0.724508914498964,1.9403792108011435,0.4318784303991832,0.790625708696371,H00033,1.9038978017305754,household,,,Haushalt H00033,90.83174113436611,,3.49520256729927,,craft,,0
,,management,0.0,0.9216905127190684,4.015840389629829,0.9816050099333312,0.8709261244673281,H00034,5.694502772271076,household,,,Haushalt H00034,126.16382130691986,,6.711142047659348,,agriculture,,0
,,maintenance,0.0,0.4814173000961561,2.2300309733411012,0.342090938307072,0.7112612926278219,H00035,2.0491913401761006,household,,,Haushalt H00035,96.52544438614805,,4.09733296706315,,maintenance,,0
,,creative,0.0,0.7387690399685319,3.4986821721331323,0.8133974442824505,0.8376174550557609,H00036,3.4252388937525566,household,,,Haushalt H00036,111.27475418723736,,3.330807605688606,,security,,0
,,energy,0.0,0.8704348819424824,3.1639446999248215,0.6712771472546226,0.8239544415906153,H00037,4.305488146400307,household,,,Haushalt H00037,110.63044037584756,,4.4293372112313305,,energy,,0
,,logistics,0.0,0.7841528273084133,2.655304389257906,0.7839600809141811,0.836331331280058,H00038,3.3650266905249357,household,,,Haushalt H00038,122.20847071827319,,1.985667049962499,,legal,,0
,,hospitality,0.0,0.6896438496503187,2.7764617872008035,0.5893697919135248,0.7613779493778249,H00039,2.637121352263032,household,,,Haushalt H00039,100.37142162422519,,4.237777684541255,,hospitality,,0
,,,0.0,0.7715416498646113,1.1436566704781683,0.7348552049265494,0.802970530393881,H00040,0.37124999999999997,household,,,Haushalt H00040,119.74877824121172,,1.4933625725631121,,retail,,1
,,manual_basic,0.0,0.6860759460517936,1.1440151550359272,0.5521055137750807,0.7718689665727296,H00041,1.2236420924830205,household,,,Haushalt H00041,99.0008803676025,,1.1400664082186622,,legal,,0
,,maintenance,0.0,0.8512754748734305,3.02120063503861,0.8838396974345949,0.8370672156995951,H00042,3.9328845978979534,household,,,Haushalt H00042,101.18984159792414,,7.9183294245413425,,care,,0
,,,0.0,0.542273299289486,0.8247518778077595,0.42711826794841895,0.7027133680672224,H00043,0.37124999999999997,household,,,Haushalt H00043,92.84973782795898,,0.7898314807010246,,hospitality,,1
,,teaching,0.0,0.8253585577502454,2.3687407009285093,0.7711493947534162,0.7901049194061784,H00044,1.9406629085679328,household,,,Haushalt H00044,105.88707284260002,,4.235719525317036,,teaching,,0
,,research,0.0,0.8471018016292067,5.002584642226012,0.9277572990672102,0.8809444872604779,H00045,5.619918899455034,household,,,Haushalt H00045,130.43648108081214,,6.702744369337049,,construction,,0
,,agriculture,0.0,0.7387710612955114,2.479825499126735,0.679984877732011,0.7874277399801264,H00046,2.7266714872458695,household,,,Haushalt H00046,102.11988906863863,,2.374032912846299,,care,,0
,,agriculture,0.0,0.754913800023044,3.066687702678528,0.9105011703982874,0.8585984135585787,H00047,2.744488146917803,household,,,Haushalt H00047,117.5908308201898,,5.74162545113494,,agriculture,,0
,,logistics,0.0,0.8908282277510317,2.5794675428985494,0.7290859767243634,0.9016126729491482,H00048,1.7043013410419645,household,,,Haushalt H00048,120.38034437619424,,3.449757860359795,,mining,,0
,,management,0.0,0.7177457086043407,3.4274497503830665,0.9649119318586369,0.9103896004876633,H00049,3.2295007230953217,household,,,Haushalt H00049,138.49899287813648,,3.2046499589464297,,retail,,0
,,,0.0,0.6757932304952631,0.9427185102638704,0.7479072959727362,0.8164225175414428,H00050,0.37124999999999997,household,,,Haushalt H00050,98.23531611590668,,1.583925411909011,,logistics,,1
,,,0.0,0.8510557774931253,0.8015116483502984,0.5107645429002668,0.7859421695243825,H00051,0.376,household,,,Haushalt H00051,113.6887426467966,,1.0456180899944791,,maintenance,,2
,,care,0.0,1.0,2.5325902115642287,0.9036980530237838,0.91141542519245,H00052,2.006124155609173,household,,,Haushalt H00052,131.8522788658433,,7.14663269440984,,care,,0
,,research,0.0,0.8906858111353801,2.473380113401593,0.7285925547622788,0.7880565114802469,H00053,3.1696692904617048,household,,,Haushalt H00053,108.95916454417517,,1.371560200405768,,hospitality,,0
,,management,0.0,0.8528666106737803,5.164390125293461,0.9640137450282935,0.9287744683617247,H00054,5.680448489703805,household,,,Haushalt H00054,143.05484929108164,,3.424430652856581,,software,,0
,,,0.0,0.7010981190327052,1.4896931414863985,0.8566331429290263,0.8656911234746931,H00055,0.37124999999999997,household,,,Haushalt H00055,108.85676728627581,,2.9699498774531086,,retail,,1
,,agriculture,0.0,0.7338777622102173,3.156516755726234,0.9346423039350755,0.8659685542409037,H00056,2.733691258055372,household,,,Haushalt H00056,111.96852036887557,,2.4802988900271647,,agriculture,,0
,,logistics,0.0,0.718836709266443,2.877753545965187,0.8800979564244445,0.8685656309312239,H00057,3.3677660007187202,household,,,Haushalt H00057,109.92458015980213,,4.2589079753655295,,logistics,,0
