avg_wage_last_period,base_wage,description,employed_last_period,label,labor_type
1.9544224075796564,1.15,"Tragen, Reinigen, einfache Dienste, Hilfstätigkeiten",4,Einfache körperliche Arbeit,manual_basic
2.4395117060563885,1.35,"Nahrung, Boden, Pflanzen, Tiere, Ernte",7,Landwirtschaft,agriculture
3.149543703534509,1.7,"Bergbau, Rohstoffgewinnung, Gewinnung harter Grundlagen",1,Rohstoffarbeit,mining
4.014449583373329,2.15,"Kraftwerke, Netze, Energieanlagen, Versorgung",2,Energiearbeit,energy
3.801964344936419,2.05,"Fabrikation, Maschinenbedienung, Serienarbeit",3,Industriearbeit,industrial
2.7273485680138507,1.95,"Reparatur, Bauhandwerk, lokale Fertigung",3,Handwerk,craft
3.015138731601653,2.25,"Gebäude, Infrastruktur, physische Konstruktion",6,Bauarbeit,construction
2.928748424500479,1.75,"Transport, Lager, Verteilung, Routen",9,Logistik,logistics
2.4408874142876407,1.4,"Verkauf, Kundenkontakt, Verteilung am Markt",2,Handel,retail
2.3430329346504504,1.35,"Gastronomie, Unterkunft, Alltagserholung",3,Gastgewerbe,hospitality
1.691934612841596,1.85,"Pflege, Betreuung, Hilfe im Alltag",2,Pflege,care
2.9320259936145225,2.75,"Medizinische Versorgung, Diagnostik, Therapie",2,Gesundheit,health
1.6475907135152132,2.1,"Lehre, Ausbildung, Didaktik, Wissensvermittlung",6,Bildung,teaching
4.283190783834544,3.1,"Neue Fragen, Theorien, Werkzeuge, Generierungsprinzipien",5,Forschung,research
3.6679085794617827,2.9,"Programmierung, Automatisierung, KI-Dienste",3,Software/KI/Automatisierung,software
4.474344318523915,3.0,"Technische Konstruktion, Anlagen, Design",4,Ingenieurwesen,engineering
3.6043173829932207,1.95,"Instandhaltung, Reparatur, Betriebssicherung",3,Wartung,maintenance
3.512901271362397,2.45,"Banken, Risiko, Kredit, Zahlungsströme",2,Finanzwesen,finance
4.186678553687591,2.35,"Verträge, Regeln, Haftung, Konfliktklärung",1,Recht/Verträge,legal
3.114635085614834,1.85,"Kunst, Medien, Design, Kultur",2,Kreative Arbeit,creative
1.9280039738339294,2.05,"Verwaltung, Infrastruktur, öffentliche Ordnung",3,Öffentlicher Dienst,public_service
3.207457389401048,1.95,"Schutz, Resilienz, Gefahrenabwehr",3,Sicherheit,security
0.0,2.15,"Ressourcenpflege, Ökologie, Klimaanpassung",0,Umweltarbeit,environmental
4.867679025768364,3.0,"Koordination, Planung, Verantwortung, Meisterung",9,Management/Organisation,management
