automation_level,capital_stock,current_labor_type,debt_value,education,expense_zw,happiness,health,id,income_zw,kind,last_output,last_profit,name,net_worth,output_good,positive_liquidity,price,primary_labor,sector,unemployed_periods
,,management,0.0,0.7362053937153069,3.2944287522168088,0.9138577205493907,0.8746214244427466,H00001,5.233333353657652,household,,,Haushalt H00001,147.32666964525671,,5.309420818998267,,hospitality,,0
,,hospitality,0.0,0.6432412554961884,1.7003801324004963,0.6423894049982267,0.7217964862999378,H00002,2.581090724378668,household,,,Haushalt H00002,105.12534863046025,,2.865008670139796,,hospitality,,0
,,,0.0,0.9037934280930088,1.5884141594161716,0.8336862518967513,0.7894655280224817,H00003,0.3818078083382386,household,,,Haushalt H00003,126.51894443807879,,2.54033784716475,,retail,,1
,,logistics,0.0,0.8963782078345304,3.417626626920023,0.7129469848231426,0.7631786087534927,H00004,3.32943153271263,household,,,Haushalt H00004,115.89534381152342,,4.181788162922879,,logistics,,0
,,logistics,0.0,1.0,3.167670538652683,0.9830575002543845,0.8867365102413425,H00005,3.2709077433178257,household,,,Haushalt H00005,140.3250997153594,,3.5482870053191164,,logistics,,0
,,teaching,0.0,0.7371534901398551,2.60717787728619,0.9934943891892187,0.8390649615695659,H00006,1.9307207553213321,household,,,Haushalt H00006,114.67535418663357,,3.52863383414954,,teaching,,0
,,retail,0.0,0.7619166001005662,2.7338592281253464,0.9596793021455253,0.8449327888023312,H00007,2.6845839548560213,household,,,Haushalt H00007,140.5454739759262,,4.511813971248763,,retail,,0
,,public_service,0.0,0.7801361840849574,2.728079197599481,0.985762307230265,0.862037077909895,H00008,2.6477010192443586,household,,,Haushalt H00008,136.63736005039323,,3.1448750495919477,,public_service,,0
,,retail,0.0,0.6766705646814694,2.6212550061644375,0.8159165196778841,0.7734018979613612,H00009,2.6726179872824707,household,,,Haushalt H00009,112.75680138216234,,3.3193799010399623,,retail,,0
,,manual_basic,0.0,0.9055177795981874,2.0318997841043176,0.4875340396277965,0.7086708543860446,H00010,1.2418516128947032,household,,,Haushalt H00010,124.2699693699405,,2.2040987771236304,,hospitality,,0
,,software,0.0,0.715913827545302,4.095057779663376,0.9946108542081091,0.9067813341759048,H00011,4.702532445308078,household,,,Haushalt H00011,150.5937533301199,,4.4252372754019405,,software,,0
,,maintenance,0.0,0.7380175597784054,2.538039593857503,0.9137853406349522,0.800023822247187,H00012,2.1055647337899828,household,,,Haushalt H00012,108.46296189519508,,3.0260143336968572,,maintenance,,0
,,construction,0.0,0.7681445909843475,4.026540801411808,0.9119363087612556,0.9042737117345978,H00013,4.148524117101397,household,,,Haushalt H00013,137.24605485860994,,4.6698593134206305,,construction,,0
,,retail,0.0,0.7525464984886945,1.835557844619526,0.3628343325521404,0.6512981390525222,H00014,2.6784325071129653,household,,,Haushalt H00014,90.97454758261735,,2.5403537342751243,,retail,,0
,,manual_basic,0.0,0.6467985857297995,1.664554326223422,0.6144982558213361,0.7204786970246195,H00015,1.3200882520105592,household,,,Haushalt H00015,107.54900814608581,,1.8022617230380018,,energy,,0
,,security,0.0,0.7521179141654759,2.176077405458569,0.8101272602981325,0.7943043593888427,H00016,2.2716201707095465,household,,,Haushalt H00016,123.48919166527766,,1.624413183129213,,security,,0
,,teaching,0.0,0.733124694078196,2.0539434097663207,0.47573091695272957,0.6966701046074355,H00017,2.129033740471103,household,,,Haushalt H00017,100.14778331080453,,2.0151096437674925,,hospitality,,0
,,environmental,0.0,0.7464671759342321,2.4050193530923543,0.6648200502046964,0.7322484196251404,H00018,2.063651027787423,household,,,Haushalt H00018,97.8062905638235,,3.5493335309222935,,craft,,0
,,teaching,0.0,0.7094186946398297,2.2207859941165164,0.8025852387018051,0.7429055114964797,H00019,2.2488369904018337,household,,,Haushalt H00019,100.40129186622114,,2.2448386250553796,,teaching,,0
,,software,0.0,0.5735012690939697,3.0360033848459116,0.19623895331292043,0.6384493344223188,H00020,4.668623976254369,household,,,Haushalt H00020,95.26963614398538,,2.871104530569335,,hospitality,,0
,,teaching,0.0,0.7841355953942777,2.536989045078532,0.7402138609345339,0.8153129775370219,H00021,2.008925643209895,household,,,Haushalt H00021,113.31433645060606,,2.9053918339610427,,craft,,0
,,management,0.0,0.8248247063077259,3.930229286826324,0.6637708606087418,0.7705950655784304,H00022,5.144057629834869,household,,,Haushalt H00022,121.32885571136491,,3.707124424916233,,hospitality,,0
,,manual_basic,0.0,0.814163071651759,1.3074255345908603,0.5710674207435193,0.7029372762832723,H00023,1.2221872485994671,household,,,Haushalt H00023,116.4276311390922,,0.9439019183308486,,hospitality,,0
,,security,0.0,0.6526313762904776,1.881303113293735,0.6746275824216582,0.6907626562068953,H00024,2.028583779136613,household,,,Haushalt H00024,105.73321966472436,,2.1435689200996215,,craft,,0
,,logistics,0.0,0.7401851996173223,2.388856680754021,0.7372164386258213,0.7430270124368287,H00025,3.296137958791389,household,,,Haushalt H00025,94.3542469104088,,4.0251494029197,,hospitality,,0
,,,0.0,0.7167489616777606,1.082647254896854,0.5691444617808259,0.7244658749135793,H00026,0.3818078083382386,household,,,Haushalt H00026,113.21427677948245,,2.5313904638364977,,mining,,1
,,,0.0,0.4403929167034936,0.8905301254253067,0.10696423300806118,0.6607417432478901,H00027,0.3818078083382386,household,,,Haushalt H00027,93.76858782780218,,2.83826694155947,,finance,,1
,,management,0.0,0.9253607713841026,3.677072857152094,0.9960426070505849,0.9120745938582685,H00028,3.1465248280878346,household,,,Haushalt H00028,152.09940757765526,,4.2340024506915634,,construction,,0
,,research,0.0,0.6670063441132997,4.298434824980304,0.6687799594158411,0.7056349075748394,H00029,5.602482993938894,household,,,Haushalt H00029,116.36158778074595,,3.640468647895333,,manual_basic,,0
,,environmental,0.0,0.6239898471958446,2.508240901281792,0.823740881751873,0.7553278338280041,H00030,2.0578311151351447,household,,,Haushalt H00030,99.20949056603979,,2.854538906449192,,retail,,0
,,legal,0.0,0.6311463877279351,2.953586809516287,0.019503359976373535,0.6245792166804185,H00031,4.054132875398355,household,,,Haushalt H00031,83.27719372399262,,2.5574627735173654,,legal,,0
,,manual_basic,0.0,0.6305071140818929,1.1273334754143403,0.18291485989202608,0.5959629805647703,H00032,1.2381968835634336,household,,,Haushalt H00032,89.15036841004081,,1.722394634907816,,legal,,0
,,industrial,0.0,0.727797293712819,3.2805006596735535,0.7658577895987727,0.7219365818953222,H00033,3.745310324259491,household,,,Haushalt H00033,103.57970987696649,,4.994618226122817,,retail,,0
,,retail,0.0,0.5399443218988818,2.456825001476403,0.3150793356450297,0.6845899074344103,H00034,2.678659421912358,household,,,Haushalt H00034,85.86503743999265,,2.5886615410616614,,retail,,0
,,maintenance,0.0,0.8555459592840097,2.1680634092843043,0.4099939109879873,0.7136248800129575,H00035,1.9349278520241964,household,,,Haushalt H00035,108.20224203478347,,3.1937297255620174,,craft,,0
,,manual_basic,0.0,0.5322944541641687,1.0855954690297194,0.209485440316188,0.6050705890741076,H00036,1.2328137283109548,household,,,Haushalt H00036,110.92797910915542,,0.6693486333745546,,finance,,0
,,logistics,0.0,0.6664786561123226,3.2462831163753654,0.95825798256281,0.789496875361202,H00037,3.31883746001395,household,,,Haushalt H00037,106.387298940712,,3.347323248746636,,logistics,,0
,,care,0.0,0.650259466208445,2.5504408268982144,0.4172511369289004,0.6990033441304896,H00038,2.012632513704097,household,,,Haushalt H00038,109.19348446508526,,3.7083158297027117,,care,,0
