avg_wage_last_period,base_wage,description,employed_last_period,label,labor_type
1.9230701271491424,1.15,"Tragen, Reinigen, einfache Dienste, Hilfstätigkeiten",2,Einfache körperliche Arbeit,manual_basic
2.2767011605387992,1.35,"Nahrung, Boden, Pflanzen, Tiere, Ernte",7,Landwirtschaft,agriculture
2.8337804512798175,1.7,"Bergbau, Rohstoffgewinnung, Gewinnung harter Grundlagen",1,Rohstoffarbeit,mining
3.6275135502283136,2.15,"Kraftwerke, Netze, Energieanlagen, Versorgung",4,Energiearbeit,energy
3.4514505369699178,2.05,"Fabrikation, Maschinenbedienung, Serienarbeit",5,Industriearbeit,industrial
3.3270029755871855,1.95,"Reparatur, Bauhandwerk, lokale Fertigung",1,Handwerk,craft
3.828366829997058,2.25,"Gebäude, Infrastruktur, physische Konstruktion",3,Bauarbeit,construction
2.8026304323862123,1.75,"Transport, Lager, Verteilung, Routen",7,Logistik,logistics
2.3700419054974278,1.4,"Verkauf, Kundenkontakt, Verteilung am Markt",4,Handel,retail
2.2804437188995568,1.35,"Gastronomie, Unterkunft, Alltagserholung",3,Gastgewerbe,hospitality
0.0,1.85,"Pflege, Betreuung, Hilfe im Alltag",0,Pflege,care
4.694810051639498,2.75,"Medizinische Versorgung, Diagnostik, Therapie",1,Gesundheit,health
2.0943220975635577,2.1,"Lehre, Ausbildung, Didaktik, Wissensvermittlung",7,Bildung,teaching
5.232877987816074,3.1,"Neue Fragen, Theorien, Werkzeuge, Generierungsprinzipien",4,Forschung,research
3.9319911955980666,2.9,"Programmierung, Automatisierung, KI-Dienste",9,Software/KI/Automatisierung,software
5.181852942309671,3.0,"Technische Konstruktion, Anlagen, Design",2,Ingenieurwesen,engineering
3.213676416379941,1.95,"Instandhaltung, Reparatur, Betriebssicherung",3,Wartung,maintenance
3.7312995743563584,2.45,"Banken, Risiko, Kredit, Zahlungsströme",1,Finanzwesen,finance
2.8470606081874017,2.35,"Verträge, Regeln, Haftung, Konfliktklärung",6,Recht/Verträge,legal
2.8812945456517904,1.85,"Kunst, Medien, Design, Kultur",6,Kreative Arbeit,creative
2.6891770103836623,2.05,"Verwaltung, Infrastruktur, öffentliche Ordnung",7,Öffentlicher Dienst,public_service
1.8030683349100733,1.95,"Schutz, Resilienz, Gefahrenabwehr",3,Sicherheit,security
3.65987710800471,2.15,"Ressourcenpflege, Ökologie, Klimaanpassung",1,Umweltarbeit,environmental
4.586962338207598,3.0,"Koordination, Planung, Verantwortung, Meisterung",6,Management/Organisation,management
