coin_value_zw,debt_qty,debt_value_zw,debtors,holders,label,layer,market_price,meaning,name,positive_qty,positive_value_zw,q,shortage_index
1.0,3786.39204315807,3786.39204315807,1,321,Q1,Grundmünze,1.187028200607065,"Aufgabe, Schwierigkeit, Knoten, Problemkern",Schwierigkeit,7692.1124382838925,7692.1124382838925,1,0.49217947528174993
1.0,0.0,0.0,0,84,Q2,Grundmünze,1.0,"Teil, Kompliziertheit, Molekülelement, Teilstruktur",Komplexität,1413.3296242625838,1413.3296242625838,2,0.0
1.0,0.0,0.0,0,75,Q3,Grundmünze,1.0,"Theorie, Modell, lockerer/fester Zwischenzustand",Abstraktion,1186.88158206095,1186.88158206095,3,0.0
1.0,0.0,0.0,0,66,Q4,Grundmünze,1.0,"formales Objekt, Faden, mathematische Gestalt",Kristallisation,199.50045178926527,199.50045178926527,4,0.0
2.0,0.0,0.0,0,73,Q5,Operationsmünze,2.0,"Enkodieren, Befehl, Kommando, imperatives Programmieren",Kodierung,1403.4737474769163,2806.9474949538326,5,0.0
2.0,0.0,0.0,0,60,Q6,Operationsmünze,2.0,"declarative Beschreibung, Regel, Faden statt Befehl",Deklaration,167.8222015683266,335.6444031366532,6,0.0
2.0,0.0,0.0,0,70,Q7,Operationsmünze,2.0,"Delegieren, Referenzieren, Verantwortungsübertragung",Delegation,160.08946787800144,320.1789357560029,7,0.0
2.0,0.0,0.0,0,53,Q8,Operationsmünze,2.0,"wiederverwendbarer Stein, Wabe, Bausteinsammlung",Bibliothek,200.93231498958258,401.86462997916516,8,0.0
2.0,0.0,0.0,0,46,Q9,Operationsmünze,2.0,"Rahmen, Organisches, allgemeine Intelligenzstruktur",Framework,123.41918991751172,246.83837983502343,9,0.0
3.0,372.66534717386634,1117.996041521599,4,88,Q10,Systemmünze,3.3802720578365406,"Beschränkung, Struktur, Strick, Möglichkeitsraum",Constraint,1116.8628608735623,3350.588582620687,10,0.33357198055836895
3.0,644.2080833118237,1932.624249935471,5,60,Q11,Systemmünze,3.5986318888870197,"Eingriff, Interface, Gedankeneinsatz",Schnittstelle,1226.4593394407066,3679.3780183221197,11,0.5251156920061577
3.0,0.0016174263526120072,0.004852279057836022,1,39,Q12,Systemmünze,3.0000061997981238,"Werkzeugkoffer, Mathematik, Methoden",Toolbox,297.074099157186,891.222297471558,12,5.4384194068975294e-06
3.0,0.0,0.0,0,44,Q13,Systemmünze,3.0,"Programm, Service, Paradigma, Dienst, Gedankenansatz",Programm/Dienst,540.110271318696,1620.3308139560882,13,0.0
3.0,0.0,0.0,0,46,Q14,Systemmünze,3.0,"Komposition, Choreographie, Dirigieren, Meisterung",Orchestrierung,158.90812968173148,476.72438904519447,14,0.0
3.0,0.0,0.0,0,36,Q15,Systemmünze,3.0,"Applikation, Werk, Opus",Anwendung,57.607937050260134,172.8238111507804,15,0.0
3.0,0.0,0.0,0,42,Q16,Systemmünze,3.0,"Menü, Kernel, Betriebssystem, Ausführung",Betrieb,647.4997980764963,1942.4993942294889,16,0.0
4.0,0.13401133222163325,0.536045328886533,2,32,Q17,Kapitalmünze,4.002868396945697,Kompression; 1/Q17 = Dekompression,Kompression,70.76430828200733,283.05723312802934,17,0.0018871032537479107
4.0,0.03088713782560644,0.12354855130242576,1,22,Q18,Kapitalmünze,4.000442823658186,"Architektur, Konstruktion",Architektur,105.7706441707016,423.0825766828064,18,0.00029133135406983295
4.0,0.0,0.0,0,10,Q19,Kapitalmünze,4.0,Generierung; 1/Q19 = Degenerierung,Generierung,33.79672842018926,135.18691368075704,19,0.0
4.0,0.0,0.0,0,12,Q20,Kapitalmünze,4.0,"Modul, Maschine, Gerät, fertige Entwicklung",Modul/Maschine,103.18991263540818,412.7596505416327,20,0.0
