tick,event,source,target,amount,category,description
1,transfer,STAAT,H000001,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000002,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000003,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000004,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000005,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000006,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000007,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000008,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000009,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000010,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000011,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000012,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000013,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000014,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000015,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000016,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000017,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000018,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000019,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000020,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000021,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000022,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000023,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000024,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000025,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000026,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000027,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000028,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000029,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000030,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000031,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000032,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000033,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000034,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000035,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000036,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000037,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000038,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000039,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,transfer,STAAT,H000040,25.0,18,Grundmünzrecht: Zugang zu Basismitteln
1,subvention,STAAT,F000001,0.10116394369211368,1,Subvention nach Münzkategorie
1,steuer,F000001,STAAT,0.016654889860607675,1,CO2-/Schadenssteuer
1,muenze,F000001,M000001,42.476023910891215,1,Münze erzeugt und bewertet
1,subvention,STAAT,F000002,0.009009149209385081,2,Subvention nach Münzkategorie
1,steuer,F000002,STAAT,0.01748970367833822,2,CO2-/Schadenssteuer
1,muenze,F000002,M000002,19.0945892751722,2,Münze erzeugt und bewertet
1,subvention,STAAT,F000003,0.019637382272706585,3,Subvention nach Münzkategorie
1,steuer,F000003,STAAT,0.013765011549355503,3,CO2-/Schadenssteuer
1,muenze,F000003,M000003,22.318433944882187,3,Münze erzeugt und bewertet
1,subvention,STAAT,F000004,0.023292676848841835,4,Subvention nach Münzkategorie
1,steuer,F000004,STAAT,0.19202613804539437,4,CO2-/Schadenssteuer
1,muenze,F000004,M000004,36.06848022797545,4,Münze erzeugt und bewertet
1,lohn,F000005,H000032,40.91979909017374,5,Nettoarbeitslohn
1,steuer,H000032,STAAT,8.98239492223326,,Einkommensteuer
1,lohn,F000005,H000003,34.72200285101756,5,Nettoarbeitslohn
1,steuer,H000003,STAAT,7.621903064857512,,Einkommensteuer
1,lohn,F000005,H000009,45.64183245088236,5,Nettoarbeitslohn
1,steuer,H000009,STAAT,10.018938830681494,,Einkommensteuer
1,lohn,F000005,H000027,38.65015799327137,5,Nettoarbeitslohn
1,steuer,H000027,STAAT,8.484181022913226,,Einkommensteuer
1,lohn,F000005,H000007,47.52597067664161,5,Nettoarbeitslohn
1,steuer,H000007,STAAT,10.432530148531086,,Einkommensteuer
1,lohn,F000005,H000006,37.67969220652354,5,Nettoarbeitslohn
1,steuer,H000006,STAAT,8.27115194777346,,Einkommensteuer
1,lohn,F000005,H000017,47.24505127486957,5,Nettoarbeitslohn
1,steuer,H000017,STAAT,10.370864913995758,,Einkommensteuer
1,lohn,F000005,H000033,37.05705390960722,5,Nettoarbeitslohn
1,steuer,H000033,STAAT,8.134475248450364,,Einkommensteuer
1,subvention,STAAT,F000005,5.370147189119128,5,Subvention nach Münzkategorie
1,steuer,F000005,STAAT,12.111929840717533,5,CO2-/Schadenssteuer
1,muenze,F000005,M000005,140.23470760141726,5,Münze erzeugt und bewertet
1,subvention,STAAT,F000006,0.014767089640894777,6,Subvention nach Münzkategorie
1,steuer,F000006,STAAT,0.040707028906951874,6,CO2-/Schadenssteuer
1,muenze,F000006,M000006,51.185359818619666,6,Münze erzeugt und bewertet
1,subvention,STAAT,F000007,0.07359149893786021,7,Subvention nach Münzkategorie
1,steuer,F000007,STAAT,0.031041392903124757,7,CO2-/Schadenssteuer
1,muenze,F000007,M000007,44.81658541280625,7,Münze erzeugt und bewertet
1,subvention,STAAT,F000008,0.007980632665768253,8,Subvention nach Münzkategorie
1,steuer,F000008,STAAT,0.03912206999497408,8,CO2-/Schadenssteuer
1,muenze,F000008,M000008,36.98807247464092,8,Münze erzeugt und bewertet
1,subvention,STAAT,F000009,0.03501805848515336,9,Subvention nach Münzkategorie
1,steuer,F000009,STAAT,0.008129136424010194,9,CO2-/Schadenssteuer
1,muenze,F000009,M000009,27.818124572430854,9,Münze erzeugt und bewertet
1,subvention,STAAT,F000010,0.019207330922545385,10,Subvention nach Münzkategorie
1,steuer,F000010,STAAT,0.02469804297966224,10,CO2-/Schadenssteuer
1,muenze,F000010,M000010,44.2734390386689,10,Münze erzeugt und bewertet
1,subvention,STAAT,F000011,0.02737610436230386,11,Subvention nach Münzkategorie
1,steuer,F000011,STAAT,0.029788054221589807,11,CO2-/Schadenssteuer
1,muenze,F000011,M000011,47.684947744469056,11,Münze erzeugt und bewertet
1,subvention,STAAT,F000012,0.04656647923931906,12,Subvention nach Münzkategorie
1,steuer,F000012,STAAT,0.007383397259531112,12,CO2-/Schadenssteuer
1,muenze,F000012,M000012,36.20946875707803,12,Münze erzeugt und bewertet
1,subvention,STAAT,F000013,0.12669599444769,13,Subvention nach Münzkategorie
1,steuer,F000013,STAAT,0.17200926036219796,13,CO2-/Schadenssteuer
1,muenze,F000013,M000013,56.38933462441146,13,Münze erzeugt und bewertet
1,subvention,STAAT,F000014,0.11428753049956351,14,Subvention nach Münzkategorie
1,steuer,F000014,STAAT,0.03619277067065413,14,CO2-/Schadenssteuer
1,muenze,F000014,M000014,54.23501213196946,14,Münze erzeugt und bewertet
1,lohn,F000015,H000037,33.922633274165996,15,Nettoarbeitslohn
1,steuer,H000037,STAAT,7.446431694329121,,Einkommensteuer
1,lohn,F000015,H000026,36.05852169959791,15,Nettoarbeitslohn
1,steuer,H000026,STAAT,7.915285251131249,,Einkommensteuer
1,lohn,F000015,H000025,39.50928405471424,15,Nettoarbeitslohn
1,steuer,H000025,STAAT,8.672769670547028,,Einkommensteuer
