t,gdp,real_output,cpi,inflation,unemployment,avg_wage,median_income,income_gini,wealth_gini,poverty_rate,avg_profit,firm_bankruptcies,firm_alive,household_defaults,bank_failures_step,banks_failed_total,bank_capital_ratio,npl_ratio,total_credit,new_credit,credit_growth,policy_rate,financial_stress,stock_index,credit_spread,housing_price,rent_index,housing_affordability,housing_transactions,new_housing_units,energy_price,energy_shortage,renewable_share,emissions,carbon_price,imports,exports,trade_balance,exchange_rate,gov_revenue,gov_spending,gov_deficit,gov_debt,gov_debt_to_annual_gdp,platform_user_share,platform_take_rate,platform_concentration,market_concentration_hhi,insurance_solvency,productivity,welfare_index,truth_price,truth_correctness_index,truth_planetary_stress,truth_cross_resource_throttle,truth_trade_volume,truth_fiat_volume,truth_model_trade_volume,truth_knowledge_trade_volume,truth_verifications,truth_predicates_created,truth_total_predicates,truth_total_verifications,truth_issued,truth_destroyed,truth_household_mean,truth_firm_mean,truth_bank_mean,truth_government_balance,truth_model_competition,truth_audit_pressure,truth_resource_use_fossil_energy,truth_resource_truth_fossil_energy,truth_resource_limit_fossil_energy,truth_resource_use_renewable_energy,truth_resource_truth_renewable_energy,truth_resource_limit_renewable_energy,truth_resource_use_carbon_budget,truth_resource_truth_carbon_budget,truth_resource_limit_carbon_budget,truth_resource_use_water,truth_resource_truth_water,truth_resource_limit_water,truth_resource_use_materials,truth_resource_truth_materials,truth_resource_limit_materials,truth_resource_use_land,truth_resource_truth_land,truth_resource_limit_land,truth_resource_use_biodiversity,truth_resource_truth_biodiversity,truth_resource_limit_biodiversity,truth_resource_use_waste_capacity,truth_resource_truth_waste_capacity,truth_resource_limit_waste_capacity,truth_resource_use_labor_attention,truth_resource_truth_labor_attention,truth_resource_limit_labor_attention,truth_resource_use_data_privacy,truth_resource_truth_data_privacy,truth_resource_limit_data_privacy,truth_adjusted_welfare,angle_price,angle_market_alignment,angle_popularity_index,angle_polarization_index,angle_trade_volume,angle_fiat_volume,angle_model_trade_volume,angle_events_created,angle_total_events,angle_units_issued_step,angle_units_destroyed_step,angle_total_units_issued,angle_total_units_destroyed,angle_moral_arbitrage_volume,angle_household_mean,angle_firm_mean,angle_bank_mean,angle_government_balance,angle_mean_actor_goodness,angle_objective_good_deg,angle_evil_deg,angle_popular_axis_deg,angle_unpopular_axis_deg,angle_model_competition,truth_angle_adjusted_welfare,price_food,output_food,hhi_food,price_retail,output_retail,hhi_retail,price_manufacturing,output_manufacturing,hhi_manufacturing,price_construction,output_construction,hhi_construction,price_housingservices,output_housingservices,hhi_housingservices,price_energy,output_energy,hhi_energy,price_transport,output_transport,hhi_transport,price_health,output_health,hhi_health,price_education,output_education,hhi_education,price_finance,output_finance,hhi_finance,price_digitalplatform,output_digitalplatform,hhi_digitalplatform,price_professionalservices,output_professionalservices,hhi_professionalservices,price_exportables,output_exportables,hhi_exportables,price_governmentsupply,output_governmentsupply,hhi_governmentsupply
0.0,608.3028609949267,528.7387259020027,1.2104251562922659,0.21042515629226588,0.0,2.440347587219232,1.4918920396858844,0.3984973967500427,0.574481410951952,0.18,1.9615238224486686,0.0,46.0,0.0,0.0,0.0,0.06510933398152863,0.0,4807.215389328589,9.971748977703156,0.00207432955882093,0.025,0.005200019491646485,101.80062597527211,0.012520001949164649,165.28542909935558,1.2836232727649801,0.7778741988096295,0.0,0.0,0.994412229882991,0.0,0.21881838074398252,46.108219613938736,0.03,34.07699165838491,38.15917597246996,4.082184314085048,0.996376748060032,187.82023432122665,75.75890651516545,-112.54546411200755,0.0,0.0,0.6803713158036379,0.18082227894821828,1.0,0.4918683945166995,13.117723791860826,3.6974736077063124,0.7362708942239642,1.0055594399999999,0.984016,0.015983999999999998,1.0,2.644979060156929,2.6596836625431273,2.5981520822268873,0.1325029437491823,18.0,3611.0,3611.0,18.0,104.186196,389.690338,-0.28491125333333334,2.9036025000000003,1.347979,12.134009,0.8322072730392563,0.0,17.71259504981414,1.0,120.0,6.613201759283062,1.0,60.0,51.21526961393837,1.0,97.5,54.310405795035614,1.0,82.5,94.30109296906144,0.8566302343646186,112.5,44.46461418364259,0.8239561297398151,52.5,37.614812890540925,1.0,48.0,72.00637960322899,0.9997341831987919,90.0,10.209767324259706,1.0,33.0,13.51876598607058,1.0,24.0,1.2567044215278897,0.996151104855814,0.8032506893736046,0.4840425095568453,0.19674931062638595,1.3125111596223193,1.116910817625884,0.3083630332875411,8387.0,8387.0,8.677051952257393,0.4690144773207216,8.677051952257393,0.4690144773207216,1.1212263000878253,4.286399562757168,5.038856946977412,4.0739010018628115,5.3556689208156865,0.8553167761389371,45.0,225.0,135.0,315.0,0.14943626540373472,1.6169523515728956,1.1149874307776275,77.4534460181321,0.18819100768911412,1.1586229818168927,96.04022009674453,0.13979523835553423,1.2173718567053613,61.40128998391406,0.2663809801429351,1.4625601615256953,39.37325810443936,0.6000936540535359,1.4595524844800665,2.664100505507416,1.0,0.938826830567246,15.950291777598597,1.0,1.0791412511738685,48.12568896238653,0.21411387992757572,1.3225507929506608,41.156862255327304,0.35496379329088973,1.2138366116053756,41.47062852520436,0.41874825473357,1.3700244170329323,20.845379084012222,0.5163181905590688,1.1701101254776747,19.521280191531552,1.0,1.1749252456028607,22.59734379527743,0.3510131137304098,1.1800023603639065,31.88283416910133,0.33347374511653666,1.1749591040467446,10.25610243282593,0.5030656656346228
1.0,442.66276059518316,316.7217781770779,1.2794458354162475,0.05702184787319146,0.0,2.440347587219232,1.4337328947008252,0.41852740163753954,0.5966251213207039,0.14666666666666667,-0.411273523630257,0.0,46.0,0.0,0.0,0.0,0.06863928547820657,0.0,4798.7065464375255,13.845061940814732,0.002885165368383082,0.07855325700811312,0.003976250082627702,93.75081657268115,0.014325287858668427,166.9241062478266,1.2868664423316116,0.8276923577268013,0.0,0.0,0.9840885279780535,0.0,0.21888677687469957,29.094826212658173,0.03,32.89756829735454,39.78995857510095,6.892390277746408,0.9895142920813103,140.22611652019253,98.20069503369103,-42.330917161734405,0.0,0.0,0.7453004671317012,0.18471802802790208,1.0,0.31295460303126194,13.832257445877428,2.2148376096299156,0.7988521193257916,1.0625411416,1.0,0.0,1.0,2.041125907102707,2.1687802514822456,2.055021516021269,0.19512175167602067,18.0,3602.0,7213.0,36.0,212.917057,772.132038,-2.0279380733333334,2.4166165,2.084032,19.334338,0.8321557358546537,0.0,13.150840711953935,1.0,120.0,4.84944335602013,1.0,60.0,34.201876212658114,1.0,97.5,41.0551241085675,1.0,82.5,62.80768091585027,1.0,112.5,28.97380243465622,1.0,52.5,24.074816241227975,1.0,48.0,48.83056905664046,1.0,90.0,25.172159785607636,1.0,33.0,14.59408527705863,1.0,24.0,1.332067692911257,0.9944494795344784,0.789481676431352,0.4886313804185837,0.21051832356864267,1.2462149257914226,1.0485335257017137,0.47548759113727446,8374.0,16761.0,9.492464606734817,2.44898805255912,18.16951655899209,2.9180025298798435,1.0543859163087432,4.3061675426144115,5.114173838324365,4.116439645706093,5.809600210595854,0.8476137008905625,45.0,225.0,135.0,315.0,0.14864439770713328,1.682898753903654,1.1654514245521683,41.15229953427331,0.21550677236366184,1.2121970414953576,64.7043242736376,0.151409991633902,1.2746325097573956,42.38591785712898,0.22022059563416188,1.3924306146439052,22.59123577559013,0.5362403955106403,1.4676078914274089,1.536313059009384,0.0,1.0237255712504396,9.589627422872443,0.0,1.228761896767104,29.833072976580585,0.30062144756539355,1.4660217759686236,26.169548415354495,0.6335706784055278,1.4809240056689996,22.02701069059725,0.4091576186164554,1.4951900746934599,11.34880212755732,0.5529787316272885,1.239650417047102,10.274173025865412,0.0,1.146238725539287,11.60562192854332,0.3369416231898664,1.2178838406649974,18.11674993990252,0.3372381203092796,1.231423028089653,5.387081150165159,0.6874784675814898
2.0,399.538267784909,293.92748850979194,1.362070671658719,0.06457861204854431,0.0,2.440347587219232,1.4306468913227541,0.41549578219329053,0.618155386696291,0.18,-1.1505662919372173,0.0,47.0,0.0,0.0,0.0,0.07212492655843847,0.0,4789.27498757732,11.532541648551835,0.00240799320950782,0.08814943400473516,0.021830538023388427,86.61881461747382,0.0165905255025756,169.0823775315628,1.291022662415816,0.8289880143550062,0.0,0.0,0.9802568952622208,0.0,0.21895518839186948,27.270483889274363,0.03,29.485110545670054,39.62853761092612,10.143427065256063,0.98294051727125,131.91642769569245,73.33552437933395,-58.86724339719588,0.0,0.0,0.8130194102721354,0.18878116461632813,1.0,0.3441710847777784,14.5196935429131,2.0554369825859578,0.7884385095871698,1.3671362688586666,1.0,0.0,1.0,0.5048997493289692,0.6902667594452829,1.0799412650018485,0.18986196887980822,18.0,3568.0,10781.0,54.0,318.802402,1155.652475,-3.78470134,1.9011481063829787,2.7007477499999997,26.555911,0.8328085957768682,0.0,12.56710265611283,1.0,120.0,4.702261823759439,1.0,60.0,32.37753388927449,1.0,97.5,35.06242417630135,1.0,82.5,55.90769776276587,1.0,112.5,25.666760558402633,1.0,52.5,21.48692760675299,1.0,48.0,43.33376369926906,1.0,90.0,18.092911885998575,1.0,33.0,11.927913431767053,1.0,24.0,1.3217193691648566,0.9944345531743006,0.7815447344115637,0.513046844706879,0.21845526558842177,0.9579076485094666,0.8220337006662589,0.42447997077572297,8283.0,25044.0,8.881866349809552,1.8397455082076617,27.051382908798093,4.757748038087499,0.826634289850723,4.326874932487428,5.076558027753654,4.15610633581176,6.2422891437743875,0.8428717451392373,45.0,225.0,135.0,315.0,0.15108970915132783,1.6670769715826839,1.2769752851029066,37.33230228771918,0.22903577182238471,1.3010790641202628,56.515678559215345,0.1500494555899676,1.3351289344424393,37.07693811714755,0.2312508578387694,1.3571249320282153,20.012963481529034,0.5332416571752274,1.493122938934105,1.43282713053357,0.0,1.089707755554427,9.708931535787617,0.0,1.363109698984888,29.419140602787948,0.37057589139511415,1.6211587289213332,24.57896974150494,0.6167982068172189,1.6928586585035312,23.576712448494977,0.43099489398633917,1.5859633735736365,10.648483954184032,0.5669130014191266,1.2589086140468664,12.091127810162154,0.0,1.1539377053503486,10.345816260081335,0.34800391138049325,1.2755465101667482,16.08549141424417,0.34153153946425674,1.2787582163540039,5.102105166400075,1.0
3.0,352.3443525967321,281.5351402708029,1.4214437137132825,0.043590280071341296,0.06993006993006994,2.4441130094846204,1.452429678270522,0.4073772821134902,0.6369836725470532,0.16,-1.6455970954205223,2.0,46.0,0.0,0.0,0.0,0.07553760520569032,0.004755769644860904,4755.37690442991,8.966748469523173,0.0018856020563102214,0.09482617643501637,0.03268338844946889,74.3219645349745,0.018009647666697708,171.7847493396473,1.2960978775030385,0.8199220711797798,0.0,0.0,0.9726017069408636,0.0,0.21902361529520784,27.002463436519292,0.03,23.017396125608016,45.392374363846386,22.37497823823837,0.9648393106131162,122.0709103519632,66.88697435540996,-55.467461862636696,0.0,0.0,0.8853367138025298,0.1931202028281518,1.0,0.2715407475059487,15.099292481258054,2.1168055659458864,0.7465569848481808,1.9823475898450664,1.0,0.0,1.0,0.4894267073953663,0.970213853811011,1.1985626996705947,0.6396551531828075,18.0,3582.0,14363.0,72.0,424.789744,1538.458241,-5.53828906,1.4323780652173914,3.30060375,33.843413,0.832399844374278,0.0,12.311778675879319,1.0,120.0,4.638260322454836,1.0,60.0,32.10951343651944,1.0,97.5,34.13762571096383,1.0,82.5,53.00376664718274,1.0,112.5,24.761686152140044,1.0,52.5,20.90852034885138,1.0,48.0,41.448993653147866,1.0,90.0,18.00525836987731,1.0,33.0,11.207837582447533,1.0,24.0,1.2797969692856086,0.9970729619983764,0.7980125842714013,0.4371685186694357,0.20198741572858783,0.3783189839833519,0.3083636995112999,0.3863180519260155,8320.0,33364.0,8.857791059662137,1.8633755921670876,35.90917396846583,6.62112363025458,0.3092689414556625,4.3472181246560195,5.018389066875402,4.192202882128086,6.669271074296278,0.8428116328711329,45.0,225.0,135.0,315.0,0.14938403664825778,1.635026264779122,1.3588260089094193,38.415759746071856,0.2550069815488077,1.3756334322142856,49.621398037287484,0.1534356132169902,1.4017592184464662,34.53467699053051,0.2501117028944157,1.3666543192037244,16.653306524479667,0.5330266817294647,1.490802671404558,1.6082383139049228,0.0,1.1209185165676259,10.625991623098322,0.0,1.4623618777500964,30.608156958499023,0.3936416320820851,1.6962642993173458,25.84631971881363,0.5203172058378484,1.9080989298775786,19.92501211303264,0.4033458654318012,1.6526163730528824,10.970903306881034,0.5780450103057606,1.2863258005919191,11.267688975176824,0.0,1.1651702683859533,9.807636408087273,0.36994018847127297,1.3253688831111978,16.11741202064951,0.344699583564835,1.265616454988372,5.532639534290212,0.0
4.0,341.9722955619338,269.07827401569216,1.4890331545664153,0.047549853857080805,0.0,2.457259766186828,1.463118642309134,0.39659371674747934,0.653014929489151,0.15333333333333332,-2.340226610054734,0.0,47.0,0.0,0.0,0.0,0.08022601239444106,0.004757918368052076,4753.219066810302,18.44444781882823,0.0038804118976164866,0.0843800093233918,0.10988532580090879,63.24426860071572,0.025207533046260472,174.81674225569438,1.3020979009535583,0.8060778513426832,0.0,0.0,1.0019482068037582,0.0,0.21909205758442776,24.887270268898362,0.03,12.46105193246654,41.943433940482485,29.482382008015946,0.9559178351715482,118.15993054755859,61.04079715865137,-57.380449726730646,0.0,0.0,0.96,0.1976,1.0,0.30946016869939275,14.84680708255113,1.8816662518579872,0.8162395550562719,3.7664604207056263,1.0,0.0,1.0,0.22189004247203314,0.8357400627196032,1.4720407871019208,0.1590369273267672,18.0,3566.0,17929.0,90.0,531.835772,1920.812862,-7.273852799999999,0.9332755319148937,3.7523445,41.137408,0.8280167265857642,0.0,11.452216885732694,1.0,120.0,4.420888554686686,1.0,60.0,29.994320268898527,1.0,97.5,31.932869202635285,1.0,82.5,44.43838361300378,1.0,112.5,22.77468810195694,1.0,52.5,19.303762457675134,1.0,48.0,36.310262702100346,1.0,90.0,16.117858528158948,1.0,33.0,10.675713225235485,1.0,24.0,1.3490412277148485,0.9992044471490413,0.7950461277132158,0.49346849517106744,0.2049538722867768,0.6039527500136197,0.5891691408799804,0.24977943514366702,8279.0,41643.0,9.065994731643945,1.5671668021166363,44.975168700115844,8.188290432371225,0.5896382292542979,4.36927200012121,4.986881288371197,4.246425109912777,7.105610753934522,0.8411339923412002,45.0,225.0,135.0,315.0,0.14808282990989602,1.7022390031939598,1.4544964898413735,41.601963960489975,0.2590568877580226,1.4657762421309162,44.87928058468426,0.15830338092019403,1.3864165781161937,24.84105175855823,0.2598005746407791,1.2038306839357669,5.45519653947505,1.0,1.5785508030006017,5.198099401931649,0.0,1.159441433582496,14.26945693344609,0.0,1.5814631434674973,27.32979305501999,0.41532004846825227,1.7129419991949506,27.60653883913055,0.500002824612653,2.0695685070147474,19.70782112751291,0.3996846438397635,1.7329109288036444,10.596712899659506,0.5846651969134649,1.28202308378382,12.683943978323834,0.0,1.183123374922631,13.333940833268976,0.4068101221597494,1.400835769273161,13.32995586343806,0.34879868247861984,1.2917493854933784,8.244518240753095,0.0
5.0,307.04894439432053,248.78731459967142,1.5774593848765142,0.05938499759990053,0.14685314685314685,2.358520945098891,1.4478095855107984,0.3880020394142121,0.6673421239623694,0.14666666666666667,-1.6784918637796669,3.0,45.0,0.0,0.0,0.0,0.08423952890806369,0.010001040835378524,4724.976028567076,17.31249907598092,0.003664039557303576,0.07363890198327723,0.17753033803574705,50.59541488057258,0.03143497890273857,178.19563204490632,1.3090130365621089,0.8012917356861284,0.0,0.0,0.9872440965256618,0.0,0.2191605152592397,23.232177997461235,0.03,9.125325088683796,40.543602354997,31.418277266313204,0.9492098365414386,115.4102724356927,58.23480170805907,-57.41940859660698,0.0,0.0,0.96,0.1976,1.0,0.37797513133889665,15.32501635531845,2.039240283603864,0.6781994838478702,7.231604007754802,1.0,0.0,1.0,0.2220139652015481,1.6055170805290504,2.1900402634400313,0.15191749857283554,18.0,3588.0,21517.0,108.0,638.45991,2303.859252,-9.02680488,0.35727384444444443,4.6314595,48.477502,0.8274119842082301,0.0,10.947884124084085,1.0,120.0,4.293514079517787,1.0,60.0,28.3392279974614,1.0,97.5,30.079758394955793,1.0,82.5,40.97805400689093,1.0,112.5,21.39698216049944,1.0,52.5,18.133006535481737,1.0,48.0,33.413406701022794,1.0,90.0,15.323484186413184,1.0,33.0,9.80552485440949,1.0,24.0,1.2109406822686932,1.003721986803596,0.7904112168541894,0.5066691180214162,0.20958878314580606,1.0488888598267851,1.031984692039649,0.1645347676254988,8339.0,49982.0,10.30835694289681,1.5581291116937432,55.283525643017235,9.746419544064922,1.0281579018967761,4.397457643399909,4.88069013185965,4.30140055968883,7.580250978676803,0.840339227577907,45.0,225.0,135.0,315.0,0.1438410817840406,1.561238296517894,1.5280193904981931,40.40512835840465,0.24941554251033163,1.6208852812684804,38.732060050303815,0.1628181122164525,1.4422962376932322,22.076644106049603,0.2615540930522779,1.246979099757987,5.063548498115135,1.0,1.640290260451696,5.42468749897721,0.0,1.1823871376224109,14.904754789108209,0.0,1.7385415482587994,23.1044546513386,0.42301392419185035,1.8280289139292643,24.898761332864428,0.42167828390125484,2.2177518179821205,18.75919226037191,0.39964691914746775,1.926320897232712,8.209872717417378,0.587985841683512,1.286945646791148,12.167280769493726,0.0,1.2551912519787989,12.25205400880839,0.431683231302238,1.4634905506540763,13.45365606333382,0.3538558907391678,1.316369617433063,9.335219495084546,1.0
6.0,325.2089855108852,244.0637791638879,1.6199574950740592,0.02694085857612862,0.0,2.408479491910925,1.3991057492092192,0.39667860291150614,0.6792524402183129,0.14666666666666667,-2.4929902065364358,0.0,46.0,0.0,0.0,0.0,0.09034719808226901,0.010006021328483399,4722.600415035141,17.746961197534866,0.003757879057697667,0.03671043449929909,0.2857410941131598,40.476331904458064,0.04057410941131598,181.7709702110645,1.3168157378496654,0.8169215076508355,0.0,0.0,0.9830260931204466,0.0,0.21922898831935153,24.521227722810067,0.03,2.127854153467217,40.81645862475375,38.68860447128653,0.9457783370057284,109.0806662621978,55.13230169682278,-54.20583745646452,0.0,0.0,0.96,0.1976,1.0,0.39089515713392026,17.284387904049723,1.7067397144327825,0.8110355206996978,13.595415534579027,1.0,0.0,1.0,0.0,0.0,3.8589967977509123,0.01332463537925456,18.0,3541.0,25058.0,126.0,743.981615,2684.105308,-10.76676462,-0.1391966956521739,5.4532485,55.796483,0.817385966988115,0.0,11.08675800838879,1.0,120.0,4.329374706989543,1.0,60.0,29.628277722810232,1.0,97.5,30.123403890591273,1.0,82.5,40.57149876742708,1.0,112.5,21.891273697350012,1.0,52.5,18.05332004863752,1.0,48.0,32.37459805816574,1.0,90.0,14.551848346381423,1.0,33.0,10.828495597129173,1.0,24.0,1.3427741173985093,1.01006812425419,0.8065018912710094,0.44027609355688835,0.19349810872897716,1.3237885141263195,1.2827175913685416,0.17624681597501024,8221.0,58203.0,12.830876640162987,1.3589109294363977,68.11440228317622,11.105330473501324,1.2699317606083942,4.438320500106476,4.873369216530224,4.36265840474186,8.133833587515106,0.8397434084261506,45.0,225.0,135.0,315.0,0.1428555649357517,1.7026367634250408,1.4291213571660308,37.59468128634115,0.30383698588707864,1.4763442979084391,26.481417568211125,0.17722541009852893,1.4960355652570014,21.814549301726093,0.2627217591623993,1.274013712761805,5.404352611449334,1.0,1.7689082387555086,16.462634853843095,0.0,1.232586683133442,20.730458236268497,0.0,1.9433862895743141,20.19351072858058,0.4336469188839366,1.9673807075083842,20.620527338115117,0.38056754833524425,2.540156359090278,9.981414103898686,0.5006922884715439,2.2542267994808576,6.234749474103813,0.587911034262536,1.3343503233545746,22.039421542911107,0.0,1.3005759997615338,12.517129250103423,0.46729257409604097,1.5151185281891921,13.666184668609063,0.35863768067757495,1.3428440637586145,10.322748199726792,1.0
7.0,345.45412881695165,221.2719090170629,1.7464057288883814,0.07805651333372882,0.06993006993006994,2.344790167666287,1.413590045161871,0.3919933399855322,0.68936682543758,0.14,-1.4744349353241466,2.0,45.0,0.0,0.0,0.0,0.09619448076978389,0.01303759859513437,4718.492938323492,29.889658820849455,0.0063345774194311765,0.0014241922227223036,0.3697959884866362,33.104516499917715,0.048979598848663625,185.60754259378044,1.325524935521819,0.8265409915068447,0.0,1.1811977431331808,0.9990696421712306,0.0,0.21929747676446848,22.37666451586175,0.03,2.1950918243674264,45.28390189414088,43.08881006977346,0.940607798115376,110.05743333953755,55.56347880017834,-54.728909516775765,0.0,0.0,0.96,0.1976,1.0,0.5329653149616023,17.649750805302865,1.663698564038067,0.7145344307289967,25.83128951570015,1.0,0.0,1.0,0.0,0.0,5.7423360606719775,0.23270172750122492,18.0,3433.0,28491.0,144.0,851.172397,3064.358249,-12.506809133333332,-0.6154963777777778,6.4832745,63.163021,0.8164524923622413,0.0,10.476336084040272,1.0,120.0,4.1749098396974516,1.0,60.0,27.483714515861916,1.0,97.5,27.3955719218836,1.0,82.5,36.59561685654412,1.0,112.5,20.258646830588628,1.0,52.5,16.325813171877027,1.0,48.0,29.237152888753123,1.0,90.0,13.978755295111595,1.0,33.0,9.395901332949174,1.0,24.0,1.2461796799652207,1.017377169362214,0.7902710405361563,0.5047568359105501,0.20972895946384493,0.6431305782543906,0.58476503309065,0.21615733352809272,7890.0,66093.0,18.22540735722527,1.3742473465070157,86.33980964040082,12.479577820008336,0.5747770352043919,4.50290006961391,4.866282253172669,4.472656983958838,8.89001824406158,0.833451657458034,45.0,225.0,135.0,315.0,0.1414140572191279,1.5953600529056193,1.4951501134939864,32.37420785407817,0.2762068927913548,1.6102627704147634,22.629931504226732,0.1801835489777801,1.5787803722688374,19.56935424279782,0.26362602136592617,1.3319521382314021,4.641204201925808,1.0,1.8634934109479029,20.15503272459425,0.0,1.3766541710541682,19.9736955783599,1.0,2.2103663961067985,17.082925528684314,0.42846907688735786,2.07035684233185,18.14600292440783,0.374341247217854,2.909436210752126,9.019744529158263,0.5016773746342573,2.4784214913337324,5.059695795450557,0.5892417307017122,1.4621828496111853,17.96006638782541,1.0,1.3885006532512418,10.502106381245252,0.4852911054730598,1.5985300908827687,13.41529800015455,0.3624774114131289,1.3610124584321075,10.742643364154059,1.0
8.0,362.2032574704244,203.40757150184962,1.8430173821543496,0.055320279627955216,0.0,2.4114327032552696,1.4263883090595053,0.39353142663520146,0.6985160219568076,0.13333333333333333,-1.5968339664797833,0.0,47.0,0.0,0.0,0.0,0.10250700006090228,0.012990333875920529,4735.887739528734,37.59571859193868,0.007938473346431099,-0.005,0.4209830274506037,26.483613199934172,0.054098302745060375,189.81339362075354,1.335146325012562,0.8265888669959303,0.0,0.6777370732677039,0.9676876013034788,0.0,0.21936598059429324,19.496640316316338,0.03,3.065046862208062,44.057656178347735,40.99260931613967,0.9473720208826322,105.51822345912593,59.80169486238336,-45.9212433200639,0.0,0.0,0.96,0.1976,1.0,0.5305956361272267,18.013028267168302,1.4224305699430042,0.7921993549779587,48.56282428951628,1.0,0.0,1.0,0.0,0.0,6.090961125458113,0.09432410781889729,18.0,3459.0,31950.0,162.0,960.084974,3443.669366,-14.226019226666667,-0.9922044255319149,7.2958475,70.52912,0.8172602072333194,0.0,9.841574781603718,1.0,120.0,4.014135364881356,1.0,60.0,24.603690316316502,1.0,97.5,25.32410145770342,1.0,82.5,32.75884012860654,1.0,112.5,20.059053073849583,1.0,52.5,15.045988600920387,1.0,48.0,25.980662268080692,1.0,90.0,13.629592787505834,1.0,33.0,8.247339651365792,1.0,24.0,1.3239253757012905,1.026558721073456,0.7961606620643078,0.49578603060755616,0.20383933793569164,1.1864557849400397,1.1198112773847746,0.22511779759187495,7940.0,74033.0,28.333575457446653,1.2592928113579387,114.67338509784084,13.738870631366247,1.090839963069824,4.614132083759094,4.844001863929211,4.61429460307102,10.027566442158195,0.8352755752850903,45.0,225.0,135.0,315.0,0.1438770188416251,1.6769131092326388,1.595680869793738,29.38074088884344,0.2867226433360995,1.5797702017077895,17.604382413660314,0.21241401074006327,1.6922093691802214,17.683744763428834,0.2636514045282585,1.3745764135420357,4.713311145287743,1.0,1.986447482181684,32.40965867997578,0.0,1.6332118296986917,17.02259715137111,1.0,1.8713575035373609,11.726336357903023,0.333957059556564,2.224408743453416,14.524892541616707,0.36674115475599117,3.314963589677403,7.938377171413858,0.5024885227430085,2.4897837902634556,2.8679241234045603,0.5897049557583318,1.7950780597047915,14.527927566589847,1.0,1.487144325670964,10.048216021003206,0.5051635712459208,1.66538157853078,12.77600062342579,0.3674955831169366,1.3941004421730594,10.183462053925405,1.0
9.0,338.66283834563916,189.8454196886787,1.993708119917535,0.08176305835327456,0.16783216783216784,2.501122806669911,1.4011078331257056,0.3926700692659999,0.7065068891668846,0.13333333333333333,-1.038284524015257,3.0,45.0,0.0,0.0,0.0,0.1057665868353124,0.019597977343683542,4711.939247918955,27.663829413083043,0.0058710072345055965,-0.005,0.4783225749603708,21.18689055994734,0.059832257496037086,194.34643871177192,1.3456698190413652,0.8397899777373946,0.0,0.600388904445871,0.9733254833288429,0.0,0.21943449980852597,17.502553544443707,0.03,5.124400120099248,40.58760608814626,35.46320596804701,0.9631112102085562,106.74107791183805,61.048877804367415,-45.87597691968729,0.0,0.0,0.96,0.1976,1.0,0.6082811399770401,18.143856600660282,1.5953396612494009,0.6155265773066454,50.0,1.0,0.0,1.0,0.13088773723018451,6.544386861509226,13.574880351885376,1.9064650811581483,18.0,3507.0,35457.0,180.0,1066.548687,3826.793535,-15.975768313333335,-1.5175384222222223,7.86111125,77.941608,0.815845196634891,0.0,9.469998358646636,1.0,120.0,3.9201460082034445,1.0,60.0,22.60960354444387,1.0,97.5,23.326204718115523,1.0,82.5,30.95895287344353,1.0,112.5,18.4513928493617,1.0,52.5,13.742957422796273,1.0,48.0,24.60437481135704,1.0,90.0,12.959886212940814,1.0,33.0,7.5758978938935115,1.0,24.0,1.1471110969701344,1.0373720060165024,0.8007399097012912,0.47201838060263673,0.1992600902987093,0.6570031075782312,0.5341558273963654,0.20129972875707233,8081.0,82114.0,46.673220643144965,1.4113081701528638,161.34660574098928,15.15017880151909,0.5149125138314828,4.808255731452325,4.9523846033352,4.791816207655796,11.489259084531168,0.8341164092584507,45.0,225.0,135.0,315.0,0.14223379861534097,1.5026725041796765,1.7298517533213653,25.69197623418438,0.2882090724236215,1.565962250486841,19.775054201708596,0.21559699219664513,1.8071224955134275,18.535126759127966,0.2676566250756028,1.4281083402117807,4.563565576315738,1.0,2.28977607523571,30.297012357145622,1.0,1.9396894684768815,14.069060691081676,1.0,2.030142155851389,10.058953554804098,0.34476925818939647,2.105001531741427,15.81612971505029,0.3772988290474836,3.6581526941510267,6.7810975191541765,0.5019450769811595,2.374663965223302,2.2823101576194196,0.5971976216017456,2.1554940883792284,12.520628552377842,1.0,1.5429562935529855,9.504877865935127,0.5533190187527335,1.8063331122520074,11.526229168592936,0.3699434654101728,1.5365106608784658,8.423397335580823,1.0
