tick,land,WBI,MPI,WSK,SPG,FTD,eigene_waehrung_anteil,importe,exporte,produktion,bedarf,sat_NAH,preis_NAH,sat_ENE,preis_ENE,sat_WOH,preis_WOH,sat_GES,preis_GES,sat_BIL,preis_BIL,sat_KUL,preis_KUL,sat_SIC,preis_SIC,sat_DAT,preis_DAT,sat_MOB,preis_MOB
1,AUR,60.7661,55.5781,60.0792,23.2786,0.5281,0.2987,0.0,0.0,7.7174,9.3807,0.78,0.9897,0.7994,1.7199,0.6502,1.7445,0.89,2.4814,0.9462,1.6952,0.7378,1.6639,1.0,1.0963,0.7634,2.0972,0.768,2.0218
1,BEL,70.6434,42.7306,58.8579,22.1671,0.3278,0.224,0.0,0.0,6.7284,8.3769,0.7584,1.1085,0.7167,2.4935,0.6714,2.036,0.9078,2.8182,0.9275,1.8387,0.6877,1.6885,1.0,0.939,0.7588,1.98,0.7592,1.914
1,CAL,58.8224,50.0707,62.0049,25.9126,0.5431,0.275,0.0,0.0,7.2202,8.8326,0.7423,1.0001,0.7127,1.8308,0.6412,1.7731,0.9413,1.9228,0.9569,1.593,0.6735,1.6856,1.0,1.2856,0.8464,2.1606,0.7674,2.3764
2,AUR,65.4939,50.3287,61.3722,20.0278,0.9024,0.2967,0.0,0.0,7.7226,9.4895,0.7807,0.9809,0.7998,1.7066,0.6514,1.7254,0.8898,2.4527,0.9193,1.7129,0.7168,1.6697,1.0,1.0842,0.7417,2.101,0.7469,2.0207
2,BEL,73.8846,39.7188,60.0545,20.8892,0.5613,0.2234,0.0,0.0,6.731,8.4422,0.7589,1.1038,0.7172,2.485,0.6718,2.0253,0.9077,2.7945,0.9103,1.8491,0.675,1.6899,1.0,0.9324,0.7449,1.9772,0.7453,1.9083
2,CAL,64.2919,45.8487,62.5232,22.4009,0.9272,0.2721,0.0,0.0,7.2289,8.9515,0.7432,0.9879,0.7145,1.8124,0.6417,1.7489,0.9422,1.8938,0.9252,1.6111,0.6526,1.6892,1.0,1.2714,0.8187,2.1791,0.7428,2.3808
3,AUR,68.8049,46.6203,62.1729,17.7796,1.1662,0.2954,0.0,0.0,7.7276,9.5654,0.7814,0.9753,0.8003,1.6988,0.6525,1.7121,0.8897,2.4321,0.9014,1.7233,0.7029,1.6726,1.0,1.0758,0.7273,2.1007,0.7331,2.0157
3,BEL,76.1494,37.5971,60.8229,20.0036,0.727,0.223,0.0,0.0,6.7335,8.4877,0.7594,1.1016,0.7177,2.4819,0.6721,2.0192,0.9075,2.7773,0.8987,1.8552,0.6666,1.6902,1.0,0.9279,0.7356,1.9724,0.736,1.9008
3,CAL,68.1269,42.8468,62.7719,19.9537,1.1972,0.2701,0.0,0.0,7.2375,9.0347,0.7441,0.9795,0.7163,1.8007,0.6422,1.7315,0.943,1.8723,0.9043,1.6207,0.6392,1.6904,1.0,1.2618,0.8006,2.1851,0.7268,2.3791
4,AUR,71.1288,44.0038,62.6655,16.2235,1.3505,0.2945,0.0,0.0,7.7324,9.6186,0.782,0.972,0.8007,1.6947,0.6536,1.7027,0.8896,2.4172,0.8894,1.7295,0.6936,1.6739,1.0,1.0699,0.7176,2.0983,0.724,2.0088
