tick,EA_winkel,EA_laenge,EA_macht,EA_fluss,EA_anteil,EB_winkel,EB_laenge,EB_macht,EB_fluss,EB_anteil,EC_winkel,EC_laenge,EC_macht,EC_fluss,EC_anteil
1,7.9574,1.0,57.571,33.0587,0.3194,128.09,1.0,45.5058,33.3986,0.3227,248.1363,1.0,52.0935,37.0452,0.3579
2,7.9199,1.0,53.63,32.9434,0.3193,128.176,1.0,43.2903,33.36,0.3233,248.2679,1.0,49.4293,36.8699,0.3574
3,7.8862,1.0,50.2125,32.8539,0.3192,128.2596,1.0,41.373,33.3318,0.3239,248.395,1.0,47.0679,36.7307,0.3569
4,7.8555,1.0,47.3046,32.7887,0.3192,128.3411,1.0,39.7454,33.3152,0.3243,248.518,1.0,45.0238,36.62,0.3565
5,7.827,1.0,44.8659,32.7418,0.3192,128.427,1.0,38.384,33.3087,0.3247,248.6373,1.0,43.2848,36.5309,0.3561
6,7.8003,1.0,42.844,32.709,0.3192,128.5112,1.0,37.2588,33.3103,0.3251,248.7532,1.0,41.8246,36.4565,0.3558
7,7.7752,1.0,41.1831,32.6852,0.3192,128.5883,1.0,36.3379,33.3152,0.3254,248.866,1.0,40.6114,36.3964,0.3554
8,7.7512,1.0,39.8291,32.6684,0.3192,128.6637,1.0,35.5903,33.3241,0.3256,248.9759,1.0,39.6116,36.3447,0.3551
9,7.7282,1.0,38.7324,32.6558,0.3192,128.7375,1.0,34.9881,33.3358,0.3259,249.083,1.0,38.7931,36.2996,0.3549
10,7.706,1.0,37.849,32.6457,0.3193,128.8099,1.0,34.5063,33.3493,0.3261,249.1877,1.0,38.1265,36.2596,0.3546
11,7.6846,1.0,37.1407,32.6371,0.3193,128.8808,1.0,34.1234,33.3641,0.3264,249.2901,1.0,37.5861,36.2236,0.3544
12,7.6638,1.0,36.5754,32.6291,0.3193,128.9535,1.0,33.8212,33.3795,0.3266,249.3903,1.0,37.1494,36.1907,0.3541
13,7.6436,1.0,36.1259,32.6216,0.3193,129.0246,1.0,33.5843,33.3954,0.3268,249.4885,1.0,36.7974,36.1596,0.3539
14,7.6239,1.0,35.7698,32.6137,0.3193,129.0943,1.0,33.4002,33.4114,0.3271,249.5847,1.0,36.5145,36.1307,0.3537
15,7.6047,1.0,35.4887,32.6052,0.3192,129.1626,1.0,33.2584,33.4274,0.3273,249.6792,1.0,36.2874,36.1037,0.3535
16,7.5859,1.0,35.2676,32.5959,0.3192,129.2294,1.0,33.1505,33.4432,0.3275,249.7719,1.0,36.1055,36.0783,0.3533
17,7.5675,1.0,35.0942,32.5856,0.3192,129.2948,1.0,33.0697,33.4589,0.3277,249.863,1.0,35.9599,36.0544,0.3531
18,7.5495,1.0,34.9588,32.5743,0.3191,129.3587,1.0,33.0103,33.4744,0.3279,249.9524,1.0,35.8435,36.0318,0.353
19,7.5318,1.0,34.8534,32.562,0.319,129.4212,1.0,32.9681,33.4896,0.3281,250.0403,1.0,35.7506,36.0105,0.3528
20,7.5145,1.0,34.7717,32.5485,0.319,129.4781,1.0,32.9393,33.5045,0.3283,250.1266,1.0,35.6765,35.9904,0.3527
21,7.4912,1.0,34.7087,32.5334,0.3189,129.5335,1.0,32.9213,33.5191,0.3285,250.2141,1.0,35.6178,35.9723,0.3526
22,7.468,1.0,34.6601,32.5169,0.3188,129.5873,1.0,32.9119,33.5351,0.3288,250.3001,1.0,35.5711,35.954,0.3525
23,7.445,1.0,34.6229,32.4994,0.3187,129.6395,1.0,32.9093,33.5509,0.329,250.3846,1.0,35.5343,35.9367,0.3524
24,7.4219,1.0,34.5946,32.4809,0.3185,129.6901,1.0,32.9122,33.5665,0.3292,250.4675,1.0,35.5053,35.9203,0.3523
